Item,Item ID,Day,Quantity,Order Number
paper towel,2,12-31-2017,148,649
cleaner,3,12-31-2017,37,649
scanner batt,11,12-31-2017,65,649
soap,14,12-31-2017,176,649
wrenches,15,01-01-2018,28,650
toilet paper,1,01-02-2018,112,651
paper towel,2,01-02-2018,128,651
plastic wrap,19,01-02-2018,296,651
plastic bags,4,01-03-2018,1576,652
office chair,7,01-03-2018,16,652
pens,8,01-03-2018,584,652
blank badges,10,01-03-2018,1432,652
meat trays,12,01-03-2018,3496,652
produce bags,13,01-03-2018,160,652
soap,14,01-03-2018,152,652
water bottles,16,01-03-2018,1336,652
toilet paper,1,01-03-2018,130,652
plastic bags,4,01-03-2018,1823,652
pens,8,01-03-2018,676,652
blank badges,10,01-03-2018,1656,652
meat trays,12,01-03-2018,4043,652
produce bags,13,01-03-2018,185,652
water bottles,16,01-03-2018,1545,652
cleaner,3,01-04-2018,32,653
box cutters,6,01-04-2018,360,653
printer paper,9,01-04-2018,64,653
light bulbs,5,01-04-2018,139,653
printer paper,9,01-04-2018,74,653
keyboards,17,01-04-2018,47,653
plastic wrap,19,01-04-2018,343,653
box cutters,6,01-05-2018,417,654
light bulbs,5,01-06-2018,120,655
keyboards,17,01-06-2018,40,655
photo paper,18,01-06-2018,5792,655
wrenches,15,01-07-2018,24,656
paper towel,2,01-07-2018,148,656
office chair,7,01-07-2018,19,656
scanner batt,11,01-07-2018,65,656
soap,14,01-07-2018,176,656
photo paper,18,01-07-2018,6697,656
scanner batt,11,01-08-2018,54,657
cleaner,3,01-08-2018,36,657
toilet paper,1,01-09-2018,107,658
paper towel,2,01-09-2018,122,658
plastic bags,4,01-09-2018,1503,658
pens,8,01-09-2018,557,658
blank badges,10,01-09-2018,1365,658
meat trays,12,01-09-2018,3333,658
soap,14,01-09-2018,145,658
water bottles,16,01-09-2018,1274,658
plastic wrap,19,01-09-2018,283,658
meat trays,12,01-09-2018,3715,658
wrenches,15,01-09-2018,26,658
produce bags,13,01-10-2018,143,659
toilet paper,1,01-10-2018,115,659
plastic bags,4,01-10-2018,1609,659
pens,8,01-10-2018,597,659
blank badges,10,01-10-2018,1462,659
produce bags,13,01-10-2018,164,659
water bottles,16,01-10-2018,1364,659
box cutters,6,01-11-2018,321,660
light bulbs,5,01-11-2018,123,660
printer paper,9,01-11-2018,66,660
