Item,Item ID,Day,Quantity,Order Number
light bulbs,5,12-31-2019,176,1382
office chair,7,12-31-2019,37,1382
blank badges,10,12-31-2019,1425,1382
scanner batt,11,12-31-2019,65,1382
meat trays,12,12-31-2019,3377,1382
photo paper,18,12-31-2019,6762,1382
blank badges,10,12-31-2019,1438,1382
meat trays,12,12-31-2019,3407,1382
produce bags,13,12-31-2019,243,1382
photo paper,18,12-31-2019,6823,1382
printer paper,9,12-31-2019,54,1382
wrenches,15,12-31-2019,27,1382
printer paper,9,01-01-2020,48,1383
meat trays,12,01-01-2020,2920,1383
plastic wrap,19,01-01-2020,272,1383
wrenches,15,01-01-2020,28,1383
plastic bags,4,01-01-2020,1839,1383
light bulbs,5,01-01-2020,178,1383
box cutters,6,01-01-2020,271,1383
scanner batt,11,01-01-2020,66,1383
keyboards,17,01-01-2020,47,1383
cleaner,3,01-01-2020,18,1383
plastic bags,4,01-01-2020,1773,1383
scanner batt,11,01-01-2020,63,1383
soap,14,01-01-2020,162,1383
water bottles,16,01-01-2020,927,1383
keyboards,17,01-01-2020,45,1383
plastic wrap,19,01-01-2020,306,1383
paper towel,2,01-02-2020,176,1384
box cutters,6,01-02-2020,233,1384
pens,8,01-02-2020,488,1384
produce bags,13,01-02-2020,208,1384
water bottles,16,01-02-2020,824,1384
paper towel,2,01-02-2020,206,1384
water bottles,16,01-02-2020,962,1384
cleaner,3,01-03-2020,16,1385
plastic bags,4,01-03-2020,1576,1385
light bulbs,5,01-03-2020,152,1385
plastic bags,4,01-03-2020,1823,1385
pens,8,01-03-2020,565,1385
printer paper,9,01-03-2020,56,1385
water bottles,16,01-03-2020,953,1385
plastic wrap,19,01-03-2020,315,1385
toilet paper,1,01-03-2020,140,1385
printer paper,9,01-03-2020,56,1385
soap,14,01-03-2020,168,1385
wrenches,15,01-03-2020,28,1385
produce bags,13,01-03-2020,234,1385
office chair,7,01-04-2020,32,1386
toilet paper,1,01-04-2020,139,1386
produce bags,13,01-04-2020,241,1386
soap,14,01-04-2020,167,1386
keyboards,17,01-04-2020,47,1386
office chair,7,01-04-2020,38,1386
pens,8,01-04-2020,570,1386
paper towel,2,01-05-2020,204,1387
box cutters,6,01-05-2020,269,1387
paper towel,2,01-05-2020,198,1387
box cutters,6,01-05-2020,261,1387
office chair,7,01-05-2020,36,1387
pens,8,01-05-2020,549,1387
toilet paper,1,01-06-2020,120,1388
blank badges,10,01-06-2020,1232,1388
soap,14,01-06-2020,144,1388
keyboards,17,01-06-2020,40,1388
photo paper,18,01-06-2020,5848,1388
cleaner,3,01-06-2020,19,1388
plastic wrap,19,01-06-2020,318,1388
light bulbs,5,01-06-2020,171,1388
meat trays,12,01-06-2020,3285,1388
photo paper,18,01-06-2020,6579,1388
wrenches,15,01-07-2020,24,1389
cleaner,3,01-07-2020,19,1389
light bulbs,5,01-07-2020,176,1389
blank badges,10,01-07-2020,1425,1389
scanner batt,11,01-07-2020,65,1389
meat trays,12,01-07-2020,3377,1389
photo paper,18,01-07-2020,6762,1389
blank badges,10,01-07-2020,1438,1389
meat trays,12,01-07-2020,3407,1389
produce bags,13,01-07-2020,243,1389
photo paper,18,01-07-2020,6823,1389
toilet paper,1,01-07-2020,135,1389
printer paper,9,01-07-2020,54,1389
blank badges,10,01-07-2020,1386,1389
wrenches,15,01-07-2020,27,1389
printer paper,9,01-08-2020,46,1390
scanner batt,11,01-08-2020,54,1390
meat trays,12,01-08-2020,2784,1390
water bottles,16,01-08-2020,786,1390
plastic wrap,19,01-08-2020,260,1390
office chair,7,01-08-2020,36,1390
plastic bags,4,01-08-2020,1773,1390
light bulbs,5,01-08-2020,171,1390
box cutters,6,01-08-2020,261,1390
scanner batt,11,01-08-2020,63,1390
cleaner,3,01-08-2020,18,1390
plastic bags,4,01-08-2020,1734,1390
scanner batt,11,01-08-2020,62,1390
soap,14,01-08-2020,159,1390
water bottles,16,01-08-2020,907,1390
keyboards,17,01-08-2020,44,1390
plastic wrap,19,01-08-2020,300,1390
paper towel,2,01-09-2020,168,1391
plastic bags,4,01-09-2020,1503,1391
light bulbs,5,01-09-2020,145,1391
box cutters,6,01-09-2020,222,1391
pens,8,01-09-2020,466,1391
produce bags,13,01-09-2020,199,1391
wrenches,15,01-09-2020,26,1391
