Item,Item ID,Day,Quantity,Order Number
blank badges,10,01-10-2016,1064,2
blank badges,10,01-16-2016,1064,8
blank badges,10,01-22-2016,1064,14
blank badges,10,01-27-2016,1064,19
blank badges,10,02-01-2016,1064,24
blank badges,10,02-07-2016,1064,30
blank badges,10,02-12-2016,1064,35
blank badges,10,02-17-2016,1216,39
blank badges,10,02-23-2016,1064,44
blank badges,10,02-29-2016,1064,50
blank badges,10,03-05-2016,1064,55
blank badges,10,03-11-2016,1064,61
blank badges,10,03-16-2016,1064,66
blank badges,10,03-20-2016,1216,70
blank badges,10,03-27-2016,1064,77
blank badges,10,04-01-2016,1064,82
blank badges,10,04-06-2016,1064,87
blank badges,10,04-12-2016,1064,93
blank badges,10,04-17-2016,1216,98
blank badges,10,04-23-2016,1064,104
blank badges,10,04-29-2016,1064,110
blank badges,10,05-05-2016,1064,115
blank badges,10,05-09-2016,1216,119
blank badges,10,05-15-2016,1216,125
blank badges,10,05-22-2016,1064,132
blank badges,10,05-27-2016,1064,137
blank badges,10,06-01-2016,1064,142
blank badges,10,06-07-2016,1064,148
blank badges,10,06-13-2016,1064,154
blank badges,10,06-18-2016,1064,159
blank badges,10,06-23-2016,1216,164
blank badges,10,06-29-2016,1064,170
blank badges,10,07-04-2016,1064,175
blank badges,10,07-10-2016,1064,180
blank badges,10,07-16-2016,1064,185
blank badges,10,07-21-2016,1064,189
blank badges,10,07-26-2016,1064,193
blank badges,10,08-01-2016,1216,198
blank badges,10,08-04-2016,1672,201
blank badges,10,08-09-2016,2128,206
blank badges,10,08-14-2016,2128,210
blank badges,10,08-19-2016,1976,215
blank badges,10,08-29-2016,1064,224
blank badges,10,09-04-2016,1064,230
blank badges,10,09-10-2016,1064,235
blank badges,10,09-15-2016,1064,239
blank badges,10,09-21-2016,1064,244
blank badges,10,09-26-2016,1064,247
blank badges,10,10-02-2016,1064,253
blank badges,10,10-07-2016,1064,258
blank badges,10,10-13-2016,1064,263
blank badges,10,10-18-2016,1064,268
blank badges,10,10-23-2016,1064,273
blank badges,10,10-29-2016,1064,278
blank badges,10,11-03-2016,1216,283
blank badges,10,11-09-2016,1064,288
blank badges,10,11-15-2016,1064,294
blank badges,10,11-21-2016,1064,300
blank badges,10,11-25-2016,1064,304
blank badges,10,12-01-2016,1216,310
blank badges,10,12-06-2016,1216,315
blank badges,10,12-12-2016,1216,321
blank badges,10,12-18-2016,1216,326
blank badges,10,12-22-2016,1672,330
blank badges,10,12-27-2016,1672,334
blank badges,10,01-06-2017,1216,342
blank badges,10,01-13-2017,1083,348
blank badges,10,01-18-2017,1007,353
blank badges,10,01-24-2017,1064,358
blank badges,10,01-30-2017,1064,362
blank badges,10,02-04-2017,1064,365
blank badges,10,02-09-2017,1064,370
blank badges,10,02-15-2017,1140,376
blank badges,10,02-19-2017,1140,380
blank badges,10,02-25-2017,1140,385
blank badges,10,03-04-2017,1064,391
blank badges,10,03-09-2017,1064,395
blank badges,10,03-14-2017,1064,399
blank badges,10,03-19-2017,1140,404
blank badges,10,03-25-2017,1140,409
blank badges,10,03-30-2017,1140,414
blank badges,10,04-05-2017,1064,420
blank badges,10,04-11-2017,1064,426
blank badges,10,04-16-2017,1140,431
blank badges,10,04-22-2017,1140,437
blank badges,10,04-28-2017,1140,443
blank badges,10,05-03-2017,1064,448
blank badges,10,05-09-2017,1064,454
blank badges,10,05-14-2017,1140,459
blank badges,10,05-19-2017,1140,464
blank badges,10,05-25-2017,1064,470
blank badges,10,05-31-2017,1064,475
blank badges,10,06-05-2017,1064,480
blank badges,10,06-10-2017,1064,485
blank badges,10,06-16-2017,1064,490
blank badges,10,06-22-2017,1140,496
blank badges,10,06-26-2017,1140,500
blank badges,10,07-03-2017,1140,506
blank badges,10,07-09-2017,1064,512
blank badges,10,07-14-2017,1064,517
blank badges,10,07-19-2017,1064,522
blank badges,10,07-25-2017,1064,527
blank badges,10,07-31-2017,1064,533
blank badges,10,08-03-2017,1216,536
blank badges,10,08-07-2017,1520,540
blank badges,10,08-11-2017,1824,544
blank badges,10,08-16-2017,2128,548
blank badges,10,08-21-2017,1976,553
blank badges,10,09-01-2017,1140,560
blank badges,10,09-06-2017,1064,564
blank badges,10,09-12-2017,1064,569
blank badges,10,09-18-2017,1064,575
blank badges,10,09-23-2017,1064,580
blank badges,10,09-29-2017,1064,585
blank badges,10,10-05-2017,1064,590
blank badges,10,10-09-2017,1064,593
blank badges,10,10-15-2017,1064,597
blank badges,10,10-21-2017,1064,600
blank badges,10,10-26-2017,1064,604
blank badges,10,11-01-2017,1140,610
blank badges,10,11-06-2017,1140,613
blank badges,10,11-12-2017,1140,618
blank badges,10,11-17-2017,1064,622
blank badges,10,11-23-2017,1064,628
blank badges,10,11-29-2017,1140,633
blank badges,10,12-03-2017,1140,637
blank badges,10,12-09-2017,1216,642
blank badges,10,12-14-2017,1216,647
blank badges,10,12-20-2017,1292,653
blank badges,10,12-25-2017,1406,658
blank badges,10,12-31-2017,1406,661
blank badges,10,01-06-2018,1216,667
blank badges,10,01-07-2018,1406,668
blank badges,10,01-13-2018,1083,674
blank badges,10,01-15-2018,1128,676
blank badges,10,01-18-2018,1007,679
blank badges,10,01-22-2018,1039,683
blank badges,10,01-24-2018,1064,685
blank badges,10,01-27-2018,988,688
blank badges,10,01-30-2018,1064,691
blank badges,10,02-01-2018,988,693
blank badges,10,02-04-2018,1064,696
blank badges,10,02-07-2018,1064,699
blank badges,10,02-09-2018,1064,701
blank badges,10,02-12-2018,1064,704
blank badges,10,02-15-2018,1140,707
blank badges,10,02-17-2018,1115,709
blank badges,10,02-19-2018,1140,711
blank badges,10,02-23-2018,1115,715
blank badges,10,02-25-2018,1140,716
blank badges,10,02-28-2018,1115,719
blank badges,10,03-04-2018,1064,722
blank badges,10,03-06-2018,1115,724
blank badges,10,03-09-2018,1064,726
blank badges,10,03-12-2018,1064,729
blank badges,10,03-14-2018,1064,731
blank badges,10,03-17-2018,1064,734
blank badges,10,03-19-2018,1140,736
blank badges,10,03-21-2018,1115,738
blank badges,10,03-25-2018,1140,741
blank badges,10,03-27-2018,1115,743
blank badges,10,03-30-2018,1140,746
blank badges,10,04-02-2018,1115,749
blank badges,10,04-05-2018,1064,752
blank badges,10,04-07-2018,1115,754
blank badges,10,04-11-2018,1064,758
blank badges,10,04-14-2018,1064,761
blank badges,10,04-16-2018,1140,763
blank badges,10,04-18-2018,1115,765
blank badges,10,04-22-2018,1140,769
blank badges,10,04-23-2018,1115,770
blank badges,10,04-28-2018,1140,775
blank badges,10,04-30-2018,1115,777
blank badges,10,05-03-2018,1064,780
blank badges,10,05-06-2018,1064,783
blank badges,10,05-09-2018,1064,786
blank badges,10,05-11-2018,1115,788
blank badges,10,05-14-2018,1140,791
blank badges,10,05-16-2018,1115,793
blank badges,10,05-19-2018,1140,796
blank badges,10,05-22-2018,1115,799
blank badges,10,05-25-2018,1064,802
blank badges,10,05-27-2018,1115,804
blank badges,10,05-31-2018,1064,808
blank badges,10,06-02-2018,1064,810
blank badges,10,06-05-2018,1064,813
blank badges,10,06-08-2018,1064,816
blank badges,10,06-10-2018,1064,818
blank badges,10,06-13-2018,1064,821
blank badges,10,06-16-2018,1064,824
blank badges,10,06-18-2018,1064,826
blank badges,10,06-22-2018,1140,830
blank badges,10,06-24-2018,1115,832
blank badges,10,06-26-2018,1140,834
blank badges,10,06-29-2018,1115,837
blank badges,10,07-03-2018,1140,841
blank badges,10,07-04-2018,1115,842
blank badges,10,07-09-2018,1064,847
blank badges,10,07-11-2018,1115,849
blank badges,10,07-14-2018,1064,852
blank badges,10,07-17-2018,1064,855
blank badges,10,07-19-2018,1064,857
blank badges,10,07-22-2018,1064,860
blank badges,10,07-25-2018,1064,863
blank badges,10,07-27-2018,1064,865
blank badges,10,07-31-2018,1064,869
blank badges,10,08-02-2018,1115,871
blank badges,10,08-03-2018,1216,872
blank badges,10,08-04-2018,1216,873
blank badges,10,08-07-2018,1520,876
blank badges,10,08-09-2018,1470,878
blank badges,10,08-11-2018,1824,880
blank badges,10,08-12-2018,1622,881
blank badges,10,08-16-2018,2128,885
blank badges,10,08-16-2018,1824,885
blank badges,10,08-21-2018,1976,890
blank badges,10,08-21-2018,1976,890
blank badges,10,09-01-2018,1140,899
blank badges,10,09-01-2018,1470,899
blank badges,10,09-06-2018,1064,904
blank badges,10,09-08-2018,1115,906
blank badges,10,09-12-2018,1064,910
blank badges,10,09-14-2018,1064,912
blank badges,10,09-18-2018,1064,916
blank badges,10,09-20-2018,1064,918
blank badges,10,09-23-2018,1064,921
blank badges,10,09-25-2018,1064,923
blank badges,10,09-29-2018,1064,927
blank badges,10,09-30-2018,1064,928
blank badges,10,10-05-2018,1064,933
blank badges,10,10-06-2018,1064,934
blank badges,10,10-09-2018,1064,937
blank badges,10,10-12-2018,1064,940
blank badges,10,10-15-2018,1064,943
