Item,Item ID,Day,Quantity,Order Number
box cutters,6,01-13-2016,210,5
box cutters,6,01-18-2016,210,10
box cutters,6,01-24-2016,210,16
box cutters,6,01-29-2016,210,21
box cutters,6,02-03-2016,210,26
box cutters,6,02-09-2016,210,32
box cutters,6,02-15-2016,240,38
box cutters,6,02-19-2016,240,42
box cutters,6,02-26-2016,210,49
box cutters,6,03-03-2016,210,55
box cutters,6,03-08-2016,210,59
box cutters,6,03-13-2016,210,64
box cutters,6,03-18-2016,240,69
box cutters,6,03-24-2016,210,75
box cutters,6,03-29-2016,210,80
box cutters,6,04-04-2016,210,86
box cutters,6,04-10-2016,210,91
box cutters,6,04-15-2016,240,96
box cutters,6,04-21-2016,210,102
box cutters,6,04-27-2016,210,108
box cutters,6,05-01-2016,210,112
box cutters,6,05-07-2016,210,118
box cutters,6,05-12-2016,240,123
box cutters,6,05-18-2016,210,129
box cutters,6,05-24-2016,210,135
box cutters,6,05-30-2016,210,140
box cutters,6,06-04-2016,210,145
box cutters,6,06-09-2016,210,150
box cutters,6,06-15-2016,210,155
box cutters,6,06-20-2016,240,160
box cutters,6,06-25-2016,240,165
box cutters,6,07-02-2016,210,172
box cutters,6,07-08-2016,210,177
box cutters,6,07-13-2016,210,181
box cutters,6,07-18-2016,210,186
box cutters,6,07-24-2016,210,192
box cutters,6,07-30-2016,210,198
box cutters,6,08-02-2016,270,201
box cutters,6,08-06-2016,390,205
box cutters,6,08-11-2016,420,210
box cutters,6,08-17-2016,420,215
box cutters,6,08-26-2016,210,220
box cutters,6,08-31-2016,210,225
box cutters,6,09-05-2016,210,230
box cutters,6,09-11-2016,210,235
box cutters,6,09-17-2016,210,240
box cutters,6,09-21-2016,210,244
box cutters,6,09-28-2016,210,250
box cutters,6,10-03-2016,210,254
box cutters,6,10-08-2016,210,259
box cutters,6,10-14-2016,210,265
box cutters,6,10-20-2016,210,271
box cutters,6,10-25-2016,210,276
box cutters,6,10-30-2016,210,281
box cutters,6,11-05-2016,240,287
box cutters,6,11-10-2016,210,292
box cutters,6,11-16-2016,210,298
box cutters,6,11-22-2016,210,303
box cutters,6,11-27-2016,240,308
box cutters,6,12-02-2016,240,313
box cutters,6,12-08-2016,240,319
box cutters,6,12-14-2016,240,325
box cutters,6,12-19-2016,270,330
box cutters,6,12-23-2016,360,334
box cutters,6,01-02-2017,240,342
box cutters,6,01-09-2017,229,347
box cutters,6,01-15-2017,214,353
box cutters,6,01-20-2017,210,358
box cutters,6,01-25-2017,210,363
box cutters,6,01-31-2017,210,367
box cutters,6,02-06-2017,210,373
box cutters,6,02-11-2017,210,378
box cutters,6,02-16-2017,226,382
box cutters,6,02-22-2017,226,388
box cutters,6,02-27-2017,226,392
