Item,Item ID,Day,Quantity,Order Number
cleaner,3,01-14-2016,21,6
cleaner,3,01-20-2016,21,12
cleaner,3,01-25-2016,21,17
cleaner,3,02-01-2016,21,24
cleaner,3,02-07-2016,21,30
cleaner,3,02-13-2016,21,36
cleaner,3,02-17-2016,24,39
cleaner,3,02-24-2016,21,45
cleaner,3,03-01-2016,21,51
cleaner,3,03-07-2016,21,57
cleaner,3,03-13-2016,21,63
cleaner,3,03-18-2016,24,68
cleaner,3,03-25-2016,21,75
cleaner,3,03-30-2016,21,80
cleaner,3,04-06-2016,21,87
cleaner,3,04-12-2016,21,93
cleaner,3,04-17-2016,24,98
cleaner,3,04-23-2016,21,104
cleaner,3,04-30-2016,21,111
cleaner,3,05-06-2016,21,116
cleaner,3,05-11-2016,24,121
cleaner,3,05-17-2016,21,127
cleaner,3,05-24-2016,21,134
cleaner,3,05-30-2016,21,140
cleaner,3,06-05-2016,21,146
cleaner,3,06-10-2016,21,151
cleaner,3,06-17-2016,21,158
cleaner,3,06-22-2016,24,163
cleaner,3,06-29-2016,21,170
cleaner,3,07-04-2016,21,175
cleaner,3,07-11-2016,21,181
cleaner,3,07-17-2016,21,186
cleaner,3,07-23-2016,21,191
cleaner,3,07-28-2016,21,195
cleaner,3,08-02-2016,27,199
cleaner,3,08-06-2016,39,203
cleaner,3,08-11-2016,42,208
cleaner,3,08-17-2016,42,213
cleaner,3,08-26-2016,21,221
cleaner,3,09-01-2016,21,227
cleaner,3,09-07-2016,21,233
cleaner,3,09-13-2016,21,238
cleaner,3,09-19-2016,21,242
cleaner,3,09-25-2016,21,246
cleaner,3,10-01-2016,21,252
cleaner,3,10-07-2016,21,258
cleaner,3,10-13-2016,21,263
cleaner,3,10-19-2016,21,269
cleaner,3,10-25-2016,21,275
cleaner,3,10-31-2016,24,280
cleaner,3,11-06-2016,24,285
cleaner,3,11-13-2016,21,292
cleaner,3,11-19-2016,21,298
cleaner,3,11-24-2016,21,303
cleaner,3,11-30-2016,24,309
cleaner,3,12-06-2016,24,315
cleaner,3,12-12-2016,24,321
cleaner,3,12-18-2016,24,326
cleaner,3,12-23-2016,36,331
cleaner,3,12-31-2016,24,336
cleaner,3,01-08-2017,23,344
cleaner,3,01-14-2017,22,349
cleaner,3,01-21-2017,21,355
cleaner,3,01-26-2017,21,359
cleaner,3,02-01-2017,21,363
cleaner,3,02-08-2017,21,369
cleaner,3,02-14-2017,21,375
cleaner,3,02-18-2017,23,379
cleaner,3,02-25-2017,23,385
cleaner,3,03-03-2017,21,390
cleaner,3,03-09-2017,21,395
cleaner,3,03-15-2017,21,400
cleaner,3,03-20-2017,23,405
cleaner,3,03-27-2017,23,411
cleaner,3,04-02-2017,21,417
cleaner,3,04-08-2017,21,423
