Item,Item ID,Day,Quantity,Order Number
keyboards,17,01-14-2016,35,6
keyboards,17,01-19-2016,35,11
keyboards,17,01-25-2016,35,17
keyboards,17,01-31-2016,35,23
keyboards,17,02-05-2016,35,28
keyboards,17,02-10-2016,35,33
keyboards,17,02-16-2016,40,39
keyboards,17,02-22-2016,35,45
keyboards,17,02-27-2016,35,50
keyboards,17,03-04-2016,35,56
keyboards,17,03-10-2016,35,61
keyboards,17,03-16-2016,35,67
keyboards,17,03-20-2016,40,71
keyboards,17,03-27-2016,35,78
keyboards,17,04-02-2016,35,84
keyboards,17,04-07-2016,35,89
keyboards,17,04-13-2016,35,94
keyboards,17,04-18-2016,40,99
keyboards,17,04-24-2016,35,105
keyboards,17,04-30-2016,35,111
keyboards,17,05-06-2016,35,117
keyboards,17,05-11-2016,40,122
keyboards,17,05-17-2016,35,128
keyboards,17,05-23-2016,35,134
keyboards,17,05-29-2016,35,139
keyboards,17,06-03-2016,35,144
keyboards,17,06-09-2016,35,150
keyboards,17,06-15-2016,35,155
keyboards,17,06-21-2016,40,161
keyboards,17,06-26-2016,40,166
keyboards,17,07-03-2016,35,173
keyboards,17,07-09-2016,35,178
keyboards,17,07-14-2016,35,182
keyboards,17,07-19-2016,35,187
keyboards,17,07-26-2016,35,194
keyboards,17,08-01-2016,40,200
keyboards,17,08-03-2016,50,202
keyboards,17,08-08-2016,70,207
keyboards,17,08-14-2016,70,212
keyboards,17,08-19-2016,65,217
keyboards,17,08-30-2016,35,224
keyboards,17,09-05-2016,35,230
keyboards,17,09-11-2016,35,235
keyboards,17,09-16-2016,35,239
keyboards,17,09-21-2016,35,244
keyboards,17,09-28-2016,35,250
keyboards,17,10-04-2016,35,255
keyboards,17,10-09-2016,35,260
keyboards,17,10-15-2016,35,266
keyboards,17,10-21-2016,35,272
keyboards,17,10-26-2016,35,277
keyboards,17,10-31-2016,40,282
keyboards,17,11-07-2016,35,289
keyboards,17,11-13-2016,35,295
keyboards,17,11-18-2016,35,300
keyboards,17,11-24-2016,35,305
keyboards,17,11-29-2016,40,310
keyboards,17,12-05-2016,40,316
keyboards,17,12-10-2016,40,321
keyboards,17,12-17-2016,40,328
keyboards,17,12-22-2016,55,333
keyboards,17,12-27-2016,55,338
keyboards,17,01-06-2017,40,345
keyboards,17,01-13-2017,36,351
keyboards,17,01-18-2017,34,356
keyboards,17,01-24-2017,35,362
keyboards,17,01-30-2017,35,366
keyboards,17,02-05-2017,35,372
keyboards,17,02-10-2017,35,377
keyboards,17,02-15-2017,38,381
keyboards,17,02-21-2017,38,387
keyboards,17,02-27-2017,38,392
keyboards,17,03-05-2017,35,396
keyboards,17,03-11-2017,35,401
