Item,Item ID,Day,Quantity,Order Number
light bulbs,5,01-13-2016,105,5
light bulbs,5,01-18-2016,105,10
light bulbs,5,01-24-2016,105,16
light bulbs,5,01-30-2016,105,22
light bulbs,5,02-04-2016,105,27
light bulbs,5,02-09-2016,105,32
light bulbs,5,02-15-2016,120,37
light bulbs,5,02-20-2016,120,42
light bulbs,5,02-26-2016,105,47
light bulbs,5,03-03-2016,105,53
light bulbs,5,03-09-2016,105,59
light bulbs,5,03-14-2016,105,64
light bulbs,5,03-19-2016,120,69
light bulbs,5,03-25-2016,105,75
light bulbs,5,03-30-2016,105,80
light bulbs,5,04-05-2016,105,86
light bulbs,5,04-11-2016,105,92
light bulbs,5,04-15-2016,120,96
light bulbs,5,04-22-2016,105,103
light bulbs,5,04-28-2016,105,109
light bulbs,5,05-03-2016,105,113
light bulbs,5,05-08-2016,105,118
light bulbs,5,05-14-2016,120,124
light bulbs,5,05-20-2016,105,130
light bulbs,5,05-25-2016,105,135
light bulbs,5,05-31-2016,105,141
light bulbs,5,06-06-2016,105,147
light bulbs,5,06-11-2016,105,152
light bulbs,5,06-16-2016,105,157
light bulbs,5,06-22-2016,120,163
light bulbs,5,06-28-2016,105,169
light bulbs,5,07-03-2016,105,174
light bulbs,5,07-09-2016,105,179
light bulbs,5,07-14-2016,105,183
light bulbs,5,07-19-2016,105,187
light bulbs,5,07-25-2016,105,192
light bulbs,5,07-31-2016,105,197
light bulbs,5,08-03-2016,150,200
light bulbs,5,08-07-2016,210,204
light bulbs,5,08-12-2016,210,209
light bulbs,5,08-18-2016,210,214
light bulbs,5,08-28-2016,105,223
light bulbs,5,09-03-2016,105,229
light bulbs,5,09-08-2016,105,234
light bulbs,5,09-13-2016,105,238
light bulbs,5,09-19-2016,105,242
light bulbs,5,09-25-2016,105,246
light bulbs,5,09-30-2016,105,251
light bulbs,5,10-06-2016,105,257
light bulbs,5,10-12-2016,105,262
light bulbs,5,10-17-2016,105,267
light bulbs,5,10-22-2016,105,272
light bulbs,5,10-28-2016,105,277
light bulbs,5,11-02-2016,120,282
light bulbs,5,11-08-2016,105,287
light bulbs,5,11-14-2016,105,293
light bulbs,5,11-20-2016,105,299
light bulbs,5,11-25-2016,105,304
light bulbs,5,11-30-2016,120,309
light bulbs,5,12-06-2016,120,315
light bulbs,5,12-11-2016,120,320
light bulbs,5,12-17-2016,120,325
light bulbs,5,12-22-2016,165,330
light bulbs,5,12-27-2016,165,334
light bulbs,5,01-06-2017,120,342
light bulbs,5,01-13-2017,107,348
light bulbs,5,01-18-2017,100,353
light bulbs,5,01-24-2017,105,358
light bulbs,5,01-30-2017,105,362
light bulbs,5,02-04-2017,105,365
light bulbs,5,02-09-2017,105,370
light bulbs,5,02-15-2017,113,376
light bulbs,5,02-20-2017,113,381
light bulbs,5,02-26-2017,113,386
light bulbs,5,03-04-2017,105,391
light bulbs,5,03-10-2017,105,396
light bulbs,5,03-14-2017,105,399
light bulbs,5,03-20-2017,113,405
light bulbs,5,03-26-2017,113,410
light bulbs,5,03-31-2017,113,415
light bulbs,5,04-06-2017,105,421
light bulbs,5,04-12-2017,105,427
light bulbs,5,04-16-2017,113,431
light bulbs,5,04-22-2017,113,437
light bulbs,5,04-29-2017,105,444
light bulbs,5,05-04-2017,105,449
light bulbs,5,05-09-2017,105,454
light bulbs,5,05-15-2017,113,460
light bulbs,5,05-21-2017,113,466
light bulbs,5,05-26-2017,105,471
light bulbs,5,06-01-2017,105,476
light bulbs,5,06-07-2017,105,482
light bulbs,5,06-12-2017,105,487
light bulbs,5,06-18-2017,105,492
light bulbs,5,06-23-2017,113,497
light bulbs,5,06-28-2017,113,502
light bulbs,5,07-04-2017,113,507
light bulbs,5,07-11-2017,105,514
light bulbs,5,07-16-2017,105,519
light bulbs,5,07-21-2017,105,524
light bulbs,5,07-27-2017,105,529
light bulbs,5,08-02-2017,113,535
light bulbs,5,08-04-2017,128,537
light bulbs,5,08-09-2017,165,542
light bulbs,5,08-12-2017,188,545
light bulbs,5,08-18-2017,210,550
light bulbs,5,08-27-2017,150,557
light bulbs,5,09-04-2017,105,562
light bulbs,5,09-09-2017,105,566
light bulbs,5,09-14-2017,105,571
light bulbs,5,09-20-2017,105,577
light bulbs,5,09-26-2017,105,582
light bulbs,5,10-01-2017,105,587
light bulbs,5,10-07-2017,105,592
light bulbs,5,10-13-2017,105,596
light bulbs,5,10-18-2017,105,599
light bulbs,5,10-24-2017,105,603
light bulbs,5,10-30-2017,105,608
light bulbs,5,11-03-2017,113,612
light bulbs,5,11-09-2017,113,616
light bulbs,5,11-15-2017,105,621
light bulbs,5,11-21-2017,105,626
light bulbs,5,11-26-2017,105,631
light bulbs,5,12-01-2017,113,635
light bulbs,5,12-06-2017,120,640
light bulbs,5,12-12-2017,120,645
light bulbs,5,12-18-2017,120,651
light bulbs,5,12-23-2017,132,656
light bulbs,5,12-28-2017,139,660
light bulbs,5,01-04-2018,139,665
light bulbs,5,01-06-2018,120,667
light bulbs,5,01-11-2018,123,672
light bulbs,5,01-13-2018,107,674
light bulbs,5,01-18-2018,100,679
light bulbs,5,01-20-2018,103,681
light bulbs,5,01-24-2018,105,685
light bulbs,5,01-25-2018,98,686
light bulbs,5,01-30-2018,105,691
light bulbs,5,01-31-2018,98,692
light bulbs,5,02-04-2018,105,696
light bulbs,5,02-05-2018,102,697
light bulbs,5,02-09-2018,105,701
light bulbs,5,02-10-2018,105,702
light bulbs,5,02-15-2018,113,707
light bulbs,5,02-15-2018,110,707
light bulbs,5,02-20-2018,113,712
light bulbs,5,02-21-2018,110,713
light bulbs,5,02-26-2018,113,717
light bulbs,5,02-26-2018,110,717
light bulbs,5,03-04-2018,105,722
light bulbs,5,03-04-2018,110,722
light bulbs,5,03-10-2018,105,727
light bulbs,5,03-11-2018,105,728
light bulbs,5,03-14-2018,105,731
light bulbs,5,03-15-2018,105,732
light bulbs,5,03-20-2018,113,737
light bulbs,5,03-20-2018,110,737
light bulbs,5,03-26-2018,113,742
light bulbs,5,03-26-2018,110,742
light bulbs,5,03-31-2018,113,747
light bulbs,5,04-01-2018,110,748
light bulbs,5,04-06-2018,105,753
light bulbs,5,04-06-2018,110,753
light bulbs,5,04-12-2018,105,759
light bulbs,5,04-13-2018,105,760
light bulbs,5,04-16-2018,113,763
light bulbs,5,04-17-2018,110,764
light bulbs,5,04-22-2018,113,769
light bulbs,5,04-23-2018,110,770
light bulbs,5,04-29-2018,105,776
light bulbs,5,04-29-2018,110,776
light bulbs,5,05-04-2018,105,781
light bulbs,5,05-05-2018,110,782
light bulbs,5,05-09-2018,105,786
light bulbs,5,05-10-2018,110,787
light bulbs,5,05-15-2018,113,792
light bulbs,5,05-16-2018,110,793
light bulbs,5,05-21-2018,113,798
light bulbs,5,05-22-2018,110,799
light bulbs,5,05-26-2018,105,803
light bulbs,5,05-27-2018,110,804
light bulbs,5,06-01-2018,105,809
light bulbs,5,06-02-2018,105,810
light bulbs,5,06-07-2018,105,815
light bulbs,5,06-08-2018,105,816
light bulbs,5,06-12-2018,105,820
light bulbs,5,06-13-2018,105,821
light bulbs,5,06-18-2018,105,826
light bulbs,5,06-18-2018,105,826
light bulbs,5,06-23-2018,113,831
light bulbs,5,06-24-2018,110,832
light bulbs,5,06-28-2018,113,836
light bulbs,5,06-30-2018,110,838
light bulbs,5,07-04-2018,113,842
light bulbs,5,07-05-2018,110,843
light bulbs,5,07-11-2018,105,849
light bulbs,5,07-11-2018,110,849
light bulbs,5,07-16-2018,105,854
light bulbs,5,07-17-2018,105,855
light bulbs,5,07-21-2018,105,859
light bulbs,5,07-22-2018,105,860
light bulbs,5,07-27-2018,105,865
light bulbs,5,07-28-2018,105,866
light bulbs,5,08-02-2018,113,871
light bulbs,5,08-02-2018,110,871
light bulbs,5,08-04-2018,128,873
light bulbs,5,08-05-2018,125,874
light bulbs,5,08-09-2018,165,878
light bulbs,5,08-09-2018,145,878
light bulbs,5,08-12-2018,188,881
light bulbs,5,08-12-2018,160,881
light bulbs,5,08-17-2018,185,886
light bulbs,5,08-18-2018,210,887
light bulbs,5,08-22-2018,195,891
light bulbs,5,08-27-2018,150,895
light bulbs,5,09-02-2018,140,900
light bulbs,5,09-04-2018,105,902
light bulbs,5,09-09-2018,105,907
light bulbs,5,09-10-2018,105,908
light bulbs,5,09-14-2018,105,912
light bulbs,5,09-14-2018,105,912
light bulbs,5,09-20-2018,105,918
light bulbs,5,09-21-2018,105,919
light bulbs,5,09-26-2018,105,924
light bulbs,5,09-26-2018,105,924
light bulbs,5,10-01-2018,105,929
light bulbs,5,10-01-2018,105,929
light bulbs,5,10-07-2018,105,935
light bulbs,5,10-07-2018,105,935
light bulbs,5,10-13-2018,105,941
light bulbs,5,10-13-2018,105,941
light bulbs,5,10-18-2018,105,946
light bulbs,5,10-18-2018,105,946
light bulbs,5,10-24-2018,105,952
light bulbs,5,10-24-2018,105,952
light bulbs,5,10-30-2018,105,957
light bulbs,5,10-30-2018,105,957
light bulbs,5,11-03-2018,113,961
light bulbs,5,11-03-2018,110,961
light bulbs,5,11-09-2018,113,967
light bulbs,5,11-09-2018,110,967
light bulbs,5,11-15-2018,105,973
light bulbs,5,11-16-2018,107,974
light bulbs,5,11-21-2018,105,979
light bulbs,5,11-22-2018,102,980
light bulbs,5,11-26-2018,105,984
light bulbs,5,11-27-2018,102,985
light bulbs,5,12-01-2018,113,989
light bulbs,5,12-02-2018,107,990
light bulbs,5,12-06-2018,120,994
light bulbs,5,12-06-2018,115,994
light bulbs,5,12-12-2018,120,1000
light bulbs,5,12-12-2018,120,1000
light bulbs,5,12-18-2018,120,1006
light bulbs,5,12-18-2018,120,1006
light bulbs,5,12-23-2018,132,1011
light bulbs,5,12-23-2018,135,1011
light bulbs,5,12-27-2018,140,1015
light bulbs,5,12-28-2018,139,1016
light bulbs,5,01-03-2019,140,1020
light bulbs,5,01-04-2019,139,1021
light bulbs,5,01-06-2019,120,1023
light bulbs,5,01-09-2019,132,1026
light bulbs,5,01-11-2019,123,1028
light bulbs,5,01-13-2019,107,1030
light bulbs,5,01-17-2019,124,1034
light bulbs,5,01-18-2019,100,1035
light bulbs,5,01-20-2019,103,1037
light bulbs,5,01-23-2019,113,1040
light bulbs,5,01-24-2019,105,1041
light bulbs,5,01-25-2019,98,1042
light bulbs,5,01-30-2019,105,1047
light bulbs,5,01-30-2019,105,1047
light bulbs,5,01-31-2019,98,1048
light bulbs,5,02-04-2019,105,1052
light bulbs,5,02-04-2019,105,1052
light bulbs,5,02-05-2019,102,1053
light bulbs,5,02-09-2019,105,1057
light bulbs,5,02-09-2019,105,1057
light bulbs,5,02-10-2019,105,1058
light bulbs,5,02-15-2019,113,1063
light bulbs,5,02-15-2019,110,1063
light bulbs,5,02-15-2019,109,1063
light bulbs,5,02-19-2019,109,1067
light bulbs,5,02-20-2019,113,1068
light bulbs,5,02-21-2019,110,1069
light bulbs,5,02-25-2019,109,1073
light bulbs,5,02-26-2019,113,1074
light bulbs,5,02-26-2019,110,1074
light bulbs,5,03-03-2019,106,1078
light bulbs,5,03-04-2019,105,1079
light bulbs,5,03-04-2019,110,1079
light bulbs,5,03-10-2019,105,1085
light bulbs,5,03-10-2019,106,1085
light bulbs,5,03-11-2019,105,1086
light bulbs,5,03-14-2019,105,1089
light bulbs,5,03-15-2019,105,1090
light bulbs,5,03-15-2019,103,1090
light bulbs,5,03-20-2019,113,1095
light bulbs,5,03-20-2019,110,1095
light bulbs,5,03-20-2019,106,1095
light bulbs,5,03-25-2019,106,1100
light bulbs,5,03-26-2019,113,1101
light bulbs,5,03-26-2019,110,1101
light bulbs,5,03-30-2019,106,1105
light bulbs,5,03-31-2019,113,1106
light bulbs,5,04-01-2019,110,1107
light bulbs,5,04-06-2019,105,1112
light bulbs,5,04-06-2019,110,1112
light bulbs,5,04-06-2019,109,1112
light bulbs,5,04-12-2019,105,1118
light bulbs,5,04-12-2019,109,1118
light bulbs,5,04-13-2019,105,1119
light bulbs,5,04-16-2019,113,1122
light bulbs,5,04-16-2019,109,1122
light bulbs,5,04-17-2019,110,1123
light bulbs,5,04-22-2019,113,1128
light bulbs,5,04-22-2019,109,1128
light bulbs,5,04-23-2019,110,1129
light bulbs,5,04-28-2019,109,1134
light bulbs,5,04-29-2019,105,1135
light bulbs,5,04-29-2019,110,1135
light bulbs,5,05-03-2019,109,1139
light bulbs,5,05-04-2019,105,1140
light bulbs,5,05-05-2019,110,1141
light bulbs,5,05-09-2019,105,1145
light bulbs,5,05-09-2019,109,1145
light bulbs,5,05-10-2019,110,1146
light bulbs,5,05-15-2019,113,1151
light bulbs,5,05-15-2019,109,1151
light bulbs,5,05-16-2019,110,1152
light bulbs,5,05-20-2019,109,1156
light bulbs,5,05-21-2019,113,1157
light bulbs,5,05-22-2019,110,1158
light bulbs,5,05-25-2019,109,1161
light bulbs,5,05-26-2019,105,1162
light bulbs,5,05-27-2019,110,1163
light bulbs,5,06-01-2019,105,1168
light bulbs,5,06-01-2019,109,1168
light bulbs,5,06-02-2019,105,1169
light bulbs,5,06-07-2019,105,1174
light bulbs,5,06-07-2019,105,1174
light bulbs,5,06-08-2019,105,1175
light bulbs,5,06-12-2019,105,1179
light bulbs,5,06-12-2019,105,1179
light bulbs,5,06-13-2019,105,1180
light bulbs,5,06-17-2019,105,1184
light bulbs,5,06-18-2019,105,1185
light bulbs,5,06-18-2019,105,1185
light bulbs,5,06-23-2019,113,1190
light bulbs,5,06-23-2019,109,1190
light bulbs,5,06-24-2019,110,1191
light bulbs,5,06-28-2019,113,1195
light bulbs,5,06-28-2019,109,1195
light bulbs,5,06-30-2019,110,1197
light bulbs,5,07-04-2019,113,1201
light bulbs,5,07-04-2019,109,1201
light bulbs,5,07-05-2019,110,1202
light bulbs,5,07-10-2019,109,1207
light bulbs,5,07-11-2019,105,1208
light bulbs,5,07-11-2019,110,1208
light bulbs,5,07-16-2019,105,1213
light bulbs,5,07-16-2019,109,1213
light bulbs,5,07-17-2019,105,1214
light bulbs,5,07-21-2019,105,1218
light bulbs,5,07-21-2019,105,1218
light bulbs,5,07-22-2019,105,1219
light bulbs,5,07-27-2019,105,1224
light bulbs,5,07-27-2019,105,1224
light bulbs,5,07-28-2019,105,1225
light bulbs,5,08-02-2019,113,1230
light bulbs,5,08-02-2019,110,1230
light bulbs,5,08-02-2019,109,1230
light bulbs,5,08-04-2019,128,1232
light bulbs,5,08-04-2019,117,1232
light bulbs,5,08-05-2019,125,1233
light bulbs,5,08-08-2019,132,1236
light bulbs,5,08-09-2019,165,1237
light bulbs,5,08-09-2019,145,1237
light bulbs,5,08-11-2019,143,1239
light bulbs,5,08-12-2019,188,1240
light bulbs,5,08-12-2019,160,1240
light bulbs,5,08-15-2019,158,1243
light bulbs,5,08-17-2019,185,1245
light bulbs,5,08-18-2019,210,1246
light bulbs,5,08-19-2019,173,1247
light bulbs,5,08-22-2019,195,1250
light bulbs,5,08-27-2019,150,1255
light bulbs,5,08-27-2019,173,1255
light bulbs,5,09-02-2019,140,1260
light bulbs,5,09-04-2019,105,1262
light bulbs,5,09-05-2019,147,1263
light bulbs,5,09-09-2019,105,1267
light bulbs,5,09-10-2019,105,1268
light bulbs,5,09-13-2019,117,1271
light bulbs,5,09-14-2019,105,1272
light bulbs,5,09-14-2019,105,1272
light bulbs,5,09-19-2019,105,1277
light bulbs,5,09-20-2019,105,1278
light bulbs,5,09-21-2019,105,1279
light bulbs,5,09-24-2019,105,1282
light bulbs,5,09-26-2019,105,1284
light bulbs,5,09-26-2019,105,1284
light bulbs,5,09-30-2019,105,1288
light bulbs,5,10-01-2019,105,1289
light bulbs,5,10-01-2019,105,1289
light bulbs,5,10-06-2019,105,1294
light bulbs,5,10-07-2019,105,1295
light bulbs,5,10-07-2019,105,1295
light bulbs,5,10-11-2019,105,1299
light bulbs,5,10-13-2019,105,1301
light bulbs,5,10-13-2019,105,1301
light bulbs,5,10-16-2019,105,1304
light bulbs,5,10-18-2019,105,1306
light bulbs,5,10-18-2019,105,1306
light bulbs,5,10-22-2019,105,1310
light bulbs,5,10-24-2019,105,1312
light bulbs,5,10-24-2019,105,1312
light bulbs,5,10-28-2019,105,1316
light bulbs,5,10-30-2019,105,1318
light bulbs,5,10-30-2019,105,1318
light bulbs,5,11-02-2019,109,1321
light bulbs,5,11-03-2019,113,1322
light bulbs,5,11-03-2019,110,1322
light bulbs,5,11-07-2019,109,1326
light bulbs,5,11-09-2019,113,1328
light bulbs,5,11-09-2019,110,1328
light bulbs,5,11-13-2019,109,1332
light bulbs,5,11-15-2019,105,1334
light bulbs,5,11-16-2019,107,1335
light bulbs,5,11-18-2019,109,1337
light bulbs,5,11-21-2019,105,1340
light bulbs,5,11-22-2019,102,1341
light bulbs,5,11-24-2019,109,1343
light bulbs,5,11-26-2019,105,1345
light bulbs,5,11-27-2019,102,1346
light bulbs,5,11-30-2019,109,1349
light bulbs,5,12-01-2019,113,1350
light bulbs,5,12-02-2019,107,1351
light bulbs,5,12-05-2019,113,1354
light bulbs,5,12-06-2019,120,1355
light bulbs,5,12-06-2019,115,1355
light bulbs,5,12-10-2019,113,1359
light bulbs,5,12-12-2019,120,1361
light bulbs,5,12-12-2019,120,1361
