Item,Item ID,Day,Quantity,Order Number
meat trays,12,01-12-2016,2443,4
meat trays,12,01-17-2016,2443,9
meat trays,12,01-23-2016,2443,15
meat trays,12,01-29-2016,2443,21
meat trays,12,02-03-2016,2443,26
meat trays,12,02-09-2016,2443,32
meat trays,12,02-15-2016,2792,37
meat trays,12,02-19-2016,2792,41
meat trays,12,02-25-2016,2443,46
meat trays,12,03-02-2016,2443,52
meat trays,12,03-08-2016,2443,58
meat trays,12,03-13-2016,2443,63
meat trays,12,03-18-2016,2792,68
meat trays,12,03-24-2016,2443,74
meat trays,12,03-29-2016,2443,79
meat trays,12,04-04-2016,2443,85
meat trays,12,04-09-2016,2443,90
meat trays,12,04-14-2016,2792,95
meat trays,12,04-20-2016,2792,101
meat trays,12,04-27-2016,2443,108
meat trays,12,05-02-2016,2443,112
meat trays,12,05-07-2016,2443,117
meat trays,12,05-13-2016,2792,123
meat trays,12,05-18-2016,2443,128
meat trays,12,05-24-2016,2443,134
meat trays,12,05-30-2016,2443,140
meat trays,12,06-04-2016,2443,145
meat trays,12,06-09-2016,2443,150
meat trays,12,06-15-2016,2443,156
meat trays,12,06-21-2016,2792,162
meat trays,12,06-25-2016,2792,166
meat trays,12,07-02-2016,2443,173
meat trays,12,07-08-2016,2443,178
meat trays,12,07-13-2016,2443,182
meat trays,12,07-19-2016,2443,187
meat trays,12,07-25-2016,2443,192
meat trays,12,07-30-2016,2443,196
meat trays,12,08-02-2016,3141,199
meat trays,12,08-06-2016,4537,203
meat trays,12,08-11-2016,4886,208
meat trays,12,08-17-2016,4886,213
meat trays,12,08-26-2016,2443,221
meat trays,12,08-31-2016,2443,226
meat trays,12,09-05-2016,2443,231
meat trays,12,09-11-2016,2443,236
meat trays,12,09-16-2016,2443,240
meat trays,12,09-21-2016,2443,244
meat trays,12,09-27-2016,2443,248
meat trays,12,10-03-2016,2443,254
meat trays,12,10-08-2016,2443,259
meat trays,12,10-14-2016,2443,264
meat trays,12,10-20-2016,2443,270
meat trays,12,10-25-2016,2443,275
meat trays,12,10-30-2016,2443,279
meat trays,12,11-04-2016,2792,284
meat trays,12,11-10-2016,2443,289
meat trays,12,11-16-2016,2443,295
meat trays,12,11-22-2016,2443,301
meat trays,12,11-27-2016,2792,306
meat trays,12,12-02-2016,2792,311
meat trays,12,12-08-2016,2792,317
meat trays,12,12-13-2016,2792,322
meat trays,12,12-19-2016,3141,327
meat trays,12,12-23-2016,4188,331
meat trays,12,01-01-2017,2792,337
meat trays,12,01-08-2017,2662,344
meat trays,12,01-14-2017,2487,349
meat trays,12,01-19-2017,2313,354
meat trays,12,01-24-2017,2443,358
meat trays,12,01-30-2017,2443,362
meat trays,12,02-04-2017,2443,365
meat trays,12,02-10-2017,2443,371
meat trays,12,02-15-2017,2618,376
meat trays,12,02-21-2017,2618,382
meat trays,12,02-26-2017,2618,386
meat trays,12,03-05-2017,2443,392
meat trays,12,03-10-2017,2443,396
meat trays,12,03-15-2017,2443,400
meat trays,12,03-20-2017,2618,405
meat trays,12,03-26-2017,2618,410
meat trays,12,03-31-2017,2618,415
meat trays,12,04-06-2017,2443,421
meat trays,12,04-12-2017,2443,427
meat trays,12,04-16-2017,2618,431
meat trays,12,04-22-2017,2618,437
meat trays,12,04-29-2017,2443,444
meat trays,12,05-04-2017,2443,449
meat trays,12,05-09-2017,2443,454
meat trays,12,05-15-2017,2618,460
meat trays,12,05-20-2017,2618,465
meat trays,12,05-26-2017,2443,471
meat trays,12,06-01-2017,2443,476
meat trays,12,06-06-2017,2443,481
meat trays,12,06-11-2017,2443,486
meat trays,12,06-17-2017,2443,491
meat trays,12,06-22-2017,2618,496
meat trays,12,06-27-2017,2618,501
meat trays,12,07-03-2017,2618,506
meat trays,12,07-10-2017,2443,513
meat trays,12,07-15-2017,2443,518
meat trays,12,07-20-2017,2443,523
meat trays,12,07-26-2017,2443,528
meat trays,12,08-01-2017,2443,534
meat trays,12,08-04-2017,2967,537
meat trays,12,08-07-2017,3490,540
