Item,Item ID,Day,Quantity,Order Number
office chair,7,01-09-2016,28,1
office chair,7,01-16-2016,28,8
office chair,7,01-22-2016,28,14
office chair,7,01-28-2016,28,20
office chair,7,02-02-2016,28,25
office chair,7,02-08-2016,28,31
office chair,7,02-15-2016,32,37
office chair,7,02-19-2016,32,41
office chair,7,02-26-2016,28,47
office chair,7,03-03-2016,28,53
office chair,7,03-10-2016,28,60
office chair,7,03-15-2016,28,65
office chair,7,03-20-2016,32,70
office chair,7,03-27-2016,28,77
office chair,7,04-02-2016,28,83
office chair,7,04-07-2016,28,88
office chair,7,04-13-2016,28,94
office chair,7,04-19-2016,32,100
office chair,7,04-25-2016,28,106
office chair,7,04-30-2016,28,111
office chair,7,05-07-2016,28,117
office chair,7,05-12-2016,32,122
office chair,7,05-19-2016,28,129
office chair,7,05-24-2016,28,134
office chair,7,05-30-2016,28,140
office chair,7,06-06-2016,28,147
office chair,7,06-11-2016,28,152
office chair,7,06-17-2016,28,158
office chair,7,06-22-2016,32,163
office chair,7,06-29-2016,28,170
office chair,7,07-04-2016,28,175
office chair,7,07-10-2016,28,180
office chair,7,07-17-2016,28,186
office chair,7,07-23-2016,28,191
office chair,7,07-28-2016,28,195
office chair,7,08-02-2016,36,199
office chair,7,08-06-2016,52,203
office chair,7,08-11-2016,56,208
office chair,7,08-17-2016,56,213
office chair,7,08-26-2016,28,221
office chair,7,09-01-2016,28,227
office chair,7,09-06-2016,28,232
office chair,7,09-12-2016,28,237
office chair,7,09-18-2016,28,241
office chair,7,09-24-2016,28,245
office chair,7,09-29-2016,28,250
office chair,7,10-06-2016,28,257
office chair,7,10-12-2016,28,262
office chair,7,10-18-2016,28,268
office chair,7,10-23-2016,28,273
office chair,7,10-29-2016,28,278
office chair,7,11-04-2016,32,284
office chair,7,11-10-2016,28,289
office chair,7,11-16-2016,28,295
office chair,7,11-22-2016,28,301
office chair,7,11-28-2016,32,307
office chair,7,12-03-2016,32,312
office chair,7,12-09-2016,32,318
office chair,7,12-16-2016,32,324
office chair,7,12-21-2016,40,329
office chair,7,12-25-2016,44,332
office chair,7,01-04-2017,32,340
office chair,7,01-12-2017,29,347
office chair,7,01-17-2017,27,352
office chair,7,01-24-2017,28,358
office chair,7,01-30-2017,28,362
office chair,7,02-04-2017,28,365
office chair,7,02-10-2017,28,371
office chair,7,02-15-2017,30,376
office chair,7,02-21-2017,30,382
office chair,7,02-27-2017,30,387
office chair,7,03-06-2017,28,393
office chair,7,03-12-2017,28,398
office chair,7,03-18-2017,30,403
office chair,7,03-22-2017,30,407
office chair,7,03-29-2017,30,413
office chair,7,04-05-2017,28,420
office chair,7,04-10-2017,28,425
office chair,7,04-15-2017,30,430
office chair,7,04-22-2017,30,437
office chair,7,04-28-2017,30,443
office chair,7,05-04-2017,28,449
office chair,7,05-10-2017,30,455
office chair,7,05-16-2017,30,461
office chair,7,05-22-2017,30,467
office chair,7,05-28-2017,28,472
office chair,7,06-03-2017,28,478
office chair,7,06-09-2017,28,484
office chair,7,06-15-2017,28,489
office chair,7,06-21-2017,30,495
office chair,7,06-26-2017,30,500
office chair,7,07-03-2017,30,506
office chair,7,07-09-2017,28,512
office chair,7,07-15-2017,28,518
office chair,7,07-20-2017,28,523
office chair,7,07-27-2017,28,529
office chair,7,08-02-2017,30,535
office chair,7,08-04-2017,34,537
office chair,7,08-09-2017,44,542
office chair,7,08-12-2017,50,545
office chair,7,08-18-2017,56,550
office chair,7,08-28-2017,38,558
office chair,7,09-05-2017,28,563
office chair,7,09-12-2017,28,569
office chair,7,09-17-2017,28,574
office chair,7,09-23-2017,28,580
office chair,7,09-29-2017,28,585
office chair,7,10-05-2017,28,590
office chair,7,10-11-2017,28,595
office chair,7,10-16-2017,28,598
office chair,7,10-23-2017,28,602
office chair,7,10-29-2017,28,607
office chair,7,11-02-2017,30,611
office chair,7,11-09-2017,30,616
