Item,Item ID,Day,Quantity,Order Number
paper towel,2,01-15-2016,105,7
paper towel,2,01-20-2016,105,12
paper towel,2,01-25-2016,105,17
paper towel,2,01-31-2016,105,23
paper towel,2,02-06-2016,105,29
paper towel,2,02-11-2016,105,34
paper towel,2,02-16-2016,120,38
paper towel,2,02-22-2016,105,43
paper towel,2,02-27-2016,105,48
paper towel,2,03-04-2016,105,54
paper towel,2,03-10-2016,105,60
paper towel,2,03-15-2016,105,65
paper towel,2,03-20-2016,120,70
paper towel,2,03-26-2016,105,76
paper towel,2,04-01-2016,105,82
paper towel,2,04-06-2016,105,87
paper towel,2,04-12-2016,105,93
paper towel,2,04-16-2016,120,97
paper towel,2,04-22-2016,105,103
paper towel,2,04-29-2016,105,110
paper towel,2,05-04-2016,105,114
paper towel,2,05-09-2016,120,119
paper towel,2,05-15-2016,120,125
paper towel,2,05-22-2016,105,132
paper towel,2,05-27-2016,105,137
paper towel,2,06-01-2016,105,142
paper towel,2,06-07-2016,105,148
paper towel,2,06-13-2016,105,154
paper towel,2,06-18-2016,105,159
paper towel,2,06-23-2016,120,164
paper towel,2,06-30-2016,105,171
paper towel,2,07-05-2016,105,176
paper towel,2,07-10-2016,105,180
paper towel,2,07-16-2016,105,185
paper towel,2,07-22-2016,105,190
paper towel,2,07-27-2016,105,194
paper towel,2,08-01-2016,120,198
paper towel,2,08-04-2016,165,201
paper towel,2,08-09-2016,210,206
paper towel,2,08-15-2016,210,211
paper towel,2,08-20-2016,180,216
paper towel,2,08-30-2016,105,225
paper towel,2,09-05-2016,105,231
paper towel,2,09-11-2016,105,236
paper towel,2,09-16-2016,105,240
paper towel,2,09-21-2016,105,244
paper towel,2,09-27-2016,105,248
paper towel,2,10-03-2016,105,254
paper towel,2,10-08-2016,105,259
paper towel,2,10-14-2016,105,264
paper towel,2,10-20-2016,105,270
paper towel,2,10-24-2016,105,274
paper towel,2,10-30-2016,105,279
paper towel,2,11-04-2016,120,284
paper towel,2,11-10-2016,105,289
paper towel,2,11-16-2016,105,295
paper towel,2,11-22-2016,105,301
paper towel,2,11-27-2016,120,306
paper towel,2,12-02-2016,120,311
paper towel,2,12-08-2016,120,317
paper towel,2,12-14-2016,120,323
paper towel,2,12-19-2016,135,327
paper towel,2,12-23-2016,180,331
paper towel,2,01-02-2017,120,338
paper towel,2,01-09-2017,115,345
paper towel,2,01-15-2017,107,350
paper towel,2,01-21-2017,105,355
paper towel,2,01-26-2017,105,359
paper towel,2,02-01-2017,105,363
paper towel,2,02-07-2017,105,368
paper towel,2,02-12-2017,105,373
paper towel,2,02-16-2017,113,377
paper towel,2,02-23-2017,113,384
paper towel,2,02-28-2017,113,388
paper towel,2,03-06-2017,105,393
paper towel,2,03-12-2017,105,398
paper towel,2,03-17-2017,105,402
paper towel,2,03-22-2017,113,407
paper towel,2,03-28-2017,113,412
paper towel,2,04-03-2017,105,418
paper towel,2,04-08-2017,105,423
paper towel,2,04-14-2017,105,429
paper towel,2,04-19-2017,113,434
paper towel,2,04-24-2017,113,439
paper towel,2,04-30-2017,105,445
paper towel,2,05-06-2017,105,451
paper towel,2,05-11-2017,113,456
paper towel,2,05-17-2017,113,462
paper towel,2,05-23-2017,113,468
paper towel,2,05-29-2017,105,473
paper towel,2,06-03-2017,105,478
paper towel,2,06-09-2017,105,484
paper towel,2,06-15-2017,105,489
paper towel,2,06-20-2017,105,494
paper towel,2,06-25-2017,113,499
paper towel,2,07-01-2017,113,504
paper towel,2,07-07-2017,105,510
paper towel,2,07-12-2017,105,515
paper towel,2,07-18-2017,105,521
paper towel,2,07-24-2017,105,526
paper towel,2,07-29-2017,105,531
paper towel,2,08-03-2017,120,536
paper towel,2,08-06-2017,143,539
paper towel,2,08-10-2017,173,543
paper towel,2,08-14-2017,203,547
paper towel,2,08-19-2017,210,551
paper towel,2,08-30-2017,128,559
paper towel,2,09-06-2017,105,564
paper towel,2,09-12-2017,105,569
paper towel,2,09-17-2017,105,574
paper towel,2,09-22-2017,105,579
paper towel,2,09-28-2017,105,584
paper towel,2,10-04-2017,105,589
paper towel,2,10-09-2017,105,593
paper towel,2,10-15-2017,105,597
paper towel,2,10-21-2017,105,600
paper towel,2,10-26-2017,105,604
paper towel,2,10-31-2017,105,609
paper towel,2,11-06-2017,113,613
paper towel,2,11-11-2017,113,617
paper towel,2,11-17-2017,105,622
paper towel,2,11-23-2017,105,628
paper towel,2,11-29-2017,113,633
paper towel,2,12-03-2017,113,637
paper towel,2,12-09-2017,120,642
paper towel,2,12-15-2017,120,648
paper towel,2,12-20-2017,128,653
paper towel,2,12-25-2017,139,658
paper towel,2,01-01-2018,139,662
paper towel,2,01-02-2018,120,663
paper towel,2,01-08-2018,133,669
paper towel,2,01-09-2018,115,670
paper towel,2,01-15-2018,107,676
paper towel,2,01-15-2018,112,676
paper towel,2,01-21-2018,105,682
paper towel,2,01-23-2018,98,684
paper towel,2,01-26-2018,105,687
paper towel,2,01-28-2018,98,689
paper towel,2,02-01-2018,105,693
paper towel,2,02-02-2018,98,694
paper towel,2,02-07-2018,105,699
paper towel,2,02-07-2018,105,699
paper towel,2,02-12-2018,105,704
paper towel,2,02-13-2018,105,705
paper towel,2,02-16-2018,113,708
paper towel,2,02-17-2018,110,709
paper towel,2,02-23-2018,113,715
paper towel,2,02-23-2018,110,715
paper towel,2,02-28-2018,113,719
paper towel,2,03-01-2018,110,720
paper towel,2,03-06-2018,105,724
paper towel,2,03-06-2018,110,724
paper towel,2,03-12-2018,105,729
paper towel,2,03-12-2018,105,729
paper towel,2,03-17-2018,105,734
paper towel,2,03-18-2018,110,735
paper towel,2,03-22-2018,113,739
paper towel,2,03-22-2018,110,739
paper towel,2,03-28-2018,113,744
paper towel,2,03-28-2018,110,744
paper towel,2,04-03-2018,105,750
paper towel,2,04-04-2018,110,751
paper towel,2,04-08-2018,105,755
paper towel,2,04-09-2018,105,756
paper towel,2,04-14-2018,105,761
paper towel,2,04-14-2018,105,761
paper towel,2,04-19-2018,113,766
paper towel,2,04-20-2018,110,767
paper towel,2,04-24-2018,113,771
paper towel,2,04-25-2018,110,772
paper towel,2,04-30-2018,105,777
paper towel,2,05-01-2018,110,778
paper towel,2,05-06-2018,105,783
paper towel,2,05-07-2018,105,784
paper towel,2,05-11-2018,113,788
paper towel,2,05-12-2018,110,789
paper towel,2,05-17-2018,113,794
paper towel,2,05-17-2018,110,794
paper towel,2,05-23-2018,113,800
paper towel,2,05-23-2018,110,800
paper towel,2,05-29-2018,105,806
paper towel,2,05-29-2018,110,806
paper towel,2,06-03-2018,105,811
paper towel,2,06-04-2018,105,812
paper towel,2,06-09-2018,105,817
paper towel,2,06-09-2018,105,817
paper towel,2,06-15-2018,105,823
paper towel,2,06-15-2018,105,823
paper towel,2,06-20-2018,105,828
paper towel,2,06-21-2018,110,829
paper towel,2,06-25-2018,113,833
paper towel,2,06-25-2018,110,833
paper towel,2,07-01-2018,113,839
paper towel,2,07-02-2018,110,840
paper towel,2,07-07-2018,105,845
paper towel,2,07-07-2018,110,845
paper towel,2,07-12-2018,105,850
paper towel,2,07-13-2018,105,851
paper towel,2,07-18-2018,105,856
paper towel,2,07-19-2018,105,857
paper towel,2,07-24-2018,105,862
paper towel,2,07-25-2018,105,863
paper towel,2,07-29-2018,105,867
paper towel,2,07-29-2018,105,867
paper towel,2,08-03-2018,120,872
paper towel,2,08-03-2018,115,872
paper towel,2,08-06-2018,143,875
paper towel,2,08-06-2018,130,875
paper towel,2,08-10-2018,173,879
paper towel,2,08-10-2018,150,879
paper towel,2,08-13-2018,165,882
paper towel,2,08-14-2018,203,883
paper towel,2,08-18-2018,190,887
paper towel,2,08-19-2018,210,888
paper towel,2,08-26-2018,175,894
paper towel,2,08-30-2018,128,898
paper towel,2,09-04-2018,130,902
paper towel,2,09-06-2018,105,904
paper towel,2,09-11-2018,105,909
paper towel,2,09-12-2018,105,910
paper towel,2,09-16-2018,105,914
paper towel,2,09-17-2018,105,915
paper towel,2,09-21-2018,105,919
paper towel,2,09-22-2018,105,920
paper towel,2,09-27-2018,105,925
paper towel,2,09-28-2018,105,926
paper towel,2,10-03-2018,105,931
paper towel,2,10-04-2018,105,932
paper towel,2,10-08-2018,105,936
paper towel,2,10-09-2018,105,937
paper towel,2,10-14-2018,105,942
paper towel,2,10-15-2018,105,943
paper towel,2,10-20-2018,105,948
paper towel,2,10-21-2018,105,949
paper towel,2,10-24-2018,105,952
paper towel,2,10-26-2018,105,953
paper towel,2,10-31-2018,105,958
paper towel,2,10-31-2018,105,958
paper towel,2,11-04-2018,110,962
paper towel,2,11-06-2018,113,964
paper towel,2,11-10-2018,110,968
paper towel,2,11-11-2018,113,969
paper towel,2,11-17-2018,105,975
paper towel,2,11-17-2018,107,975
