Item,Item ID,Day,Quantity,Order Number
pens,8,01-13-2016,364,5
pens,8,01-18-2016,364,10
pens,8,01-24-2016,364,16
pens,8,01-30-2016,364,22
pens,8,02-04-2016,364,27
pens,8,02-09-2016,364,32
pens,8,02-15-2016,416,38
pens,8,02-20-2016,416,43
pens,8,02-26-2016,364,49
pens,8,03-03-2016,364,55
pens,8,03-09-2016,364,60
pens,8,03-13-2016,364,64
pens,8,03-19-2016,416,70
pens,8,03-25-2016,364,76
pens,8,03-30-2016,364,81
pens,8,04-05-2016,364,87
pens,8,04-11-2016,364,92
pens,8,04-15-2016,416,96
pens,8,04-21-2016,364,102
pens,8,04-27-2016,364,108
pens,8,05-02-2016,364,113
pens,8,05-08-2016,364,119
pens,8,05-13-2016,416,124
pens,8,05-19-2016,364,130
pens,8,05-24-2016,364,135
pens,8,05-30-2016,364,140
pens,8,06-05-2016,364,146
pens,8,06-09-2016,364,150
pens,8,06-15-2016,364,155
pens,8,06-21-2016,416,161
pens,8,06-26-2016,416,166
pens,8,07-03-2016,364,173
pens,8,07-09-2016,364,178
pens,8,07-14-2016,364,182
pens,8,07-19-2016,364,187
pens,8,07-25-2016,364,193
pens,8,07-30-2016,364,198
pens,8,08-03-2016,520,202
pens,8,08-07-2016,728,206
pens,8,08-12-2016,728,211
pens,8,08-18-2016,728,216
pens,8,08-27-2016,364,221
pens,8,09-02-2016,364,227
pens,8,09-07-2016,364,232
pens,8,09-13-2016,364,237
pens,8,09-19-2016,364,242
pens,8,09-24-2016,364,246
pens,8,09-29-2016,364,251
pens,8,10-05-2016,364,256
pens,8,10-11-2016,364,262
pens,8,10-15-2016,364,266
pens,8,10-22-2016,364,273
pens,8,10-27-2016,364,278
pens,8,11-01-2016,416,283
pens,8,11-07-2016,364,289
pens,8,11-13-2016,364,295
pens,8,11-18-2016,364,300
pens,8,11-23-2016,364,304
pens,8,11-29-2016,416,310
pens,8,12-04-2016,416,315
pens,8,12-10-2016,416,321
pens,8,12-16-2016,416,327
pens,8,12-20-2016,468,331
pens,8,12-24-2016,624,335
pens,8,01-03-2017,416,343
pens,8,01-10-2017,371,348
pens,8,01-16-2017,345,354
pens,8,01-21-2017,364,359
pens,8,01-26-2017,364,364
pens,8,02-01-2017,364,368
pens,8,02-07-2017,364,374
pens,8,02-12-2017,364,379
pens,8,02-17-2017,390,383
pens,8,02-23-2017,390,389
pens,8,02-28-2017,390,393
pens,8,03-06-2017,364,397
pens,8,03-12-2017,364,402
pens,8,03-17-2017,364,407
pens,8,03-21-2017,390,411
pens,8,03-28-2017,390,417
pens,8,04-03-2017,364,423
pens,8,04-07-2017,364,427
pens,8,04-14-2017,364,433
pens,8,04-18-2017,390,437
pens,8,04-24-2017,390,443
pens,8,04-30-2017,364,448
