Item,Item ID,Day,Quantity,Order Number
photo paper,18,01-13-2016,4529,5
photo paper,18,01-17-2016,4529,9
photo paper,18,01-23-2016,4529,15
photo paper,18,01-29-2016,4529,21
photo paper,18,02-03-2016,4529,26
photo paper,18,02-09-2016,4529,32
photo paper,18,02-15-2016,5176,37
photo paper,18,02-19-2016,5176,41
photo paper,18,02-26-2016,4529,47
photo paper,18,03-03-2016,4529,53
photo paper,18,03-08-2016,4529,58
photo paper,18,03-13-2016,4529,63
photo paper,18,03-18-2016,5176,68
photo paper,18,03-24-2016,4529,74
photo paper,18,03-29-2016,4529,79
photo paper,18,04-04-2016,4529,85
photo paper,18,04-10-2016,4529,91
photo paper,18,04-14-2016,5176,95
photo paper,18,04-20-2016,5176,101
photo paper,18,04-27-2016,4529,108
photo paper,18,05-02-2016,4529,112
photo paper,18,05-07-2016,4529,117
photo paper,18,05-13-2016,5176,123
photo paper,18,05-19-2016,4529,129
photo paper,18,05-24-2016,4529,134
photo paper,18,05-30-2016,4529,140
photo paper,18,06-04-2016,4529,145
photo paper,18,06-09-2016,4529,150
photo paper,18,06-15-2016,4529,156
photo paper,18,06-21-2016,5176,162
photo paper,18,06-26-2016,5176,167
photo paper,18,07-02-2016,4529,173
photo paper,18,07-08-2016,4529,178
photo paper,18,07-13-2016,4529,182
photo paper,18,07-19-2016,4529,187
photo paper,18,07-25-2016,4529,192
photo paper,18,07-30-2016,4529,196
photo paper,18,08-02-2016,5823,199
photo paper,18,08-06-2016,8411,203
photo paper,18,08-11-2016,9058,208
photo paper,18,08-17-2016,9058,213
photo paper,18,08-26-2016,4529,221
photo paper,18,08-31-2016,4529,226
photo paper,18,09-05-2016,4529,231
photo paper,18,09-11-2016,4529,236
photo paper,18,09-16-2016,4529,240
photo paper,18,09-21-2016,4529,244
photo paper,18,09-27-2016,4529,248
photo paper,18,10-03-2016,4529,254
photo paper,18,10-08-2016,4529,259
photo paper,18,10-14-2016,4529,264
photo paper,18,10-20-2016,4529,270
photo paper,18,10-25-2016,4529,275
photo paper,18,10-30-2016,4529,279
photo paper,18,11-04-2016,5176,284
photo paper,18,11-10-2016,4529,289
photo paper,18,11-16-2016,4529,295
photo paper,18,11-22-2016,4529,301
photo paper,18,11-27-2016,5176,306
photo paper,18,12-02-2016,5176,311
