Item,Item ID,Day,Quantity,Order Number
plastic bags,4,01-09-2016,1302,1
plastic bags,4,01-16-2016,1302,8
plastic bags,4,01-21-2016,1302,13
plastic bags,4,01-26-2016,1302,18
plastic bags,4,02-01-2016,1302,24
plastic bags,4,02-07-2016,1302,30
plastic bags,4,02-12-2016,1302,35
plastic bags,4,02-16-2016,1488,38
plastic bags,4,02-23-2016,1302,44
plastic bags,4,02-28-2016,1302,49
plastic bags,4,03-04-2016,1302,54
plastic bags,4,03-10-2016,1302,60
plastic bags,4,03-15-2016,1302,65
plastic bags,4,03-20-2016,1488,70
plastic bags,4,03-27-2016,1302,77
plastic bags,4,04-01-2016,1302,82
plastic bags,4,04-06-2016,1302,87
plastic bags,4,04-12-2016,1302,93
plastic bags,4,04-16-2016,1488,97
plastic bags,4,04-22-2016,1302,103
plastic bags,4,04-28-2016,1302,109
plastic bags,4,05-04-2016,1302,114
plastic bags,4,05-09-2016,1488,119
plastic bags,4,05-15-2016,1488,125
plastic bags,4,05-21-2016,1302,131
plastic bags,4,05-26-2016,1302,136
plastic bags,4,06-01-2016,1302,142
plastic bags,4,06-07-2016,1302,148
plastic bags,4,06-12-2016,1302,153
plastic bags,4,06-17-2016,1302,158
plastic bags,4,06-22-2016,1488,163
plastic bags,4,06-29-2016,1302,170
plastic bags,4,07-03-2016,1302,174
plastic bags,4,07-10-2016,1302,180
plastic bags,4,07-15-2016,1302,184
plastic bags,4,07-20-2016,1302,188
plastic bags,4,07-26-2016,1302,193
plastic bags,4,08-01-2016,1488,198
plastic bags,4,08-03-2016,1860,200
plastic bags,4,08-08-2016,2604,205
plastic bags,4,08-14-2016,2604,210
plastic bags,4,08-19-2016,2418,215
plastic bags,4,08-29-2016,1302,224
plastic bags,4,09-04-2016,1302,230
plastic bags,4,09-10-2016,1302,235
plastic bags,4,09-15-2016,1302,239
plastic bags,4,09-20-2016,1302,243
plastic bags,4,09-26-2016,1302,247
plastic bags,4,10-01-2016,1302,252
plastic bags,4,10-07-2016,1302,258
plastic bags,4,10-13-2016,1302,263
plastic bags,4,10-18-2016,1302,268
plastic bags,4,10-23-2016,1302,273
plastic bags,4,10-29-2016,1302,278
plastic bags,4,11-03-2016,1488,283
plastic bags,4,11-08-2016,1302,287
plastic bags,4,11-14-2016,1302,293
plastic bags,4,11-20-2016,1302,299
plastic bags,4,11-25-2016,1302,304
plastic bags,4,11-30-2016,1488,309
plastic bags,4,12-06-2016,1488,315
plastic bags,4,12-12-2016,1488,321
plastic bags,4,12-17-2016,1488,325
plastic bags,4,12-22-2016,2046,330
plastic bags,4,12-27-2016,2046,334
plastic bags,4,01-06-2017,1488,342
plastic bags,4,01-13-2017,1326,348
plastic bags,4,01-18-2017,1233,353
plastic bags,4,01-24-2017,1302,358
plastic bags,4,01-29-2017,1302,361
plastic bags,4,02-03-2017,1302,364
plastic bags,4,02-09-2017,1302,370
plastic bags,4,02-15-2017,1395,376
plastic bags,4,02-19-2017,1395,380
plastic bags,4,02-25-2017,1395,385
plastic bags,4,03-03-2017,1302,390
plastic bags,4,03-08-2017,1302,394
plastic bags,4,03-14-2017,1302,399
plastic bags,4,03-19-2017,1395,404
plastic bags,4,03-24-2017,1395,408
plastic bags,4,03-30-2017,1395,414
plastic bags,4,04-05-2017,1302,420
plastic bags,4,04-11-2017,1302,426
plastic bags,4,04-15-2017,1395,430
plastic bags,4,04-21-2017,1395,436
plastic bags,4,04-27-2017,1395,442
plastic bags,4,05-03-2017,1302,448
plastic bags,4,05-08-2017,1302,453
plastic bags,4,05-13-2017,1395,458
plastic bags,4,05-19-2017,1395,464
plastic bags,4,05-25-2017,1302,470
plastic bags,4,05-31-2017,1302,475
plastic bags,4,06-05-2017,1302,480
plastic bags,4,06-10-2017,1302,485
plastic bags,4,06-16-2017,1302,490
plastic bags,4,06-21-2017,1395,495
plastic bags,4,06-26-2017,1395,500
plastic bags,4,07-02-2017,1395,505
plastic bags,4,07-09-2017,1302,512
plastic bags,4,07-13-2017,1302,516
plastic bags,4,07-19-2017,1302,522
plastic bags,4,07-25-2017,1302,527
plastic bags,4,07-30-2017,1302,532
plastic bags,4,08-03-2017,1488,536
plastic bags,4,08-07-2017,1860,540
plastic bags,4,08-11-2017,2232,544
plastic bags,4,08-16-2017,2604,548
plastic bags,4,08-21-2017,2418,553
plastic bags,4,09-01-2017,1395,560
plastic bags,4,09-06-2017,1302,564
plastic bags,4,09-12-2017,1302,569
plastic bags,4,09-18-2017,1302,575
plastic bags,4,09-23-2017,1302,580
plastic bags,4,09-29-2017,1302,585
plastic bags,4,10-05-2017,1302,590
plastic bags,4,10-09-2017,1302,593
plastic bags,4,10-15-2017,1302,597
plastic bags,4,10-21-2017,1302,600
plastic bags,4,10-26-2017,1302,604
plastic bags,4,11-01-2017,1395,610
plastic bags,4,11-06-2017,1395,613
plastic bags,4,11-12-2017,1395,618
plastic bags,4,11-17-2017,1302,622
plastic bags,4,11-23-2017,1302,628
