Item,Item ID,Day,Quantity,Order Number
plastic wrap,19,01-09-2016,245,1
plastic wrap,19,01-15-2016,245,7
plastic wrap,19,01-20-2016,245,12
plastic wrap,19,01-25-2016,245,17
plastic wrap,19,01-31-2016,245,23
plastic wrap,19,02-06-2016,245,29
plastic wrap,19,02-11-2016,245,34
plastic wrap,19,02-16-2016,280,38
plastic wrap,19,02-22-2016,245,43
plastic wrap,19,02-27-2016,245,48
plastic wrap,19,03-04-2016,245,54
plastic wrap,19,03-10-2016,245,60
plastic wrap,19,03-15-2016,245,65
plastic wrap,19,03-19-2016,280,69
plastic wrap,19,03-26-2016,245,76
plastic wrap,19,03-31-2016,245,81
plastic wrap,19,04-06-2016,245,87
plastic wrap,19,04-12-2016,245,93
plastic wrap,19,04-16-2016,280,97
plastic wrap,19,04-22-2016,245,103
plastic wrap,19,04-28-2016,245,109
plastic wrap,19,05-03-2016,245,113
plastic wrap,19,05-08-2016,245,118
plastic wrap,19,05-14-2016,280,124
plastic wrap,19,05-20-2016,245,130
plastic wrap,19,05-25-2016,245,135
plastic wrap,19,05-31-2016,245,141
plastic wrap,19,06-06-2016,245,147
plastic wrap,19,06-11-2016,245,152
plastic wrap,19,06-16-2016,245,157
plastic wrap,19,06-22-2016,280,163
plastic wrap,19,06-27-2016,245,168
plastic wrap,19,07-03-2016,245,174
plastic wrap,19,07-09-2016,245,179
plastic wrap,19,07-14-2016,245,183
plastic wrap,19,07-19-2016,245,187
plastic wrap,19,07-25-2016,245,192
plastic wrap,19,07-31-2016,245,197
plastic wrap,19,08-03-2016,350,200
plastic wrap,19,08-07-2016,490,204
plastic wrap,19,08-12-2016,490,209
plastic wrap,19,08-18-2016,490,214
plastic wrap,19,08-27-2016,245,222
plastic wrap,19,09-02-2016,245,228
plastic wrap,19,09-08-2016,245,234
plastic wrap,19,09-13-2016,245,238
plastic wrap,19,09-19-2016,245,242
plastic wrap,19,09-24-2016,245,245
plastic wrap,19,09-29-2016,245,250
plastic wrap,19,10-05-2016,245,256
plastic wrap,19,10-11-2016,245,261
plastic wrap,19,10-16-2016,245,266
plastic wrap,19,10-22-2016,245,272
plastic wrap,19,10-28-2016,245,277
plastic wrap,19,11-01-2016,280,281
plastic wrap,19,11-07-2016,245,286
plastic wrap,19,11-13-2016,245,292
plastic wrap,19,11-18-2016,245,297
plastic wrap,19,11-24-2016,245,303
plastic wrap,19,11-29-2016,280,308
plastic wrap,19,12-05-2016,280,314
plastic wrap,19,12-10-2016,280,319
plastic wrap,19,12-16-2016,280,324
plastic wrap,19,12-21-2016,350,329
plastic wrap,19,12-25-2016,385,332
plastic wrap,19,01-03-2017,280,339
plastic wrap,19,01-10-2017,250,346
plastic wrap,19,01-16-2017,232,351
plastic wrap,19,01-22-2017,245,356
plastic wrap,19,01-27-2017,245,360
plastic wrap,19,02-01-2017,245,363
plastic wrap,19,02-07-2017,245,368
plastic wrap,19,02-13-2017,245,374
plastic wrap,19,02-17-2017,263,378
plastic wrap,19,02-23-2017,263,384
plastic wrap,19,03-01-2017,245,389
plastic wrap,19,03-06-2017,245,393
plastic wrap,19,03-12-2017,245,398
plastic wrap,19,03-17-2017,245,402
plastic wrap,19,03-22-2017,263,407
plastic wrap,19,03-28-2017,263,412
plastic wrap,19,04-03-2017,245,418
plastic wrap,19,04-08-2017,245,423
plastic wrap,19,04-14-2017,245,429
plastic wrap,19,04-19-2017,263,434
plastic wrap,19,04-24-2017,263,439
plastic wrap,19,04-30-2017,245,445
plastic wrap,19,05-06-2017,245,451
plastic wrap,19,05-11-2017,263,456
plastic wrap,19,05-16-2017,263,461
plastic wrap,19,05-23-2017,263,468
plastic wrap,19,05-28-2017,245,472
plastic wrap,19,06-02-2017,245,477
plastic wrap,19,06-08-2017,245,483
plastic wrap,19,06-14-2017,245,488
plastic wrap,19,06-19-2017,245,493
plastic wrap,19,06-24-2017,263,498
plastic wrap,19,06-30-2017,263,503
plastic wrap,19,07-06-2017,245,509
plastic wrap,19,07-11-2017,245,514
plastic wrap,19,07-17-2017,245,520
plastic wrap,19,07-22-2017,245,525
plastic wrap,19,07-28-2017,245,530
plastic wrap,19,08-02-2017,263,535
plastic wrap,19,08-05-2017,315,538
plastic wrap,19,08-09-2017,385,542
plastic wrap,19,08-13-2017,455,546
plastic wrap,19,08-18-2017,490,550
plastic wrap,19,08-28-2017,333,558
plastic wrap,19,09-04-2017,245,562
plastic wrap,19,09-10-2017,245,567
plastic wrap,19,09-15-2017,245,572
plastic wrap,19,09-21-2017,245,578
plastic wrap,19,09-27-2017,245,583
plastic wrap,19,10-01-2017,245,587
plastic wrap,19,10-07-2017,245,592
plastic wrap,19,10-13-2017,245,596
plastic wrap,19,10-18-2017,245,599
plastic wrap,19,10-24-2017,245,603
plastic wrap,19,10-30-2017,245,608
plastic wrap,19,11-03-2017,263,612
plastic wrap,19,11-09-2017,263,616
plastic wrap,19,11-15-2017,245,621
plastic wrap,19,11-21-2017,245,626
plastic wrap,19,11-25-2017,245,630
plastic wrap,19,12-01-2017,263,635
plastic wrap,19,12-06-2017,280,640
plastic wrap,19,12-12-2017,280,645
plastic wrap,19,12-18-2017,280,651
plastic wrap,19,12-23-2017,307,656
plastic wrap,19,12-27-2017,324,659
plastic wrap,19,01-03-2018,280,664
plastic wrap,19,01-03-2018,324,664
plastic wrap,19,01-10-2018,250,671
plastic wrap,19,01-10-2018,286,671
plastic wrap,19,01-16-2018,232,677
plastic wrap,19,01-19-2018,240,680
plastic wrap,19,01-22-2018,245,683
plastic wrap,19,01-24-2018,228,685
plastic wrap,19,01-27-2018,245,688
plastic wrap,19,01-30-2018,228,691
plastic wrap,19,02-01-2018,245,693
plastic wrap,19,02-03-2018,228,695
plastic wrap,19,02-07-2018,245,699
plastic wrap,19,02-09-2018,245,701
plastic wrap,19,02-13-2018,245,705
plastic wrap,19,02-15-2018,257,707
plastic wrap,19,02-17-2018,263,709
plastic wrap,19,02-19-2018,257,711
plastic wrap,19,02-23-2018,263,715
plastic wrap,19,02-25-2018,257,716
plastic wrap,19,03-01-2018,245,720
plastic wrap,19,03-03-2018,257,721
plastic wrap,19,03-06-2018,245,724
plastic wrap,19,03-08-2018,245,725
plastic wrap,19,03-12-2018,245,729
plastic wrap,19,03-14-2018,245,731
plastic wrap,19,03-17-2018,245,734
plastic wrap,19,03-19-2018,257,736
plastic wrap,19,03-22-2018,263,739
plastic wrap,19,03-24-2018,257,740
plastic wrap,19,03-28-2018,263,744
plastic wrap,19,03-30-2018,257,746
plastic wrap,19,04-03-2018,245,750
plastic wrap,19,04-05-2018,257,752
plastic wrap,19,04-08-2018,245,755
plastic wrap,19,04-11-2018,245,758
plastic wrap,19,04-14-2018,245,761
plastic wrap,19,04-16-2018,257,763
plastic wrap,19,04-19-2018,263,766
plastic wrap,19,04-21-2018,257,768
plastic wrap,19,04-24-2018,263,771
plastic wrap,19,04-27-2018,257,774
plastic wrap,19,04-30-2018,245,777
plastic wrap,19,05-02-2018,257,779
plastic wrap,19,05-06-2018,245,783
plastic wrap,19,05-08-2018,245,785
plastic wrap,19,05-11-2018,263,788
plastic wrap,19,05-14-2018,257,791
plastic wrap,19,05-16-2018,263,793
plastic wrap,19,05-19-2018,257,796
plastic wrap,19,05-23-2018,263,800
plastic wrap,19,05-25-2018,257,802
plastic wrap,19,05-28-2018,245,805
plastic wrap,19,05-31-2018,245,808
plastic wrap,19,06-02-2018,245,810
plastic wrap,19,06-05-2018,245,813
plastic wrap,19,06-08-2018,245,816
plastic wrap,19,06-10-2018,245,818
plastic wrap,19,06-14-2018,245,822
plastic wrap,19,06-16-2018,245,824
plastic wrap,19,06-19-2018,245,827
plastic wrap,19,06-22-2018,257,830
plastic wrap,19,06-24-2018,263,832
plastic wrap,19,06-26-2018,257,834
plastic wrap,19,06-30-2018,263,838
plastic wrap,19,07-02-2018,257,840
plastic wrap,19,07-06-2018,245,844
plastic wrap,19,07-09-2018,257,847
plastic wrap,19,07-11-2018,245,849
plastic wrap,19,07-14-2018,245,852
plastic wrap,19,07-17-2018,245,855
plastic wrap,19,07-19-2018,245,857
plastic wrap,19,07-22-2018,245,860
plastic wrap,19,07-25-2018,245,863
plastic wrap,19,07-28-2018,245,866
plastic wrap,19,07-30-2018,245,868
plastic wrap,19,08-02-2018,263,871
plastic wrap,19,08-03-2018,269,872
plastic wrap,19,08-05-2018,315,874
plastic wrap,19,08-07-2018,315,876
plastic wrap,19,08-09-2018,385,878
plastic wrap,19,08-10-2018,350,879
plastic wrap,19,08-13-2018,455,882
plastic wrap,19,08-14-2018,397,883
plastic wrap,19,08-18-2018,490,887
plastic wrap,19,08-19-2018,455,888
plastic wrap,19,08-28-2018,333,896
plastic wrap,19,08-28-2018,385,896
plastic wrap,19,09-04-2018,245,902
plastic wrap,19,09-05-2018,292,903
plastic wrap,19,09-10-2018,245,908
plastic wrap,19,09-12-2018,245,910
plastic wrap,19,09-15-2018,245,913
plastic wrap,19,09-18-2018,245,916
plastic wrap,19,09-21-2018,245,919
plastic wrap,19,09-22-2018,245,920
plastic wrap,19,09-27-2018,245,925
plastic wrap,19,09-29-2018,245,927
plastic wrap,19,10-01-2018,245,929
plastic wrap,19,10-04-2018,245,932
plastic wrap,19,10-07-2018,245,935
plastic wrap,19,10-09-2018,245,937
plastic wrap,19,10-13-2018,245,941
plastic wrap,19,10-15-2018,245,943
plastic wrap,19,10-18-2018,245,946
plastic wrap,19,10-21-2018,245,949
plastic wrap,19,10-24-2018,245,952
plastic wrap,19,10-26-2018,245,953
plastic wrap,19,10-30-2018,245,957
plastic wrap,19,10-31-2018,245,958
plastic wrap,19,11-03-2018,263,961
plastic wrap,19,11-06-2018,257,964
plastic wrap,19,11-09-2018,263,967
plastic wrap,19,11-11-2018,257,969
plastic wrap,19,11-15-2018,245,973
plastic wrap,19,11-17-2018,248,975
plastic wrap,19,11-21-2018,245,979
plastic wrap,19,11-23-2018,237,981
plastic wrap,19,11-25-2018,245,983
plastic wrap,19,11-29-2018,248,987
plastic wrap,19,12-01-2018,263,989
plastic wrap,19,12-03-2018,248,991
plastic wrap,19,12-06-2018,280,994
plastic wrap,19,12-08-2018,269,996
plastic wrap,19,12-12-2018,280,1000
plastic wrap,19,12-13-2018,280,1001
plastic wrap,19,12-18-2018,280,1006
plastic wrap,19,12-19-2018,280,1007
plastic wrap,19,12-23-2018,307,1011
plastic wrap,19,12-23-2018,315,1011
plastic wrap,19,12-27-2018,324,1015
plastic wrap,19,12-28-2018,327,1016
plastic wrap,19,01-03-2019,280,1020
plastic wrap,19,01-03-2019,324,1020
plastic wrap,19,01-04-2019,327,1021
plastic wrap,19,01-10-2019,250,1027
plastic wrap,19,01-10-2019,286,1027
plastic wrap,19,01-11-2019,307,1028
plastic wrap,19,01-16-2019,232,1033
plastic wrap,19,01-18-2019,289,1035
plastic wrap,19,01-19-2019,240,1036
plastic wrap,19,01-22-2019,245,1039
plastic wrap,19,01-24-2019,228,1041
plastic wrap,19,01-25-2019,254,1042
plastic wrap,19,01-27-2019,245,1044
plastic wrap,19,01-30-2019,228,1047
plastic wrap,19,01-31-2019,245,1048
plastic wrap,19,02-01-2019,245,1049
plastic wrap,19,02-03-2019,228,1051
plastic wrap,19,02-05-2019,245,1053
plastic wrap,19,02-07-2019,245,1055
plastic wrap,19,02-09-2019,245,1057
plastic wrap,19,02-10-2019,245,1058
plastic wrap,19,02-13-2019,245,1061
plastic wrap,19,02-15-2019,257,1063
plastic wrap,19,02-16-2019,254,1064
plastic wrap,19,02-17-2019,263,1065
plastic wrap,19,02-19-2019,257,1067
plastic wrap,19,02-21-2019,254,1069
plastic wrap,19,02-23-2019,263,1071
plastic wrap,19,02-25-2019,257,1073
plastic wrap,19,02-26-2019,254,1074
plastic wrap,19,03-01-2019,245,1077
plastic wrap,19,03-03-2019,257,1078
plastic wrap,19,03-05-2019,248,1080
plastic wrap,19,03-06-2019,245,1081
plastic wrap,19,03-08-2019,245,1083
plastic wrap,19,03-11-2019,248,1086
plastic wrap,19,03-12-2019,245,1087
plastic wrap,19,03-14-2019,245,1089
plastic wrap,19,03-16-2019,239,1091
plastic wrap,19,03-17-2019,245,1092
plastic wrap,19,03-19-2019,257,1094
plastic wrap,19,03-21-2019,248,1096
plastic wrap,19,03-22-2019,263,1097
plastic wrap,19,03-24-2019,257,1099
plastic wrap,19,03-26-2019,248,1101
plastic wrap,19,03-28-2019,263,1103
plastic wrap,19,03-30-2019,257,1105
plastic wrap,19,03-31-2019,254,1106
plastic wrap,19,04-03-2019,245,1109
plastic wrap,19,04-05-2019,257,1111
plastic wrap,19,04-06-2019,254,1112
