Item,Item ID,Day,Quantity,Order Number
printer paper,9,01-09-2016,77,1
printer paper,9,01-15-2016,77,7
printer paper,9,01-20-2016,77,12
printer paper,9,01-25-2016,77,17
printer paper,9,02-01-2016,77,24
printer paper,9,02-06-2016,77,29
printer paper,9,02-11-2016,77,34
printer paper,9,02-16-2016,88,38
printer paper,9,02-23-2016,77,44
printer paper,9,02-28-2016,77,49
printer paper,9,03-05-2016,77,55
printer paper,9,03-11-2016,77,61
printer paper,9,03-16-2016,77,66
printer paper,9,03-21-2016,88,71
printer paper,9,03-27-2016,77,77
printer paper,9,04-02-2016,77,83
printer paper,9,04-07-2016,77,88
printer paper,9,04-13-2016,77,94
printer paper,9,04-18-2016,88,99
printer paper,9,04-24-2016,77,105
printer paper,9,04-30-2016,77,111
printer paper,9,05-06-2016,77,116
printer paper,9,05-11-2016,88,121
printer paper,9,05-17-2016,77,127
printer paper,9,05-23-2016,77,133
printer paper,9,05-29-2016,77,139
printer paper,9,06-03-2016,77,144
printer paper,9,06-09-2016,77,150
printer paper,9,06-15-2016,77,156
printer paper,9,06-20-2016,88,161
printer paper,9,06-25-2016,88,166
printer paper,9,07-02-2016,77,173
printer paper,9,07-08-2016,77,178
printer paper,9,07-13-2016,77,182
printer paper,9,07-19-2016,77,187
printer paper,9,07-25-2016,77,192
printer paper,9,07-31-2016,77,197
printer paper,9,08-03-2016,110,200
printer paper,9,08-07-2016,154,204
printer paper,9,08-12-2016,154,209
printer paper,9,08-18-2016,154,214
printer paper,9,08-28-2016,77,223
printer paper,9,09-03-2016,77,229
printer paper,9,09-08-2016,77,234
printer paper,9,09-13-2016,77,238
printer paper,9,09-20-2016,77,243
printer paper,9,09-25-2016,77,246
printer paper,9,09-30-2016,77,251
printer paper,9,10-06-2016,77,257
printer paper,9,10-12-2016,77,262
printer paper,9,10-18-2016,77,268
printer paper,9,10-23-2016,77,273
printer paper,9,10-29-2016,77,278
printer paper,9,11-03-2016,88,283
printer paper,9,11-09-2016,77,288
printer paper,9,11-15-2016,77,294
printer paper,9,11-21-2016,77,300
printer paper,9,11-26-2016,77,305
printer paper,9,12-01-2016,88,310
printer paper,9,12-07-2016,88,316
printer paper,9,12-12-2016,88,321
printer paper,9,12-18-2016,88,326
printer paper,9,12-23-2016,132,331
printer paper,9,12-31-2016,88,336
printer paper,9,01-06-2017,88,342
printer paper,9,01-14-2017,79,349
printer paper,9,01-19-2017,73,354
printer paper,9,01-24-2017,77,358
printer paper,9,01-30-2017,77,362
printer paper,9,02-05-2017,77,366
printer paper,9,02-10-2017,77,371
printer paper,9,02-15-2017,83,376
printer paper,9,02-21-2017,83,382
printer paper,9,02-27-2017,83,387
printer paper,9,03-05-2017,77,392
printer paper,9,03-11-2017,77,397
printer paper,9,03-16-2017,77,401
printer paper,9,03-21-2017,83,406
printer paper,9,03-27-2017,83,411
printer paper,9,04-02-2017,77,417
printer paper,9,04-07-2017,77,422
printer paper,9,04-14-2017,77,429
printer paper,9,04-18-2017,83,433
printer paper,9,04-24-2017,83,439
printer paper,9,04-30-2017,77,445
printer paper,9,05-06-2017,77,451
printer paper,9,05-11-2017,83,456
printer paper,9,05-17-2017,83,462
printer paper,9,05-23-2017,83,468
printer paper,9,05-30-2017,77,474
printer paper,9,06-04-2017,77,479
printer paper,9,06-09-2017,77,484
printer paper,9,06-15-2017,77,489
printer paper,9,06-21-2017,83,495
printer paper,9,06-26-2017,83,500
printer paper,9,07-02-2017,83,505
printer paper,9,07-09-2017,77,512
printer paper,9,07-14-2017,77,517
printer paper,9,07-19-2017,77,522
printer paper,9,07-26-2017,77,528
printer paper,9,07-31-2017,77,533
printer paper,9,08-03-2017,88,536
printer paper,9,08-07-2017,110,540
printer paper,9,08-11-2017,132,544
printer paper,9,08-16-2017,154,548
printer paper,9,08-22-2017,138,554
printer paper,9,09-01-2017,83,560
printer paper,9,09-07-2017,77,565
printer paper,9,09-13-2017,77,570
printer paper,9,09-19-2017,77,576
printer paper,9,09-24-2017,77,581
printer paper,9,09-30-2017,77,586
printer paper,9,10-06-2017,77,591
printer paper,9,10-11-2017,77,595
printer paper,9,10-16-2017,77,598
printer paper,9,10-23-2017,77,602
printer paper,9,10-28-2017,77,606
printer paper,9,11-02-2017,83,611
printer paper,9,11-08-2017,83,615
printer paper,9,11-14-2017,83,620
printer paper,9,11-20-2017,77,625
printer paper,9,11-25-2017,77,630
printer paper,9,12-01-2017,83,635
printer paper,9,12-06-2017,88,640
printer paper,9,12-12-2017,88,645
printer paper,9,12-18-2017,88,651
printer paper,9,12-23-2017,97,656
printer paper,9,12-28-2017,102,660
printer paper,9,12-31-2017,88,661
printer paper,9,01-04-2018,102,665
printer paper,9,01-06-2018,88,667
printer paper,9,01-12-2018,87,673
printer paper,9,01-14-2018,79,675
printer paper,9,01-19-2018,73,680
printer paper,9,01-20-2018,76,681
printer paper,9,01-24-2018,77,685
printer paper,9,01-25-2018,72,686
printer paper,9,01-30-2018,77,691
printer paper,9,01-31-2018,72,692
printer paper,9,02-05-2018,77,697
printer paper,9,02-05-2018,75,697
printer paper,9,02-10-2018,77,702
printer paper,9,02-10-2018,77,702
printer paper,9,02-15-2018,83,707
printer paper,9,02-16-2018,81,708
printer paper,9,02-21-2018,83,713
printer paper,9,02-21-2018,81,713
printer paper,9,02-27-2018,83,718
printer paper,9,02-27-2018,81,718
printer paper,9,03-05-2018,77,723
printer paper,9,03-05-2018,81,723
printer paper,9,03-11-2018,77,728
printer paper,9,03-11-2018,77,728
printer paper,9,03-16-2018,77,733
printer paper,9,03-17-2018,77,734
printer paper,9,03-21-2018,83,738
printer paper,9,03-21-2018,81,738
printer paper,9,03-27-2018,83,743
printer paper,9,03-27-2018,81,743
printer paper,9,04-02-2018,77,749
printer paper,9,04-02-2018,81,749
printer paper,9,04-07-2018,77,754
printer paper,9,04-07-2018,81,754
printer paper,9,04-14-2018,77,761
printer paper,9,04-14-2018,77,761
printer paper,9,04-18-2018,83,765
printer paper,9,04-19-2018,81,766
printer paper,9,04-24-2018,83,771
printer paper,9,04-24-2018,81,771
printer paper,9,04-30-2018,77,777
printer paper,9,04-30-2018,81,777
printer paper,9,05-06-2018,77,783
printer paper,9,05-07-2018,77,784
printer paper,9,05-11-2018,83,788
printer paper,9,05-11-2018,81,788
printer paper,9,05-17-2018,83,794
printer paper,9,05-17-2018,81,794
printer paper,9,05-23-2018,83,800
printer paper,9,05-23-2018,81,800
printer paper,9,05-30-2018,77,807
printer paper,9,05-30-2018,81,807
printer paper,9,06-04-2018,77,812
printer paper,9,06-04-2018,77,812
printer paper,9,06-09-2018,77,817
printer paper,9,06-10-2018,77,818
printer paper,9,06-15-2018,77,823
printer paper,9,06-16-2018,77,824
printer paper,9,06-21-2018,83,829
printer paper,9,06-21-2018,81,829
printer paper,9,06-26-2018,83,834
printer paper,9,06-26-2018,81,834
printer paper,9,07-02-2018,83,840
printer paper,9,07-02-2018,81,840
printer paper,9,07-09-2018,77,847
printer paper,9,07-09-2018,81,847
printer paper,9,07-14-2018,77,852
printer paper,9,07-14-2018,77,852
printer paper,9,07-19-2018,77,857
printer paper,9,07-20-2018,77,858
printer paper,9,07-26-2018,77,864
printer paper,9,07-26-2018,77,864
printer paper,9,07-31-2018,77,869
printer paper,9,07-31-2018,77,869
printer paper,9,08-03-2018,88,872
printer paper,9,08-04-2018,88,873
printer paper,9,08-07-2018,110,876
printer paper,9,08-07-2018,99,876
printer paper,9,08-11-2018,132,880
printer paper,9,08-11-2018,114,880
printer paper,9,08-14-2018,125,883
printer paper,9,08-16-2018,154,885
printer paper,9,08-19-2018,143,888
printer paper,9,08-22-2018,138,891
printer paper,9,08-28-2018,121,896
printer paper,9,09-01-2018,83,899
printer paper,9,09-06-2018,88,904
printer paper,9,09-07-2018,77,905
printer paper,9,09-13-2018,77,911
printer paper,9,09-13-2018,77,911
printer paper,9,09-19-2018,77,917
printer paper,9,09-19-2018,77,917
printer paper,9,09-24-2018,77,922
printer paper,9,09-24-2018,77,922
printer paper,9,09-29-2018,77,927
printer paper,9,09-30-2018,77,928
printer paper,9,10-06-2018,77,934
printer paper,9,10-06-2018,77,934
printer paper,9,10-11-2018,77,939
printer paper,9,10-11-2018,77,939
printer paper,9,10-16-2018,77,944
printer paper,9,10-16-2018,77,944
printer paper,9,10-22-2018,77,950
printer paper,9,10-23-2018,77,951
printer paper,9,10-28-2018,77,955
printer paper,9,10-28-2018,77,955
printer paper,9,11-02-2018,83,960
printer paper,9,11-02-2018,81,960
printer paper,9,11-08-2018,83,966
printer paper,9,11-08-2018,81,966
printer paper,9,11-14-2018,83,972
printer paper,9,11-15-2018,78,973
printer paper,9,11-20-2018,77,978
printer paper,9,11-20-2018,78,978
printer paper,9,11-25-2018,77,983
printer paper,9,11-25-2018,75,983
printer paper,9,12-01-2018,83,989
printer paper,9,12-01-2018,78,989
printer paper,9,12-06-2018,88,994
printer paper,9,12-06-2018,85,994
printer paper,9,12-11-2018,85,999
printer paper,9,12-12-2018,88,1000
printer paper,9,12-17-2018,88,1005
printer paper,9,12-18-2018,88,1006
printer paper,9,12-22-2018,96,1010
printer paper,9,12-23-2018,97,1011
printer paper,9,12-26-2018,99,1014
printer paper,9,12-28-2018,102,1016
printer paper,9,12-31-2018,88,1017
printer paper,9,01-02-2019,103,1019
printer paper,9,01-04-2019,102,1021
printer paper,9,01-06-2019,88,1023
printer paper,9,01-09-2019,97,1026
printer paper,9,01-12-2019,87,1029
printer paper,9,01-14-2019,79,1031
printer paper,9,01-16-2019,94,1033
printer paper,9,01-19-2019,73,1036
printer paper,9,01-20-2019,76,1037
printer paper,9,01-23-2019,83,1040
printer paper,9,01-24-2019,77,1041
