Item,Item ID,Day,Quantity,Order Number
produce bags,13,01-10-2016,182,2
produce bags,13,01-16-2016,182,8
produce bags,13,01-22-2016,182,14
produce bags,13,01-27-2016,182,19
produce bags,13,02-01-2016,182,24
produce bags,13,02-07-2016,182,30
produce bags,13,02-12-2016,182,35
produce bags,13,02-17-2016,208,39
produce bags,13,02-23-2016,182,44
produce bags,13,02-29-2016,182,50
produce bags,13,03-05-2016,182,55
produce bags,13,03-11-2016,182,61
produce bags,13,03-16-2016,182,66
produce bags,13,03-21-2016,208,71
produce bags,13,03-27-2016,182,77
produce bags,13,04-02-2016,182,83
produce bags,13,04-07-2016,182,88
produce bags,13,04-13-2016,182,94
produce bags,13,04-18-2016,208,99
produce bags,13,04-23-2016,182,104
produce bags,13,04-29-2016,182,110
produce bags,13,05-05-2016,182,115
produce bags,13,05-10-2016,208,120
produce bags,13,05-16-2016,182,126
produce bags,13,05-22-2016,182,132
produce bags,13,05-27-2016,182,137
produce bags,13,06-01-2016,182,142
produce bags,13,06-07-2016,182,148
produce bags,13,06-13-2016,182,154
produce bags,13,06-18-2016,182,159
produce bags,13,06-23-2016,208,164
produce bags,13,06-30-2016,182,171
produce bags,13,07-04-2016,182,175
produce bags,13,07-10-2016,182,180
produce bags,13,07-16-2016,182,185
produce bags,13,07-21-2016,182,189
produce bags,13,07-27-2016,182,194
produce bags,13,08-01-2016,208,198
produce bags,13,08-04-2016,286,201
produce bags,13,08-09-2016,364,206
produce bags,13,08-15-2016,364,211
produce bags,13,08-20-2016,312,216
produce bags,13,08-30-2016,182,225
produce bags,13,09-04-2016,182,230
produce bags,13,09-10-2016,182,235
produce bags,13,09-16-2016,182,240
produce bags,13,09-21-2016,182,244
produce bags,13,09-27-2016,182,248
produce bags,13,10-02-2016,182,253
produce bags,13,10-07-2016,182,258
produce bags,13,10-13-2016,182,263
produce bags,13,10-19-2016,182,269
produce bags,13,10-24-2016,182,274
produce bags,13,10-30-2016,182,279
produce bags,13,11-04-2016,208,284
produce bags,13,11-10-2016,182,289
produce bags,13,11-15-2016,182,294
produce bags,13,11-21-2016,182,300
produce bags,13,11-27-2016,208,306
produce bags,13,12-02-2016,208,311
produce bags,13,12-08-2016,208,317
produce bags,13,12-13-2016,208,322
produce bags,13,12-19-2016,234,327
produce bags,13,12-23-2016,312,331
produce bags,13,01-02-2017,208,338
produce bags,13,01-09-2017,199,345
produce bags,13,01-15-2017,186,350
produce bags,13,01-21-2017,182,355
produce bags,13,01-26-2017,182,359
produce bags,13,02-01-2017,182,363
produce bags,13,02-06-2017,182,367
produce bags,13,02-11-2017,182,372
produce bags,13,02-16-2017,195,377
produce bags,13,02-22-2017,195,383
produce bags,13,02-28-2017,195,388
produce bags,13,03-06-2017,182,393
produce bags,13,03-12-2017,182,398
produce bags,13,03-17-2017,182,402
produce bags,13,03-21-2017,195,406
produce bags,13,03-27-2017,195,411
produce bags,13,04-02-2017,182,417
produce bags,13,04-07-2017,182,422
produce bags,13,04-13-2017,182,428
produce bags,13,04-18-2017,195,433
produce bags,13,04-23-2017,195,438
produce bags,13,04-30-2017,182,445
produce bags,13,05-06-2017,182,451
produce bags,13,05-11-2017,195,456
produce bags,13,05-16-2017,195,461
produce bags,13,05-22-2017,195,467
produce bags,13,05-28-2017,182,472
produce bags,13,06-02-2017,182,477
produce bags,13,06-08-2017,182,483
produce bags,13,06-14-2017,182,488
produce bags,13,06-19-2017,182,493
produce bags,13,06-24-2017,195,498
produce bags,13,06-30-2017,195,503
produce bags,13,07-05-2017,182,508
produce bags,13,07-11-2017,182,514
