Item,Item ID,Day,Quantity,Order Number
scanner batt,11,01-17-2016,35,9
scanner batt,11,01-23-2016,35,15
scanner batt,11,01-28-2016,35,20
scanner batt,11,02-02-2016,35,25
scanner batt,11,02-09-2016,35,32
scanner batt,11,02-15-2016,40,38
scanner batt,11,02-19-2016,40,42
scanner batt,11,02-26-2016,35,49
scanner batt,11,03-03-2016,35,55
scanner batt,11,03-09-2016,35,60
scanner batt,11,03-14-2016,35,65
scanner batt,11,03-19-2016,40,70
scanner batt,11,03-26-2016,35,77
scanner batt,11,03-31-2016,35,82
scanner batt,11,04-06-2016,35,88
scanner batt,11,04-12-2016,35,93
scanner batt,11,04-16-2016,40,97
scanner batt,11,04-22-2016,35,103
scanner batt,11,04-29-2016,35,110
scanner batt,11,05-05-2016,35,116
scanner batt,11,05-10-2016,40,121
scanner batt,11,05-16-2016,35,127
scanner batt,11,05-22-2016,35,133
scanner batt,11,05-27-2016,35,137
scanner batt,11,06-01-2016,35,142
scanner batt,11,06-08-2016,35,149
scanner batt,11,06-14-2016,35,154
scanner batt,11,06-19-2016,35,159
scanner batt,11,06-24-2016,40,164
scanner batt,11,07-01-2016,35,171
scanner batt,11,07-06-2016,35,176
scanner batt,11,07-11-2016,35,180
scanner batt,11,07-18-2016,35,186
scanner batt,11,07-24-2016,35,192
scanner batt,11,07-29-2016,35,197
scanner batt,11,08-02-2016,45,201
scanner batt,11,08-06-2016,65,205
scanner batt,11,08-11-2016,70,210
scanner batt,11,08-17-2016,70,215
scanner batt,11,08-26-2016,35,220
scanner batt,11,09-01-2016,35,226
scanner batt,11,09-06-2016,35,231
scanner batt,11,09-12-2016,35,236
scanner batt,11,09-18-2016,35,241
scanner batt,11,09-24-2016,35,246
scanner batt,11,09-29-2016,35,251
scanner batt,11,10-05-2016,35,256
scanner batt,11,10-11-2016,35,262
scanner batt,11,10-16-2016,35,267
scanner batt,11,10-22-2016,35,273
scanner batt,11,10-28-2016,35,279
scanner batt,11,11-01-2016,40,283
scanner batt,11,11-08-2016,35,290
scanner batt,11,11-14-2016,35,296
scanner batt,11,11-20-2016,35,301
scanner batt,11,11-25-2016,35,306
scanner batt,11,11-30-2016,40,311
scanner batt,11,12-06-2016,40,317
scanner batt,11,12-12-2016,40,323
scanner batt,11,12-18-2016,40,329
scanner batt,11,12-22-2016,55,333
scanner batt,11,12-29-2016,45,339
scanner batt,11,01-06-2017,40,345
scanner batt,11,01-14-2017,36,352
scanner batt,11,01-19-2017,34,357
scanner batt,11,01-25-2017,35,363
scanner batt,11,01-31-2017,35,367
scanner batt,11,02-05-2017,35,372
scanner batt,11,02-10-2017,35,377
scanner batt,11,02-16-2017,38,382
scanner batt,11,02-22-2017,38,388
scanner batt,11,02-27-2017,38,392
scanner batt,11,03-06-2017,35,397
scanner batt,11,03-12-2017,35,402
scanner batt,11,03-18-2017,38,408
scanner batt,11,03-22-2017,38,412
scanner batt,11,03-29-2017,38,418
scanner batt,11,04-04-2017,35,424
scanner batt,11,04-10-2017,35,429
scanner batt,11,04-15-2017,38,434
scanner batt,11,04-21-2017,38,440
scanner batt,11,04-27-2017,38,445
scanner batt,11,05-03-2017,35,450
scanner batt,11,05-09-2017,35,456
scanner batt,11,05-14-2017,38,460
scanner batt,11,05-20-2017,38,466
scanner batt,11,05-26-2017,35,472
scanner batt,11,06-01-2017,35,477
scanner batt,11,06-07-2017,35,483
scanner batt,11,06-12-2017,35,488
scanner batt,11,06-18-2017,35,494
scanner batt,11,06-23-2017,38,498
scanner batt,11,06-29-2017,38,503
scanner batt,11,07-05-2017,35,509
scanner batt,11,07-11-2017,35,513
scanner batt,11,07-17-2017,35,518
scanner batt,11,07-22-2017,35,523
scanner batt,11,07-28-2017,35,527
scanner batt,11,08-02-2017,38,530
