Item,Item ID,Day,Quantity,Order Number
soap,14,01-13-2016,105,5
soap,14,01-18-2016,105,10
soap,14,01-24-2016,105,16
soap,14,01-30-2016,105,22
soap,14,02-04-2016,105,27
soap,14,02-09-2016,105,32
soap,14,02-15-2016,120,37
soap,14,02-20-2016,120,42
soap,14,02-26-2016,105,47
soap,14,03-03-2016,105,53
soap,14,03-09-2016,105,59
soap,14,03-14-2016,105,64
soap,14,03-19-2016,120,69
soap,14,03-25-2016,105,75
soap,14,03-30-2016,105,80
soap,14,04-05-2016,105,86
soap,14,04-11-2016,105,92
soap,14,04-15-2016,120,96
soap,14,04-22-2016,105,103
soap,14,04-28-2016,105,109
soap,14,05-03-2016,105,113
soap,14,05-08-2016,105,118
soap,14,05-14-2016,120,124
soap,14,05-20-2016,105,130
soap,14,05-25-2016,105,135
soap,14,05-31-2016,105,141
soap,14,06-06-2016,105,147
soap,14,06-11-2016,105,152
soap,14,06-16-2016,105,157
soap,14,06-22-2016,120,163
soap,14,06-28-2016,105,169
soap,14,07-03-2016,105,174
soap,14,07-09-2016,105,179
soap,14,07-14-2016,105,183
soap,14,07-19-2016,105,187
soap,14,07-25-2016,105,192
soap,14,07-31-2016,105,197
soap,14,08-03-2016,150,200
soap,14,08-07-2016,210,204
soap,14,08-12-2016,210,209
soap,14,08-18-2016,210,214
soap,14,08-28-2016,105,223
soap,14,09-03-2016,105,229
soap,14,09-08-2016,105,234
soap,14,09-13-2016,105,238
soap,14,09-19-2016,105,242
soap,14,09-25-2016,105,246
soap,14,09-30-2016,105,251
soap,14,10-06-2016,105,257
soap,14,10-12-2016,105,262
soap,14,10-17-2016,105,267
soap,14,10-22-2016,105,272
soap,14,10-28-2016,105,277
soap,14,11-02-2016,120,282
soap,14,11-08-2016,105,287
soap,14,11-14-2016,105,293
soap,14,11-20-2016,105,299
soap,14,11-25-2016,105,304
soap,14,11-30-2016,120,309
soap,14,12-06-2016,120,315
soap,14,12-11-2016,120,320
soap,14,12-17-2016,120,325
soap,14,12-22-2016,165,330
soap,14,12-27-2016,165,334
soap,14,01-06-2017,120,342
soap,14,01-13-2017,107,348
soap,14,01-18-2017,100,353
soap,14,01-24-2017,105,358
soap,14,01-30-2017,105,362
soap,14,02-04-2017,105,365
soap,14,02-09-2017,105,370
soap,14,02-15-2017,113,376
soap,14,02-20-2017,113,381
soap,14,02-26-2017,113,386
soap,14,03-04-2017,105,391
soap,14,03-10-2017,105,396
soap,14,03-14-2017,105,399
soap,14,03-20-2017,113,405
soap,14,03-26-2017,113,410
soap,14,03-31-2017,113,415
soap,14,04-06-2017,105,421
soap,14,04-12-2017,105,427
soap,14,04-16-2017,113,431
soap,14,04-22-2017,113,437
soap,14,04-29-2017,105,444
soap,14,05-04-2017,105,449
soap,14,05-09-2017,105,454
soap,14,05-15-2017,113,460
soap,14,05-21-2017,113,466
soap,14,05-26-2017,105,471
soap,14,06-01-2017,105,476
soap,14,06-07-2017,105,482
soap,14,06-12-2017,105,487
soap,14,06-18-2017,105,492
soap,14,06-23-2017,113,497
soap,14,06-28-2017,113,502
soap,14,07-04-2017,113,507
soap,14,07-11-2017,105,514
soap,14,07-16-2017,105,519
soap,14,07-21-2017,105,524
soap,14,07-27-2017,105,529
soap,14,08-02-2017,113,535
soap,14,08-04-2017,128,537
soap,14,08-09-2017,165,542
soap,14,08-12-2017,188,545
soap,14,08-18-2017,210,550
soap,14,08-27-2017,150,557
soap,14,09-04-2017,105,562
soap,14,09-09-2017,105,566
soap,14,09-14-2017,105,571
soap,14,09-20-2017,105,577
soap,14,09-26-2017,105,582
soap,14,10-01-2017,105,587
soap,14,10-07-2017,105,592
soap,14,10-13-2017,105,596
soap,14,10-18-2017,105,599
soap,14,10-24-2017,105,603
soap,14,10-30-2017,105,608
soap,14,11-03-2017,113,612
soap,14,11-09-2017,113,616
soap,14,11-15-2017,105,621
soap,14,11-21-2017,105,626
soap,14,11-26-2017,105,631
soap,14,12-01-2017,113,635
soap,14,12-06-2017,120,640
soap,14,12-12-2017,120,645
soap,14,12-18-2017,120,651
soap,14,12-23-2017,132,656
soap,14,12-28-2017,139,660
soap,14,01-04-2018,139,665
soap,14,01-06-2018,120,667
soap,14,01-11-2018,123,672
soap,14,01-13-2018,107,674
soap,14,01-18-2018,100,679
soap,14,01-20-2018,103,681
soap,14,01-24-2018,105,685
soap,14,01-25-2018,98,686
soap,14,01-30-2018,105,691
soap,14,01-31-2018,98,692
soap,14,02-04-2018,105,696
soap,14,02-05-2018,102,697
soap,14,02-09-2018,105,701
soap,14,02-10-2018,105,702
soap,14,02-15-2018,113,707
soap,14,02-15-2018,110,707
soap,14,02-20-2018,113,712
soap,14,02-21-2018,110,713
soap,14,02-26-2018,113,717
soap,14,02-26-2018,110,717
soap,14,03-04-2018,105,722
soap,14,03-04-2018,110,722
soap,14,03-10-2018,105,727
soap,14,03-11-2018,105,728
soap,14,03-14-2018,105,731
soap,14,03-15-2018,105,732
soap,14,03-20-2018,113,737
soap,14,03-20-2018,110,737
soap,14,03-26-2018,113,742
soap,14,03-26-2018,110,742
soap,14,03-31-2018,113,747
soap,14,04-01-2018,110,748
soap,14,04-06-2018,105,753
soap,14,04-06-2018,110,753
soap,14,04-12-2018,105,759
soap,14,04-13-2018,105,760
soap,14,04-16-2018,113,763
soap,14,04-17-2018,110,764
soap,14,04-22-2018,113,769
soap,14,04-23-2018,110,770
soap,14,04-29-2018,105,776
soap,14,04-29-2018,110,776
soap,14,05-04-2018,105,781
soap,14,05-05-2018,110,782
soap,14,05-09-2018,105,786
soap,14,05-10-2018,110,787
soap,14,05-15-2018,113,792
soap,14,05-16-2018,110,793
soap,14,05-21-2018,113,798
soap,14,05-22-2018,110,799
soap,14,05-26-2018,105,803
soap,14,05-27-2018,110,804
soap,14,06-01-2018,105,809
soap,14,06-02-2018,105,810
soap,14,06-07-2018,105,815
soap,14,06-08-2018,105,816
soap,14,06-12-2018,105,820
soap,14,06-13-2018,105,821
soap,14,06-18-2018,105,826
soap,14,06-18-2018,105,826
soap,14,06-23-2018,113,831
soap,14,06-24-2018,110,832
soap,14,06-28-2018,113,836
soap,14,06-30-2018,110,838
soap,14,07-04-2018,113,842
soap,14,07-05-2018,110,843
soap,14,07-11-2018,105,849
soap,14,07-11-2018,110,849
soap,14,07-16-2018,105,854
soap,14,07-17-2018,105,855
soap,14,07-21-2018,105,859
soap,14,07-22-2018,105,860
soap,14,07-27-2018,105,865
soap,14,07-28-2018,105,866
soap,14,08-02-2018,113,871
soap,14,08-02-2018,110,871
soap,14,08-04-2018,128,873
soap,14,08-05-2018,125,874
soap,14,08-09-2018,165,878
soap,14,08-09-2018,145,878
soap,14,08-12-2018,188,881
soap,14,08-12-2018,160,881
soap,14,08-17-2018,185,886
soap,14,08-18-2018,210,887
soap,14,08-22-2018,195,891
soap,14,08-27-2018,150,895
soap,14,09-02-2018,140,900
soap,14,09-04-2018,105,902
soap,14,09-09-2018,105,907
soap,14,09-10-2018,105,908
soap,14,09-14-2018,105,912
soap,14,09-14-2018,105,912
soap,14,09-20-2018,105,918
soap,14,09-21-2018,105,919
soap,14,09-26-2018,105,924
soap,14,09-26-2018,105,924
soap,14,10-01-2018,105,929
soap,14,10-01-2018,105,929
soap,14,10-07-2018,105,935
soap,14,10-07-2018,105,935
soap,14,10-13-2018,105,941
soap,14,10-13-2018,105,941
soap,14,10-18-2018,105,946
soap,14,10-18-2018,105,946
soap,14,10-24-2018,105,952
soap,14,10-24-2018,105,952
soap,14,10-30-2018,105,957
soap,14,10-30-2018,105,957
soap,14,11-03-2018,113,961
soap,14,11-03-2018,110,961
soap,14,11-09-2018,113,967
soap,14,11-09-2018,110,967
soap,14,11-15-2018,105,973
soap,14,11-16-2018,107,974
soap,14,11-21-2018,105,979
soap,14,11-22-2018,102,980
soap,14,11-26-2018,105,984
soap,14,11-27-2018,102,985
soap,14,12-01-2018,113,989
soap,14,12-02-2018,107,990
soap,14,12-06-2018,120,994
soap,14,12-06-2018,115,994
soap,14,12-12-2018,120,1000
soap,14,12-12-2018,120,1000
soap,14,12-18-2018,120,1006
soap,14,12-18-2018,120,1006
soap,14,12-23-2018,132,1011
soap,14,12-23-2018,135,1011
soap,14,12-27-2018,140,1015
soap,14,12-28-2018,139,1016
soap,14,01-03-2019,140,1020
soap,14,01-04-2019,139,1021
soap,14,01-06-2019,120,1023
soap,14,01-09-2019,132,1026
soap,14,01-11-2019,123,1028
soap,14,01-13-2019,107,1030
soap,14,01-17-2019,124,1034
soap,14,01-18-2019,100,1035
soap,14,01-20-2019,103,1037
soap,14,01-23-2019,113,1040
soap,14,01-24-2019,105,1041
soap,14,01-25-2019,98,1042
soap,14,01-30-2019,105,1047
soap,14,01-30-2019,105,1047
soap,14,01-31-2019,98,1048
soap,14,02-04-2019,105,1052
soap,14,02-04-2019,105,1052
soap,14,02-05-2019,102,1053
soap,14,02-09-2019,105,1057
soap,14,02-09-2019,105,1057
soap,14,02-10-2019,105,1058
soap,14,02-15-2019,113,1063
soap,14,02-15-2019,110,1063
soap,14,02-15-2019,109,1063
soap,14,02-19-2019,109,1067
soap,14,02-20-2019,113,1068
soap,14,02-21-2019,110,1069
soap,14,02-25-2019,109,1073
soap,14,02-26-2019,113,1074
soap,14,02-26-2019,110,1074
soap,14,03-03-2019,106,1078
soap,14,03-04-2019,105,1079
soap,14,03-04-2019,110,1079
soap,14,03-10-2019,105,1085
soap,14,03-10-2019,106,1085
soap,14,03-11-2019,105,1086
soap,14,03-14-2019,105,1089
soap,14,03-15-2019,105,1090
