Item,Item ID,Day,Quantity,Order Number
toilet paper,1,01-15-2016,77,7
toilet paper,1,01-21-2016,77,13
toilet paper,1,01-26-2016,77,18
toilet paper,1,02-01-2016,77,24
toilet paper,1,02-07-2016,77,30
toilet paper,1,02-12-2016,77,35
toilet paper,1,02-17-2016,88,40
toilet paper,1,02-23-2016,77,46
toilet paper,1,02-29-2016,77,52
toilet paper,1,03-05-2016,77,57
toilet paper,1,03-11-2016,77,62
toilet paper,1,03-17-2016,88,68
toilet paper,1,03-22-2016,88,73
toilet paper,1,03-28-2016,77,79
toilet paper,1,04-03-2016,77,85
toilet paper,1,04-09-2016,77,90
toilet paper,1,04-14-2016,88,95
toilet paper,1,04-20-2016,88,101
toilet paper,1,04-27-2016,77,108
toilet paper,1,05-02-2016,77,113
toilet paper,1,05-08-2016,77,119
toilet paper,1,05-13-2016,88,124
toilet paper,1,05-19-2016,77,130
toilet paper,1,05-24-2016,77,135
toilet paper,1,05-31-2016,77,141
toilet paper,1,06-06-2016,77,147
toilet paper,1,06-11-2016,77,152
toilet paper,1,06-16-2016,77,156
toilet paper,1,06-22-2016,88,162
toilet paper,1,06-28-2016,77,168
toilet paper,1,07-03-2016,77,173
toilet paper,1,07-09-2016,77,178
toilet paper,1,07-15-2016,77,183
toilet paper,1,07-20-2016,77,188
toilet paper,1,07-26-2016,77,194
toilet paper,1,08-01-2016,88,200
toilet paper,1,08-03-2016,110,202
toilet paper,1,08-08-2016,154,207
toilet paper,1,08-14-2016,154,212
toilet paper,1,08-19-2016,143,217
toilet paper,1,08-30-2016,77,224
toilet paper,1,09-04-2016,77,229
toilet paper,1,09-10-2016,77,234
toilet paper,1,09-16-2016,77,239
toilet paper,1,09-21-2016,77,244
toilet paper,1,09-27-2016,77,249
toilet paper,1,10-03-2016,77,254
toilet paper,1,10-08-2016,77,259
toilet paper,1,10-14-2016,77,265
toilet paper,1,10-20-2016,77,271
toilet paper,1,10-25-2016,77,276
toilet paper,1,10-31-2016,88,282
toilet paper,1,11-06-2016,88,288
toilet paper,1,11-13-2016,77,295
toilet paper,1,11-18-2016,77,300
toilet paper,1,11-23-2016,77,304
toilet paper,1,11-29-2016,88,310
toilet paper,1,12-05-2016,88,316
toilet paper,1,12-10-2016,88,321
toilet paper,1,12-16-2016,88,327
toilet paper,1,12-21-2016,110,332
toilet paper,1,12-26-2016,121,337
toilet paper,1,01-04-2017,88,344
toilet paper,1,01-11-2017,79,349
toilet paper,1,01-17-2017,73,355
toilet paper,1,01-23-2017,77,361
toilet paper,1,01-28-2017,77,365
toilet paper,1,02-02-2017,77,369
toilet paper,1,02-08-2017,77,375
toilet paper,1,02-14-2017,77,380
toilet paper,1,02-18-2017,83,384
toilet paper,1,02-25-2017,83,390
toilet paper,1,03-03-2017,77,394
toilet paper,1,03-08-2017,77,398
toilet paper,1,03-14-2017,77,404
toilet paper,1,03-19-2017,83,409
toilet paper,1,03-24-2017,83,413
toilet paper,1,03-30-2017,83,419
toilet paper,1,04-06-2017,77,426
toilet paper,1,04-12-2017,77,431
toilet paper,1,04-16-2017,83,435
toilet paper,1,04-22-2017,83,441
toilet paper,1,04-29-2017,77,447
toilet paper,1,05-04-2017,77,451
toilet paper,1,05-09-2017,77,456
toilet paper,1,05-15-2017,83,461
toilet paper,1,05-21-2017,83,467
toilet paper,1,05-26-2017,77,472
toilet paper,1,06-01-2017,77,477
toilet paper,1,06-07-2017,77,483
toilet paper,1,06-13-2017,77,489
toilet paper,1,06-18-2017,77,494
toilet paper,1,06-23-2017,83,498
toilet paper,1,06-29-2017,83,503
toilet paper,1,07-05-2017,77,509
toilet paper,1,07-11-2017,77,513
toilet paper,1,07-17-2017,77,518
toilet paper,1,07-22-2017,77,523
toilet paper,1,07-28-2017,77,527
toilet paper,1,08-02-2017,83,530
toilet paper,1,08-05-2017,99,533
toilet paper,1,08-09-2017,121,536
toilet paper,1,08-13-2017,143,540
toilet paper,1,08-19-2017,154,545
toilet paper,1,08-28-2017,105,549
toilet paper,1,09-05-2017,77,554
toilet paper,1,09-11-2017,77,559
toilet paper,1,09-16-2017,77,564
toilet paper,1,09-22-2017,77,570
toilet paper,1,09-28-2017,77,575
toilet paper,1,10-04-2017,77,580
toilet paper,1,10-09-2017,77,585
toilet paper,1,10-15-2017,77,591
toilet paper,1,10-21-2017,77,596
toilet paper,1,10-26-2017,77,600
toilet paper,1,11-01-2017,83,605
toilet paper,1,11-06-2017,83,609
toilet paper,1,11-12-2017,83,613
toilet paper,1,11-18-2017,77,619
toilet paper,1,11-24-2017,77,625
toilet paper,1,11-29-2017,83,630
toilet paper,1,12-04-2017,83,635
toilet paper,1,12-10-2017,88,641
toilet paper,1,12-16-2017,88,646
toilet paper,1,12-21-2017,94,651
toilet paper,1,12-26-2017,97,656
toilet paper,1,01-02-2018,102,661
toilet paper,1,01-04-2018,88,663
toilet paper,1,01-09-2018,94,668
toilet paper,1,01-11-2018,79,670
toilet paper,1,01-16-2018,79,675
toilet paper,1,01-17-2018,73,676
toilet paper,1,01-23-2018,77,682
toilet paper,1,01-23-2018,72,682
toilet paper,1,01-28-2018,77,687
toilet paper,1,01-29-2018,72,688
toilet paper,1,02-02-2018,77,692
toilet paper,1,02-02-2018,72,692
toilet paper,1,02-08-2018,77,698
toilet paper,1,02-08-2018,77,698
toilet paper,1,02-14-2018,77,704
toilet paper,1,02-14-2018,77,704
toilet paper,1,02-18-2018,83,708
toilet paper,1,02-18-2018,81,708
toilet paper,1,02-24-2018,81,714
toilet paper,1,02-25-2018,83,715
toilet paper,1,03-03-2018,77,721
toilet paper,1,03-03-2018,81,721
toilet paper,1,03-08-2018,77,726
toilet paper,1,03-08-2018,77,726
toilet paper,1,03-14-2018,77,732
toilet paper,1,03-14-2018,77,732
toilet paper,1,03-19-2018,83,737
toilet paper,1,03-19-2018,81,737
toilet paper,1,03-24-2018,83,742
toilet paper,1,03-24-2018,81,742
toilet paper,1,03-30-2018,83,748
toilet paper,1,03-30-2018,81,748
toilet paper,1,04-05-2018,81,754
toilet paper,1,04-06-2018,77,755
toilet paper,1,04-11-2018,77,760
toilet paper,1,04-12-2018,77,761
toilet paper,1,04-16-2018,83,765
toilet paper,1,04-16-2018,81,765
toilet paper,1,04-22-2018,83,771
toilet paper,1,04-22-2018,81,771
toilet paper,1,04-28-2018,81,777
toilet paper,1,04-29-2018,77,778
toilet paper,1,05-04-2018,77,783
toilet paper,1,05-04-2018,81,783
toilet paper,1,05-09-2018,77,788
toilet paper,1,05-09-2018,77,788
toilet paper,1,05-15-2018,83,794
toilet paper,1,05-15-2018,81,794
toilet paper,1,05-21-2018,83,800
toilet paper,1,05-21-2018,81,800
toilet paper,1,05-26-2018,77,805
toilet paper,1,05-26-2018,81,805
toilet paper,1,06-01-2018,77,811
toilet paper,1,06-01-2018,77,811
toilet paper,1,06-07-2018,77,817
toilet paper,1,06-07-2018,77,817
toilet paper,1,06-13-2018,77,823
toilet paper,1,06-13-2018,77,823
toilet paper,1,06-18-2018,77,828
toilet paper,1,06-18-2018,77,828
toilet paper,1,06-23-2018,83,833
toilet paper,1,06-23-2018,81,833
toilet paper,1,06-29-2018,83,839
toilet paper,1,06-29-2018,81,839
toilet paper,1,07-05-2018,77,845
toilet paper,1,07-05-2018,81,845
toilet paper,1,07-11-2018,77,851
toilet paper,1,07-11-2018,81,851
toilet paper,1,07-17-2018,77,857
toilet paper,1,07-17-2018,77,857
toilet paper,1,07-22-2018,77,862
toilet paper,1,07-23-2018,77,863
toilet paper,1,07-28-2018,77,868
toilet paper,1,07-28-2018,77,868
toilet paper,1,08-02-2018,83,873
toilet paper,1,08-02-2018,81,873
toilet paper,1,08-05-2018,99,876
toilet paper,1,08-05-2018,92,876
toilet paper,1,08-09-2018,121,880
toilet paper,1,08-09-2018,107,880
toilet paper,1,08-12-2018,118,883
toilet paper,1,08-13-2018,143,884
toilet paper,1,08-18-2018,140,889
toilet paper,1,08-19-2018,154,890
toilet paper,1,08-25-2018,132,895
toilet paper,1,08-28-2018,105,898
toilet paper,1,09-03-2018,99,904
toilet paper,1,09-05-2018,77,906
toilet paper,1,09-11-2018,77,912
toilet paper,1,09-11-2018,77,912
toilet paper,1,09-16-2018,77,917
toilet paper,1,09-16-2018,77,917
toilet paper,1,09-22-2018,77,923
toilet paper,1,09-22-2018,77,923
toilet paper,1,09-28-2018,77,929
toilet paper,1,09-28-2018,77,929
toilet paper,1,10-03-2018,77,934
toilet paper,1,10-04-2018,77,935
toilet paper,1,10-08-2018,77,939
toilet paper,1,10-09-2018,77,940
toilet paper,1,10-14-2018,77,945
toilet paper,1,10-15-2018,77,946
toilet paper,1,10-20-2018,77,951
toilet paper,1,10-21-2018,77,952
toilet paper,1,10-25-2018,77,956
toilet paper,1,10-26-2018,77,957
toilet paper,1,10-31-2018,77,962
toilet paper,1,11-01-2018,83,963
toilet paper,1,11-05-2018,81,967
toilet paper,1,11-06-2018,83,968
toilet paper,1,11-11-2018,81,973
toilet paper,1,11-12-2018,83,974
toilet paper,1,11-17-2018,78,979
toilet paper,1,11-18-2018,77,980
toilet paper,1,11-24-2018,77,986
toilet paper,1,11-24-2018,75,986
toilet paper,1,11-29-2018,83,991
toilet paper,1,11-29-2018,78,991
toilet paper,1,12-04-2018,83,996
toilet paper,1,12-04-2018,81,996
toilet paper,1,12-09-2018,85,1001
toilet paper,1,12-10-2018,88,1002
toilet paper,1,12-15-2018,88,1006
toilet paper,1,12-16-2018,88,1007
toilet paper,1,12-20-2018,92,1011
toilet paper,1,12-21-2018,94,1012
toilet paper,1,12-24-2018,103,1015
toilet paper,1,12-26-2018,97,1017
toilet paper,1,12-31-2018,103,1021
toilet paper,1,01-02-2019,102,1023
toilet paper,1,01-04-2019,88,1025
toilet paper,1,01-07-2019,103,1028
toilet paper,1,01-09-2019,94,1030
toilet paper,1,01-11-2019,79,1032
toilet paper,1,01-15-2019,97,1036
toilet paper,1,01-16-2019,79,1037
toilet paper,1,01-17-2019,73,1038
toilet paper,1,01-22-2019,83,1043
toilet paper,1,01-23-2019,77,1044
toilet paper,1,01-23-2019,72,1044
toilet paper,1,01-28-2019,77,1049
toilet paper,1,01-28-2019,80,1049
