Item,Item ID,Day,Quantity,Order Number
water bottles,16,01-10-2016,903,3
water bottles,16,01-16-2016,903,8
water bottles,16,01-22-2016,903,14
water bottles,16,01-27-2016,903,19
water bottles,16,02-01-2016,903,24
water bottles,16,02-07-2016,903,30
water bottles,16,02-12-2016,903,35
water bottles,16,02-17-2016,1032,40
water bottles,16,02-23-2016,903,46
water bottles,16,02-28-2016,903,51
water bottles,16,03-05-2016,903,57
water bottles,16,03-11-2016,903,62
water bottles,16,03-16-2016,903,67
water bottles,16,03-20-2016,1032,71
water bottles,16,03-27-2016,903,78
water bottles,16,04-01-2016,903,83
water bottles,16,04-06-2016,903,88
water bottles,16,04-12-2016,903,93
water bottles,16,04-17-2016,1032,98
water bottles,16,04-23-2016,903,104
water bottles,16,04-29-2016,903,110
water bottles,16,05-05-2016,903,116
water bottles,16,05-09-2016,1032,120
water bottles,16,05-15-2016,1032,126
water bottles,16,05-22-2016,903,133
water bottles,16,05-27-2016,903,137
water bottles,16,06-01-2016,903,142
water bottles,16,06-07-2016,903,148
water bottles,16,06-13-2016,903,153
water bottles,16,06-17-2016,903,157
water bottles,16,06-23-2016,1032,163
water bottles,16,06-29-2016,903,169
water bottles,16,07-04-2016,903,174
water bottles,16,07-10-2016,903,179
water bottles,16,07-16-2016,903,184
water bottles,16,07-21-2016,903,189
water bottles,16,07-26-2016,903,194
water bottles,16,08-01-2016,1032,200
water bottles,16,08-04-2016,1419,203
water bottles,16,08-09-2016,1806,208
water bottles,16,08-14-2016,1806,212
water bottles,16,08-19-2016,1677,217
water bottles,16,08-29-2016,903,223
water bottles,16,09-04-2016,903,229
water bottles,16,09-10-2016,903,234
water bottles,16,09-15-2016,903,238
water bottles,16,09-21-2016,903,244
water bottles,16,09-26-2016,903,248
water bottles,16,10-02-2016,903,253
water bottles,16,10-07-2016,903,258
water bottles,16,10-13-2016,903,264
water bottles,16,10-18-2016,903,269
water bottles,16,10-23-2016,903,274
water bottles,16,10-29-2016,903,280
water bottles,16,11-03-2016,1032,285
water bottles,16,11-09-2016,903,291
water bottles,16,11-15-2016,903,297
water bottles,16,11-21-2016,903,302
water bottles,16,11-25-2016,903,306
water bottles,16,11-30-2016,1032,311
water bottles,16,12-06-2016,1032,317
water bottles,16,12-12-2016,1032,323
water bottles,16,12-18-2016,1032,329
water bottles,16,12-22-2016,1419,333
water bottles,16,12-27-2016,1419,338
water bottles,16,01-06-2017,1032,345
water bottles,16,01-13-2017,920,351
water bottles,16,01-18-2017,855,356
water bottles,16,01-24-2017,903,362
water bottles,16,01-30-2017,903,366
water bottles,16,02-04-2017,903,371
water bottles,16,02-09-2017,903,376
water bottles,16,02-15-2017,968,381
water bottles,16,02-19-2017,968,385
water bottles,16,02-25-2017,968,390
water bottles,16,03-04-2017,903,395
water bottles,16,03-09-2017,903,399
water bottles,16,03-14-2017,903,404
water bottles,16,03-19-2017,968,409
water bottles,16,03-25-2017,968,414
water bottles,16,03-30-2017,968,419
water bottles,16,04-06-2017,903,426
water bottles,16,04-11-2017,903,430
water bottles,16,04-16-2017,968,435
water bottles,16,04-22-2017,968,441
water bottles,16,04-28-2017,968,446
water bottles,16,05-03-2017,903,450
water bottles,16,05-09-2017,903,456
water bottles,16,05-14-2017,968,460
water bottles,16,05-19-2017,968,465
water bottles,16,05-25-2017,903,471
water bottles,16,05-31-2017,903,476
water bottles,16,06-06-2017,903,482
water bottles,16,06-10-2017,903,486
water bottles,16,06-16-2017,903,492
water bottles,16,06-22-2017,968,497
water bottles,16,06-27-2017,968,501
water bottles,16,07-03-2017,968,507
water bottles,16,07-09-2017,903,511
water bottles,16,07-14-2017,903,515
water bottles,16,07-20-2017,903,521
water bottles,16,07-26-2017,903,525
water bottles,16,07-31-2017,903,528
water bottles,16,08-03-2017,1032,531
water bottles,16,08-07-2017,1290,535
water bottles,16,08-11-2017,1548,538
water bottles,16,08-16-2017,1806,543
water bottles,16,08-21-2017,1677,546
water bottles,16,09-01-2017,968,551
water bottles,16,09-06-2017,903,555
water bottles,16,09-12-2017,903,560
water bottles,16,09-18-2017,903,566
water bottles,16,09-23-2017,903,571
water bottles,16,09-29-2017,903,576
water bottles,16,10-05-2017,903,581
water bottles,16,10-09-2017,903,585
water bottles,16,10-15-2017,903,591
water bottles,16,10-21-2017,903,596
water bottles,16,10-26-2017,903,600
water bottles,16,11-01-2017,968,605
water bottles,16,11-06-2017,968,609
water bottles,16,11-12-2017,968,613
water bottles,16,11-17-2017,903,618
water bottles,16,11-23-2017,903,624
water bottles,16,11-29-2017,968,630
water bottles,16,12-03-2017,968,634
water bottles,16,12-09-2017,1032,640
water bottles,16,12-15-2017,1032,645
water bottles,16,12-20-2017,1097,650
water bottles,16,12-25-2017,1194,655
water bottles,16,12-31-2017,1194,659
water bottles,16,01-06-2018,1032,665
water bottles,16,01-07-2018,1194,666
water bottles,16,01-13-2018,920,672
water bottles,16,01-15-2018,957,674
water bottles,16,01-18-2018,855,677
water bottles,16,01-22-2018,882,681
water bottles,16,01-24-2018,903,683
water bottles,16,01-28-2018,839,687
water bottles,16,01-30-2018,903,689
water bottles,16,02-02-2018,839,692
water bottles,16,02-04-2018,903,694
water bottles,16,02-07-2018,903,697
water bottles,16,02-09-2018,903,699
water bottles,16,02-12-2018,903,702
water bottles,16,02-15-2018,968,705
water bottles,16,02-17-2018,946,707
water bottles,16,02-19-2018,968,709
water bottles,16,02-23-2018,946,713
water bottles,16,02-25-2018,968,715
water bottles,16,02-28-2018,946,718
water bottles,16,03-04-2018,903,722
water bottles,16,03-06-2018,946,724
water bottles,16,03-09-2018,903,727
water bottles,16,03-12-2018,903,730
water bottles,16,03-14-2018,903,732
water bottles,16,03-17-2018,903,735
water bottles,16,03-19-2018,968,737
water bottles,16,03-21-2018,946,739
water bottles,16,03-25-2018,968,743
water bottles,16,03-28-2018,946,746
water bottles,16,03-30-2018,968,748
water bottles,16,04-02-2018,946,751
water bottles,16,04-06-2018,903,755
water bottles,16,04-07-2018,946,756
water bottles,16,04-11-2018,903,760
water bottles,16,04-14-2018,903,763
water bottles,16,04-16-2018,968,765
water bottles,16,04-19-2018,946,768
water bottles,16,04-22-2018,968,771
water bottles,16,04-24-2018,946,773
water bottles,16,04-28-2018,968,777
water bottles,16,04-30-2018,946,779
water bottles,16,05-03-2018,903,782
water bottles,16,05-06-2018,903,785
water bottles,16,05-09-2018,903,788
water bottles,16,05-11-2018,946,790
water bottles,16,05-14-2018,968,793
water bottles,16,05-16-2018,946,795
water bottles,16,05-19-2018,968,798
water bottles,16,05-22-2018,946,801
water bottles,16,05-25-2018,903,804
water bottles,16,05-28-2018,946,807
water bottles,16,05-31-2018,903,810
water bottles,16,06-02-2018,903,812
water bottles,16,06-06-2018,903,816
water bottles,16,06-08-2018,903,818
water bottles,16,06-10-2018,903,820
water bottles,16,06-14-2018,903,824
water bottles,16,06-16-2018,903,826
water bottles,16,06-18-2018,903,828
water bottles,16,06-22-2018,968,832
water bottles,16,06-24-2018,946,834
water bottles,16,06-27-2018,968,837
water bottles,16,06-30-2018,946,840
water bottles,16,07-03-2018,968,843
water bottles,16,07-05-2018,946,845
water bottles,16,07-09-2018,903,849
water bottles,16,07-11-2018,946,851
water bottles,16,07-14-2018,903,854
water bottles,16,07-17-2018,903,857
water bottles,16,07-20-2018,903,860
water bottles,16,07-22-2018,903,862
water bottles,16,07-26-2018,903,866
water bottles,16,07-28-2018,903,868
water bottles,16,07-31-2018,903,871
water bottles,16,08-02-2018,946,873
water bottles,16,08-03-2018,1032,874
water bottles,16,08-04-2018,1032,875
water bottles,16,08-07-2018,1290,878
water bottles,16,08-09-2018,1247,880
water bottles,16,08-11-2018,1548,882
water bottles,16,08-12-2018,1376,883
water bottles,16,08-16-2018,1806,887
water bottles,16,08-16-2018,1548,887
water bottles,16,08-21-2018,1677,892
water bottles,16,08-21-2018,1677,892
water bottles,16,09-01-2018,968,902
water bottles,16,09-01-2018,1247,902
water bottles,16,09-06-2018,903,907
water bottles,16,09-08-2018,946,909
water bottles,16,09-12-2018,903,913
water bottles,16,09-14-2018,903,915
water bottles,16,09-18-2018,903,919
water bottles,16,09-20-2018,903,921
water bottles,16,09-23-2018,903,924
water bottles,16,09-25-2018,903,926
water bottles,16,09-29-2018,903,930
water bottles,16,09-30-2018,903,931
water bottles,16,10-05-2018,903,936
water bottles,16,10-06-2018,903,937
water bottles,16,10-09-2018,903,940
water bottles,16,10-12-2018,903,943
water bottles,16,10-15-2018,903,946
water bottles,16,10-17-2018,903,948
water bottles,16,10-21-2018,903,952
water bottles,16,10-23-2018,903,954
water bottles,16,10-26-2018,903,957
water bottles,16,10-28-2018,903,959
water bottles,16,11-01-2018,968,963
water bottles,16,11-02-2018,946,964
water bottles,16,11-06-2018,968,968
water bottles,16,11-08-2018,946,970
water bottles,16,11-12-2018,968,974
water bottles,16,11-14-2018,914,976
water bottles,16,11-17-2018,903,979
water bottles,16,11-20-2018,914,982
water bottles,16,11-23-2018,903,985
