Item,Item ID,Day,Quantity,Order Number
wrenches,15,01-12-2016,21,4
wrenches,15,01-17-2016,21,9
wrenches,15,01-24-2016,21,16
wrenches,15,01-30-2016,21,22
wrenches,15,02-05-2016,21,28
wrenches,15,02-10-2016,21,33
wrenches,15,02-16-2016,24,38
wrenches,15,02-22-2016,21,43
wrenches,15,02-28-2016,21,49
wrenches,15,03-05-2016,21,55
wrenches,15,03-11-2016,21,61
wrenches,15,03-17-2016,24,67
wrenches,15,03-22-2016,24,72
wrenches,15,03-29-2016,21,79
wrenches,15,04-05-2016,21,86
wrenches,15,04-11-2016,21,92
wrenches,15,04-15-2016,24,96
wrenches,15,04-22-2016,21,103
wrenches,15,04-29-2016,21,110
wrenches,15,05-05-2016,21,115
wrenches,15,05-10-2016,24,120
wrenches,15,05-16-2016,21,126
wrenches,15,05-23-2016,21,133
wrenches,15,05-29-2016,21,139
wrenches,15,06-04-2016,21,145
wrenches,15,06-09-2016,21,150
wrenches,15,06-16-2016,21,157
wrenches,15,06-21-2016,24,162
wrenches,15,06-28-2016,21,169
wrenches,15,07-03-2016,21,174
wrenches,15,07-10-2016,21,180
wrenches,15,07-16-2016,21,185
wrenches,15,07-22-2016,21,190
wrenches,15,07-27-2016,21,194
wrenches,15,08-02-2016,27,199
wrenches,15,08-05-2016,36,202
wrenches,15,08-10-2016,42,207
wrenches,15,08-16-2016,42,212
wrenches,15,08-24-2016,24,220
wrenches,15,08-31-2016,21,226
wrenches,15,09-05-2016,21,231
wrenches,15,09-12-2016,21,237
wrenches,15,09-18-2016,21,241
wrenches,15,09-24-2016,21,245
wrenches,15,09-29-2016,21,250
wrenches,15,10-06-2016,21,257
wrenches,15,10-12-2016,21,262
wrenches,15,10-18-2016,21,268
wrenches,15,10-23-2016,21,273
wrenches,15,10-30-2016,21,279
wrenches,15,11-04-2016,24,284
wrenches,15,11-11-2016,21,290
wrenches,15,11-16-2016,21,295
wrenches,15,11-23-2016,21,302
wrenches,15,11-28-2016,24,307
wrenches,15,12-05-2016,24,314
wrenches,15,12-10-2016,24,319
wrenches,15,12-17-2016,24,325
wrenches,15,12-22-2016,33,330
wrenches,15,12-27-2016,33,334
wrenches,15,01-07-2017,24,343
wrenches,15,01-14-2017,22,349
wrenches,15,01-21-2017,21,355
wrenches,15,01-26-2017,21,359
wrenches,15,02-01-2017,21,363
wrenches,15,02-08-2017,21,369
wrenches,15,02-14-2017,21,375
wrenches,15,02-18-2017,23,379
wrenches,15,02-25-2017,23,385
wrenches,15,03-03-2017,21,390
wrenches,15,03-09-2017,21,395
wrenches,15,03-15-2017,21,400
wrenches,15,03-20-2017,23,405
wrenches,15,03-27-2017,23,411
wrenches,15,04-02-2017,21,417
wrenches,15,04-08-2017,21,423
wrenches,15,04-14-2017,21,429
wrenches,15,04-20-2017,23,435
wrenches,15,04-26-2017,23,441
wrenches,15,05-02-2017,21,447
wrenches,15,05-08-2017,21,453
wrenches,15,05-14-2017,23,459
wrenches,15,05-20-2017,23,465
wrenches,15,05-26-2017,21,471
wrenches,15,06-02-2017,21,477
wrenches,15,06-08-2017,21,483
wrenches,15,06-14-2017,21,488
wrenches,15,06-19-2017,21,493
wrenches,15,06-25-2017,23,499
wrenches,15,07-02-2017,23,505
wrenches,15,07-08-2017,21,511
wrenches,15,07-14-2017,21,517
wrenches,15,07-20-2017,21,523
wrenches,15,07-26-2017,21,528
wrenches,15,08-01-2017,21,534
wrenches,15,08-04-2017,26,537
wrenches,15,08-08-2017,32,541
wrenches,15,08-12-2017,38,545
wrenches,15,08-17-2017,42,549
wrenches,15,08-26-2017,32,556
wrenches,15,09-04-2017,21,562
wrenches,15,09-10-2017,21,567
wrenches,15,09-16-2017,21,573
wrenches,15,09-22-2017,21,579
wrenches,15,09-28-2017,21,584
wrenches,15,10-04-2017,21,589
wrenches,15,10-10-2017,21,594
wrenches,15,10-16-2017,21,598
wrenches,15,10-22-2017,21,601
wrenches,15,10-28-2017,21,606
wrenches,15,11-02-2017,23,611
wrenches,15,11-09-2017,23,616
wrenches,15,11-15-2017,21,621
wrenches,15,11-22-2017,21,627
wrenches,15,11-27-2017,21,632
wrenches,15,12-02-2017,23,636
wrenches,15,12-08-2017,24,641
wrenches,15,12-14-2017,24,647
wrenches,15,12-20-2017,26,653
wrenches,15,12-25-2017,28,658
wrenches,15,01-01-2018,28,662
wrenches,15,01-07-2018,24,668
wrenches,15,01-09-2018,26,670
wrenches,15,01-14-2018,22,675
wrenches,15,01-18-2018,21,679
wrenches,15,01-21-2018,21,682
wrenches,15,01-24-2018,20,685
wrenches,15,01-26-2018,21,687
wrenches,15,01-30-2018,20,691
wrenches,15,02-01-2018,21,693
wrenches,15,02-05-2018,21,697
wrenches,15,02-08-2018,21,700
wrenches,15,02-10-2018,21,702
wrenches,15,02-14-2018,21,706
wrenches,15,02-16-2018,22,708
wrenches,15,02-18-2018,23,710
wrenches,15,02-22-2018,22,714
wrenches,15,02-25-2018,23,716
wrenches,15,02-28-2018,22,719
wrenches,15,03-03-2018,21,721
wrenches,15,03-06-2018,22,724
wrenches,15,03-09-2018,21,726
wrenches,15,03-13-2018,21,730
wrenches,15,03-15-2018,21,732
wrenches,15,03-18-2018,22,735
wrenches,15,03-20-2018,23,737
wrenches,15,03-24-2018,22,740
wrenches,15,03-27-2018,23,743
wrenches,15,03-30-2018,22,746
wrenches,15,04-02-2018,21,749
