Item,Item ID,Day,Quantity,Order Number
box cutters,6,01-08-2020,686,1
plastic wrap,19,01-08-2020,532,1
paper towel,2,01-09-2020,308,2
cleaner,3,01-09-2020,56,2
light bulbs,5,01-09-2020,266,2
printer paper,9,01-09-2020,154,2
meat trays,12,01-09-2020,5978,2
soap,14,01-09-2020,266,2
water bottles,16,01-09-2020,2002,2
toilet paper,1,01-10-2020,224,3
office chair,7,01-14-2020,42,4
pens,8,01-14-2020,700,4
produce bags,13,01-14-2020,280,4
keyboards,17,01-14-2020,70,4
blank badges,10,01-15-2020,1605,5
photo paper,18,01-15-2020,8130,5
plastic bags,4,01-17-2020,1498,6
scanner batt,11,01-17-2020,70,6
box cutters,6,01-18-2020,686,7
wrenches,15,01-18-2020,28,7
plastic wrap,19,01-19-2020,532,8
printer paper,9,01-20-2020,154,9
water bottles,16,01-20-2020,2002,9
paper towel,2,01-21-2020,308,10
light bulbs,5,01-21-2020,266,10
meat trays,12,01-21-2020,5978,10
soap,14,01-21-2020,266,10
toilet paper,1,01-22-2020,224,11
cleaner,3,01-22-2020,56,11
pens,8,01-24-2020,700,12
produce bags,13,01-24-2020,280,12
office chair,7,01-25-2020,42,13
keyboards,17,01-25-2020,70,13
photo paper,18,01-26-2020,7588,14
blank badges,10,01-27-2020,1498,15
scanner batt,11,01-28-2020,70,16
plastic bags,4,01-29-2020,1498,17
box cutters,6,01-30-2020,686,18
wrenches,15,01-31-2020,28,19
water bottles,16,01-31-2020,2002,19
plastic wrap,19,01-31-2020,532,19
toilet paper,1,02-01-2020,224,20
paper towel,2,02-01-2020,308,20
light bulbs,5,02-01-2020,266,20
printer paper,9,02-01-2020,154,20
meat trays,12,02-01-2020,5978,20
soap,14,02-01-2020,266,20
cleaner,3,02-02-2020,56,21
pens,8,02-04-2020,700,22
produce bags,13,02-04-2020,280,22
keyboards,17,02-05-2020,70,23
office chair,7,02-07-2020,42,24
blank badges,10,02-07-2020,1498,24
photo paper,18,02-07-2020,7588,24
plastic bags,4,02-09-2020,1498,25
box cutters,6,02-09-2020,686,25
scanner batt,11,02-09-2020,70,25
plastic wrap,19,02-10-2020,532,26
printer paper,9,02-11-2020,154,27
water bottles,16,02-11-2020,2002,27
toilet paper,1,02-12-2020,224,28
paper towel,2,02-12-2020,308,28
light bulbs,5,02-12-2020,266,28
meat trays,12,02-12-2020,5978,28
soap,14,02-12-2020,266,28
wrenches,15,02-12-2020,28,28
cleaner,3,02-15-2020,60,29
pens,8,02-15-2020,750,29
produce bags,13,02-15-2020,300,29
keyboards,17,02-16-2020,75,30
office chair,7,02-17-2020,45,31
blank badges,10,02-17-2020,1605,31
photo paper,18,02-17-2020,8130,31
plastic bags,4,02-18-2020,1605,32
scanner batt,11,02-18-2020,75,32
box cutters,6,02-19-2020,735,33
plastic wrap,19,02-20-2020,570,34
water bottles,16,02-21-2020,2145,35
paper towel,2,02-22-2020,330,36
printer paper,9,02-22-2020,165,36
meat trays,12,02-22-2020,6405,36
toilet paper,1,02-23-2020,240,37
light bulbs,5,02-23-2020,285,37
soap,14,02-23-2020,285,37
wrenches,15,02-24-2020,30,38
cleaner,3,02-25-2020,60,39
pens,8,02-26-2020,750,40
produce bags,13,02-26-2020,300,40
keyboards,17,02-27-2020,75,41
blank badges,10,02-28-2020,1605,42
photo paper,18,02-28-2020,8130,42
office chair,7,03-01-2020,42,43
plastic bags,4,03-02-2020,1498,44
scanner batt,11,03-02-2020,70,44
box cutters,6,03-03-2020,686,45
plastic wrap,19,03-03-2020,532,45
meat trays,12,03-04-2020,5978,46
water bottles,16,03-04-2020,2002,46
toilet paper,1,03-05-2020,224,47
paper towel,2,03-05-2020,308,47
light bulbs,5,03-05-2020,266,47
printer paper,9,03-05-2020,154,47
soap,14,03-05-2020,266,47
wrenches,15,03-08-2020,28,48
cleaner,3,03-10-2020,56,49
pens,8,03-10-2020,700,49
