Item,Item ID,Day,Quantity,Order Number
printer paper,9,01-01-2021,220,1
cleaner,3,01-02-2021,40,2
office chair,7,01-08-2021,80,3
blank badges,10,01-08-2021,3741,3
meat trays,12,01-08-2021,7420,3
water bottles,16,01-08-2021,2780,3
photo paper,18,01-08-2021,17720,3
scanner batt,11,01-09-2021,160,4
keyboards,17,01-12-2021,120,5
pens,8,01-13-2021,1000,6
produce bags,13,01-13-2021,540,6
toilet paper,1,01-14-2021,320,7
plastic bags,4,01-14-2021,2600,7
light bulbs,5,01-14-2021,380,7
box cutters,6,01-14-2021,660,7
plastic wrap,19,01-14-2021,580,7
paper towel,2,01-15-2021,368,8
soap,14,01-15-2021,315,8
printer paper,9,01-17-2021,182,9
wrenches,15,01-17-2021,33,9
cleaner,3,01-20-2021,31,10
blank badges,10,01-24-2021,2712,11
meat trays,12,01-24-2021,5380,11
water bottles,16,01-24-2021,2016,11
photo paper,18,01-24-2021,12847,11
office chair,7,01-25-2021,59,12
scanner batt,11,01-25-2021,117,12
paper towel,2,01-29-2021,297,13
pens,8,01-29-2021,707,13
soap,14,01-29-2021,255,13
keyboards,17,01-29-2021,85,13
toilet paper,1,01-30-2021,218,14
plastic bags,4,01-30-2021,1772,14
light bulbs,5,01-30-2021,259,14
box cutters,6,01-30-2021,450,14
produce bags,13,01-30-2021,368,14
printer paper,9,01-31-2021,150,15
plastic wrap,19,01-31-2021,396,15
wrenches,15,02-01-2021,28,16
cleaner,3,02-03-2021,28,17
blank badges,10,02-05-2021,2548,18
meat trays,12,02-05-2021,5055,18
water bottles,16,02-05-2021,1894,18
photo paper,18,02-05-2021,12072,18
office chair,7,02-07-2021,55,19
scanner batt,11,02-07-2021,109,19
paper towel,2,02-09-2021,287,20
plastic bags,4,02-09-2021,1772,20
box cutters,6,02-09-2021,450,20
pens,8,02-09-2021,682,20
produce bags,13,02-09-2021,368,20
soap,14,02-09-2021,246,20
keyboards,17,02-09-2021,82,20
toilet paper,1,02-10-2021,218,21
light bulbs,5,02-10-2021,259,21
plastic wrap,19,02-10-2021,396,21
printer paper,9,02-11-2021,150,22
wrenches,15,02-14-2021,27,23
blank badges,10,02-18-2021,2291,24
photo paper,18,02-18-2021,10854,24
meat trays,12,02-19-2021,4545,25
water bottles,16,02-19-2021,1703,25
cleaner,3,02-20-2021,25,26
scanner batt,11,02-21-2021,98,27
office chair,7,02-23-2021,49,28
pens,8,02-23-2021,613,28
toilet paper,1,02-24-2021,202,29
paper towel,2,02-24-2021,266,29
plastic bags,4,02-24-2021,1642,29
light bulbs,5,02-24-2021,240,29
box cutters,6,02-24-2021,417,29
produce bags,13,02-24-2021,341,29
soap,14,02-24-2021,228,29
keyboards,17,02-24-2021,76,29
plastic wrap,19,02-24-2021,367,29
printer paper,9,02-26-2021,139,30
blank badges,10,02-28-2021,2361,31
photo paper,18,02-28-2021,11186,31
meat trays,12,03-01-2021,4684,32
water bottles,16,03-01-2021,1755,32
scanner batt,11,03-03-2021,101,33
wrenches,15,03-03-2021,26,33
cleaner,3,03-04-2021,26,34
paper towel,2,03-05-2021,266,35
plastic bags,4,03-05-2021,1642,35
box cutters,6,03-05-2021,417,35
office chair,7,03-05-2021,51,35
pens,8,03-05-2021,632,35
soap,14,03-05-2021,228,35
toilet paper,1,03-06-2021,202,36
light bulbs,5,03-06-2021,240,36
produce bags,13,03-06-2021,341,36
keyboards,17,03-06-2021,76,36
plastic wrap,19,03-06-2021,367,36
printer paper,9,03-08-2021,139,37
blank badges,10,03-11-2021,2361,38
meat trays,12,03-11-2021,4684,38
water bottles,16,03-11-2021,1755,38
photo paper,18,03-11-2021,11186,38
scanner batt,11,03-13-2021,101,39
cleaner,3,03-14-2021,26,40
pens,8,03-14-2021,650,40
wrenches,15,03-14-2021,26,40
paper towel,2,03-15-2021,279,41
plastic bags,4,03-15-2021,1723,41
box cutters,6,03-15-2021,438,41
office chair,7,03-15-2021,53,41
produce bags,13,03-15-2021,358,41
soap,14,03-15-2021,239,41
toilet paper,1,03-16-2021,218,42
light bulbs,5,03-16-2021,259,42
keyboards,17,03-16-2021,82,42
plastic wrap,19,03-16-2021,396,42
printer paper,9,03-18-2021,160,43
blank badges,10,03-19-2021,2712,44
photo paper,18,03-19-2021,12847,44
meat trays,12,03-20-2021,5380,45
water bottles,16,03-20-2021,2016,45
scanner batt,11,03-22-2021,117,46
pens,8,03-24-2021,725,47
wrenches,15,03-24-2021,30,47
paper towel,2,03-25-2021,305,48
cleaner,3,03-25-2021,30,48
plastic bags,4,03-25-2021,1885,48
box cutters,6,03-25-2021,479,48
office chair,7,03-25-2021,59,48
produce bags,13,03-25-2021,392,48
soap,14,03-25-2021,261,48
toilet paper,1,03-26-2021,233,49
light bulbs,5,03-26-2021,276,49
plastic wrap,19,03-26-2021,421,49
keyboards,17,03-27-2021,87,50
printer paper,9,03-29-2021,160,51
blank badges,10,03-30-2021,2712,52
meat trays,12,03-30-2021,5380,52
water bottles,16,03-30-2021,2016,52
photo paper,18,03-30-2021,12847,52
scanner batt,11,04-03-2021,117,53
plastic bags,4,04-05-2021,1885,54
pens,8,04-05-2021,725,54
toilet paper,1,04-06-2021,233,55
paper towel,2,04-06-2021,305,55
light bulbs,5,04-06-2021,276,55
box cutters,6,04-06-2021,479,55
office chair,7,04-06-2021,59,55
produce bags,13,04-06-2021,392,55
soap,14,04-06-2021,261,55
wrenches,15,04-06-2021,30,55
plastic wrap,19,04-06-2021,421,55
cleaner,3,04-07-2021,30,56
keyboards,17,04-07-2021,87,56
printer paper,9,04-09-2021,160,57
blank badges,10,04-11-2021,2712,58
photo paper,18,04-11-2021,12847,58
meat trays,12,04-12-2021,5380,59
water bottles,16,04-12-2021,2016,59
pens,8,04-15-2021,725,60
scanner batt,11,04-15-2021,117,60
paper towel,2,04-16-2021,305,61
plastic bags,4,04-16-2021,1885,61
box cutters,6,04-16-2021,479,61
produce bags,13,04-16-2021,392,61
soap,14,04-16-2021,261,61
toilet paper,1,04-17-2021,233,62
light bulbs,5,04-17-2021,276,62
plastic wrap,19,04-17-2021,421,62
office chair,7,04-18-2021,59,63
keyboards,17,04-18-2021,87,63
wrenches,15,04-19-2021,30,64
cleaner,3,04-20-2021,30,65
printer paper,9,04-21-2021,160,66
blank badges,10,04-22-2021,2712,67
meat trays,12,04-22-2021,5380,67
water bottles,16,04-22-2021,2016,67
photo paper,18,04-22-2021,12847,67
pens,8,04-26-2021,725,68
scanner batt,11,04-26-2021,117,68
plastic bags,4,04-27-2021,1885,69
paper towel,2,04-28-2021,305,70
box cutters,6,04-28-2021,479,70
produce bags,13,04-28-2021,392,70
soap,14,04-28-2021,261,70
toilet paper,1,04-29-2021,233,71
light bulbs,5,04-29-2021,276,71
plastic wrap,19,04-29-2021,421,71
office chair,7,04-30-2021,59,72
keyboards,17,04-30-2021,87,72
printer paper,9,05-02-2021,160,73
wrenches,15,05-02-2021,30,73
cleaner,3,05-03-2021,30,74
blank badges,10,05-03-2021,2712,74
meat trays,12,05-03-2021,5380,74
water bottles,16,05-03-2021,2016,74
photo paper,18,05-03-2021,12847,74
plastic bags,4,05-08-2021,1885,75
pens,8,05-08-2021,725,75
scanner batt,11,05-08-2021,117,75
paper towel,2,05-09-2021,305,76
box cutters,6,05-09-2021,479,76
produce bags,13,05-09-2021,392,76
soap,14,05-09-2021,261,76
toilet paper,1,05-10-2021,240,77
light bulbs,5,05-10-2021,285,77
plastic wrap,19,05-10-2021,435,77
keyboards,17,05-11-2021,90,78
office chair,7,05-12-2021,60,79
printer paper,9,05-13-2021,160,80
blank badges,10,05-14-2021,2712,81
meat trays,12,05-14-2021,5380,81
water bottles,16,05-14-2021,2016,81
photo paper,18,05-14-2021,12847,81
wrenches,15,05-15-2021,30,82
cleaner,3,05-16-2021,30,83
pens,8,05-18-2021,725,84
plastic bags,4,05-19-2021,1885,85
scanner batt,11,05-19-2021,117,85
paper towel,2,05-20-2021,305,86
box cutters,6,05-20-2021,479,86
produce bags,13,05-20-2021,392,86
soap,14,05-20-2021,261,86
toilet paper,1,05-22-2021,233,87
light bulbs,5,05-22-2021,276,87
plastic wrap,19,05-22-2021,421,87
keyboards,17,05-23-2021,87,88
office chair,7,05-25-2021,59,89
printer paper,9,05-25-2021,160,89
blank badges,10,05-25-2021,2712,89
meat trays,12,05-25-2021,5380,89
water bottles,16,05-25-2021,2016,89
photo paper,18,05-25-2021,12847,89
wrenches,15,05-28-2021,30,90
cleaner,3,05-29-2021,30,91
pens,8,05-30-2021,725,92
plastic bags,4,05-31-2021,1885,93
box cutters,6,05-31-2021,479,93
scanner batt,11,05-31-2021,117,93
paper towel,2,06-01-2021,305,94
produce bags,13,06-01-2021,392,94
soap,14,06-01-2021,261,94
toilet paper,1,06-02-2021,233,95
light bulbs,5,06-02-2021,276,95
plastic wrap,19,06-02-2021,421,95
keyboards,17,06-04-2021,87,96
blank badges,10,06-05-2021,2712,97
photo paper,18,06-05-2021,12847,97
printer paper,9,06-06-2021,160,98
meat trays,12,06-06-2021,5380,98
water bottles,16,06-06-2021,2016,98
office chair,7,06-07-2021,56,99
plastic bags,4,06-10-2021,1820,100
pens,8,06-10-2021,700,100
wrenches,15,06-10-2021,28,100
cleaner,3,06-11-2021,28,101
box cutters,6,06-11-2021,462,101
scanner batt,11,06-11-2021,112,101
paper towel,2,06-12-2021,294,102
produce bags,13,06-12-2021,378,102
soap,14,06-12-2021,252,102
plastic wrap,19,06-13-2021,406,103
toilet paper,1,06-14-2021,224,104
light bulbs,5,06-14-2021,266,104
keyboards,17,06-16-2021,84,105
printer paper,9,06-17-2021,154,106
blank badges,10,06-17-2021,2618,106
meat trays,12,06-17-2021,5194,106
water bottles,16,06-17-2021,1946,106
photo paper,18,06-17-2021,12404,106
office chair,7,06-18-2021,56,107
pens,8,06-21-2021,725,108
plastic bags,4,06-22-2021,1885,109
box cutters,6,06-22-2021,479,109
scanner batt,11,06-22-2021,117,109
wrenches,15,06-22-2021,30,109
paper towel,2,06-23-2021,305,110
cleaner,3,06-23-2021,30,110
produce bags,13,06-23-2021,392,110
soap,14,06-23-2021,261,110
toilet paper,1,06-24-2021,233,111
light bulbs,5,06-24-2021,276,111
plastic wrap,19,06-24-2021,421,111
blank badges,10,06-26-2021,2712,112
keyboards,17,06-26-2021,87,112
photo paper,18,06-26-2021,12847,112
meat trays,12,06-27-2021,5380,113
water bottles,16,06-27-2021,2016,113
printer paper,9,06-28-2021,160,114
office chair,7,06-29-2021,59,115
plastic bags,4,07-02-2021,1885,116
pens,8,07-02-2021,725,116
box cutters,6,07-03-2021,479,117
paper towel,2,07-04-2021,305,118
scanner batt,11,07-04-2021,117,118
produce bags,13,07-04-2021,392,118
soap,14,07-04-2021,261,118
toilet paper,1,07-05-2021,233,119
light bulbs,5,07-05-2021,276,119
wrenches,15,07-05-2021,30,119
plastic wrap,19,07-05-2021,421,119
cleaner,3,07-06-2021,30,120
keyboards,17,07-08-2021,87,121
blank badges,10,07-09-2021,2712,122
