Item,Item ID,Day,Quantity,Order Number
blank badges,10,01-09-2016,1253,2
blank badges,10,01-15-2016,1253,7
blank badges,10,01-20-2016,1253,12
blank badges,10,01-25-2016,1253,17
blank badges,10,01-31-2016,1253,23
blank badges,10,02-06-2016,1253,29
blank badges,10,02-10-2016,1253,33
blank badges,10,02-16-2016,1432,38
blank badges,10,02-22-2016,1253,43
blank badges,10,02-26-2016,1253,46
blank badges,10,03-04-2016,1253,51
blank badges,10,03-09-2016,1253,54
blank badges,10,03-14-2016,1253,59
blank badges,10,03-19-2016,1432,64
blank badges,10,03-25-2016,1253,69
blank badges,10,03-30-2016,1253,74
blank badges,10,04-05-2016,1253,79
blank badges,10,04-11-2016,1253,83
blank badges,10,04-15-2016,1432,86
blank badges,10,04-21-2016,1253,91
blank badges,10,04-27-2016,1253,96
blank badges,10,05-03-2016,1253,100
blank badges,10,05-08-2016,1253,105
blank badges,10,05-13-2016,1432,110
blank badges,10,05-19-2016,1253,115
blank badges,10,05-24-2016,1253,119
blank badges,10,05-30-2016,1253,124
blank badges,10,06-05-2016,1253,130
blank badges,10,06-10-2016,1253,135
blank badges,10,06-16-2016,1253,140
blank badges,10,06-21-2016,1432,144
blank badges,10,06-26-2016,1432,148
blank badges,10,07-03-2016,1253,155
blank badges,10,07-09-2016,1253,160
blank badges,10,07-14-2016,1253,163
blank badges,10,07-19-2016,1253,168
blank badges,10,07-25-2016,1253,174
blank badges,10,07-31-2016,1253,180
blank badges,10,08-03-2016,1790,183
blank badges,10,08-07-2016,2506,187
blank badges,10,08-12-2016,2506,192
blank badges,10,08-18-2016,2506,197
blank badges,10,08-27-2016,1253,204
blank badges,10,09-02-2016,1253,209
blank badges,10,09-07-2016,1253,214
blank badges,10,09-13-2016,1253,219
blank badges,10,09-19-2016,1253,224
blank badges,10,09-24-2016,1253,227
blank badges,10,09-29-2016,1253,231
blank badges,10,10-05-2016,1253,236
blank badges,10,10-10-2016,1253,241
blank badges,10,10-15-2016,1253,246
blank badges,10,10-21-2016,1253,252
blank badges,10,10-27-2016,1253,258
blank badges,10,11-01-2016,1432,263
blank badges,10,11-07-2016,1253,269
blank badges,10,11-13-2016,1253,275
blank badges,10,11-17-2016,1253,279
blank badges,10,11-23-2016,1253,285
blank badges,10,11-28-2016,1432,290
blank badges,10,12-04-2016,1432,296
blank badges,10,12-10-2016,1432,301
blank badges,10,12-16-2016,1432,306
blank badges,10,12-20-2016,1611,310
blank badges,10,12-24-2016,2148,314
blank badges,10,01-03-2017,1432,319
blank badges,10,01-09-2017,1365,324
blank badges,10,01-16-2017,1186,331
blank badges,10,01-21-2017,1253,335
blank badges,10,01-26-2017,1253,340
blank badges,10,02-01-2017,1253,345
blank badges,10,02-07-2017,1253,351
blank badges,10,02-12-2017,1253,356
blank badges,10,02-16-2017,1343,360
blank badges,10,02-23-2017,1343,367
blank badges,10,02-28-2017,1343,372
blank badges,10,03-06-2017,1253,377
blank badges,10,03-12-2017,1253,381
blank badges,10,03-17-2017,1253,385
blank badges,10,03-21-2017,1343,389
blank badges,10,03-28-2017,1343,395
blank badges,10,04-02-2017,1253,399
blank badges,10,04-07-2017,1253,404
blank badges,10,04-13-2017,1253,410
blank badges,10,04-18-2017,1343,415
blank badges,10,04-23-2017,1343,419
blank badges,10,04-30-2017,1253,426
blank badges,10,05-06-2017,1253,432
blank badges,10,05-10-2017,1343,436
blank badges,10,05-16-2017,1343,441
blank badges,10,05-22-2017,1343,447
blank badges,10,05-27-2017,1253,452
blank badges,10,06-02-2017,1253,458
blank badges,10,06-08-2017,1253,463
blank badges,10,06-13-2017,1253,467
blank badges,10,06-18-2017,1253,472
blank badges,10,06-24-2017,1343,478
blank badges,10,06-29-2017,1343,483
blank badges,10,07-05-2017,1253,489
blank badges,10,07-11-2017,1253,495
blank badges,10,07-16-2017,1253,500
blank badges,10,07-21-2017,1253,505
blank badges,10,07-27-2017,1253,511
blank badges,10,08-02-2017,1343,516
blank badges,10,08-04-2017,1522,518
blank badges,10,08-09-2017,1969,523
blank badges,10,08-12-2017,2238,526
blank badges,10,08-18-2017,2506,531
blank badges,10,08-27-2017,1790,537
blank badges,10,09-04-2017,1253,543
blank badges,10,09-09-2017,1253,547
blank badges,10,09-14-2017,1253,552
blank badges,10,09-20-2017,1253,558
blank badges,10,09-26-2017,1253,563
blank badges,10,09-30-2017,1253,567
blank badges,10,10-07-2017,1253,574
blank badges,10,10-12-2017,1253,579
blank badges,10,10-17-2017,1253,584
blank badges,10,10-23-2017,1253,589
blank badges,10,10-29-2017,1253,594
blank badges,10,11-02-2017,1343,598
blank badges,10,11-08-2017,1343,603
blank badges,10,11-14-2017,1343,608
blank badges,10,11-20-2017,1253,614
blank badges,10,11-25-2017,1253,619
blank badges,10,11-30-2017,1343,624
blank badges,10,12-06-2017,1432,629
blank badges,10,12-11-2017,1432,633
blank badges,10,12-17-2017,1432,638
blank badges,10,12-22-2017,1611,642
blank badges,10,12-27-2017,1656,646
blank badges,10,01-03-2018,1432,652
blank badges,10,01-03-2018,1656,652
blank badges,10,01-09-2018,1365,658
blank badges,10,01-10-2018,1462,659
blank badges,10,01-16-2018,1186,665
blank badges,10,01-18-2018,1224,667
blank badges,10,01-21-2018,1253,670
blank badges,10,01-24-2018,1164,673
blank badges,10,01-26-2018,1253,675
