Item,Item ID,Day,Quantity,Order Number
box cutters,6,01-08-2016,360,1
box cutters,6,01-15-2016,315,7
box cutters,6,01-20-2016,315,12
box cutters,6,01-25-2016,315,17
box cutters,6,01-31-2016,315,23
box cutters,6,02-06-2016,315,29
box cutters,6,02-11-2016,315,34
box cutters,6,02-16-2016,360,38
box cutters,6,02-22-2016,315,43
box cutters,6,02-27-2016,315,47
box cutters,6,03-04-2016,315,51
box cutters,6,03-10-2016,315,55
box cutters,6,03-15-2016,315,60
box cutters,6,03-19-2016,360,64
box cutters,6,03-26-2016,315,70
box cutters,6,03-31-2016,315,75
box cutters,6,04-06-2016,315,80
box cutters,6,04-12-2016,315,84
box cutters,6,04-16-2016,360,87
box cutters,6,04-22-2016,315,92
box cutters,6,04-28-2016,315,97
box cutters,6,05-04-2016,315,101
box cutters,6,05-08-2016,315,105
box cutters,6,05-14-2016,360,111
box cutters,6,05-20-2016,315,116
box cutters,6,05-25-2016,315,120
box cutters,6,05-31-2016,315,125
box cutters,6,06-06-2016,315,131
box cutters,6,06-11-2016,315,136
box cutters,6,06-16-2016,315,140
box cutters,6,06-22-2016,360,145
box cutters,6,06-28-2016,315,150
box cutters,6,07-03-2016,315,155
box cutters,6,07-09-2016,315,160
box cutters,6,07-14-2016,315,163
box cutters,6,07-19-2016,315,168
box cutters,6,07-25-2016,315,174
box cutters,6,07-31-2016,315,180
box cutters,6,08-03-2016,451,183
box cutters,6,08-07-2016,630,187
box cutters,6,08-12-2016,630,192
box cutters,6,08-18-2016,630,197
box cutters,6,08-28-2016,315,205
box cutters,6,09-03-2016,315,210
box cutters,6,09-08-2016,315,215
box cutters,6,09-13-2016,315,219
box cutters,6,09-19-2016,315,224
box cutters,6,09-25-2016,315,228
box cutters,6,09-29-2016,315,231
box cutters,6,10-06-2016,315,237
box cutters,6,10-11-2016,315,242
box cutters,6,10-16-2016,315,247
box cutters,6,10-22-2016,315,253
box cutters,6,10-28-2016,315,259
box cutters,6,11-01-2016,360,263
box cutters,6,11-07-2016,315,269
box cutters,6,11-13-2016,315,275
box cutters,6,11-19-2016,315,281
box cutters,6,11-24-2016,315,286
box cutters,6,11-29-2016,360,291
box cutters,6,12-05-2016,360,297
box cutters,6,12-10-2016,360,301
box cutters,6,12-16-2016,360,306
box cutters,6,12-21-2016,451,311
box cutters,6,12-26-2016,495,316
box cutters,6,01-04-2017,360,320
box cutters,6,01-11-2017,321,326
box cutters,6,01-16-2017,299,331
box cutters,6,01-22-2017,315,336
box cutters,6,01-27-2017,315,341
box cutters,6,02-02-2017,315,346
box cutters,6,02-08-2017,315,352
box cutters,6,02-13-2017,315,357
box cutters,6,02-17-2017,338,361
box cutters,6,02-23-2017,338,367
box cutters,6,03-01-2017,315,373
box cutters,6,03-06-2017,315,377
box cutters,6,03-12-2017,315,381
box cutters,6,03-18-2017,338,386
box cutters,6,03-22-2017,338,390
box cutters,6,03-29-2017,338,396
box cutters,6,04-04-2017,315,401
box cutters,6,04-09-2017,315,406
box cutters,6,04-14-2017,315,411
box cutters,6,04-20-2017,338,417
box cutters,6,04-25-2017,338,421
box cutters,6,05-01-2017,315,427
box cutters,6,05-07-2017,315,433
box cutters,6,05-11-2017,338,437
box cutters,6,05-17-2017,338,442
box cutters,6,05-23-2017,338,448
box cutters,6,05-29-2017,315,454
box cutters,6,06-03-2017,315,459
box cutters,6,06-09-2017,315,464
box cutters,6,06-15-2017,315,469
box cutters,6,06-20-2017,315,474
box cutters,6,06-25-2017,338,479
box cutters,6,07-01-2017,338,485
box cutters,6,07-07-2017,315,491
box cutters,6,07-12-2017,315,496
box cutters,6,07-18-2017,315,502
box cutters,6,07-24-2017,315,508
box cutters,6,07-28-2017,315,512
box cutters,6,08-03-2017,360,517
box cutters,6,08-05-2017,405,519
box cutters,6,08-10-2017,518,524
box cutters,6,08-14-2017,608,528
box cutters,6,08-19-2017,630,532
box cutters,6,08-29-2017,405,539
box cutters,6,09-05-2017,315,544
box cutters,6,09-11-2017,315,549
box cutters,6,09-16-2017,315,554
box cutters,6,09-22-2017,315,560
box cutters,6,09-28-2017,315,565
box cutters,6,10-03-2017,315,570
box cutters,6,10-08-2017,315,575
box cutters,6,10-14-2017,315,581
box cutters,6,10-20-2017,315,586
box cutters,6,10-24-2017,315,590
box cutters,6,10-31-2017,315,596
box cutters,6,11-04-2017,338,600
box cutters,6,11-10-2017,338,605
box cutters,6,11-16-2017,315,610
box cutters,6,11-22-2017,315,616
box cutters,6,11-27-2017,315,621
box cutters,6,12-02-2017,338,626
box cutters,6,12-07-2017,360,630
box cutters,6,12-13-2017,360,635
box cutters,6,12-19-2017,360,640
box cutters,6,12-23-2017,394,643
box cutters,6,12-28-2017,417,647
box cutters,6,01-04-2018,360,653
box cutters,6,01-05-2018,417,654
box cutters,6,01-11-2018,321,660
box cutters,6,01-12-2018,353,661
box cutters,6,01-16-2018,299,665
box cutters,6,01-20-2018,308,669
box cutters,6,01-22-2018,315,671
box cutters,6,01-25-2018,293,674
box cutters,6,01-27-2018,315,676
