Item,Item ID,Day,Quantity,Order Number
cleaner,3,01-09-2016,28,2
cleaner,3,01-16-2016,28,8
cleaner,3,01-22-2016,28,14
cleaner,3,01-28-2016,28,20
cleaner,3,02-02-2016,28,25
cleaner,3,02-08-2016,28,31
cleaner,3,02-15-2016,32,37
cleaner,3,02-19-2016,32,40
cleaner,3,02-26-2016,28,46
cleaner,3,03-03-2016,28,50
cleaner,3,03-10-2016,28,55
cleaner,3,03-15-2016,28,60
cleaner,3,03-20-2016,32,65
cleaner,3,03-27-2016,28,71
cleaner,3,04-02-2016,28,77
cleaner,3,04-07-2016,28,81
cleaner,3,04-13-2016,28,85
cleaner,3,04-19-2016,32,90
cleaner,3,04-25-2016,28,95
cleaner,3,04-30-2016,28,99
cleaner,3,05-07-2016,28,104
cleaner,3,05-12-2016,32,109
cleaner,3,05-19-2016,28,115
cleaner,3,05-24-2016,28,119
cleaner,3,05-30-2016,28,124
cleaner,3,06-06-2016,28,131
cleaner,3,06-11-2016,28,136
cleaner,3,06-17-2016,28,141
cleaner,3,06-22-2016,32,145
cleaner,3,06-29-2016,28,151
cleaner,3,07-04-2016,28,156
cleaner,3,07-10-2016,28,161
cleaner,3,07-17-2016,28,166
cleaner,3,07-23-2016,28,172
cleaner,3,07-28-2016,28,177
cleaner,3,08-02-2016,36,182
cleaner,3,08-06-2016,52,186
cleaner,3,08-11-2016,56,191
cleaner,3,08-17-2016,56,196
cleaner,3,08-26-2016,28,203
cleaner,3,09-01-2016,28,208
cleaner,3,09-06-2016,28,213
cleaner,3,09-12-2016,28,218
cleaner,3,09-18-2016,28,223
cleaner,3,09-24-2016,28,227
cleaner,3,09-29-2016,28,231
cleaner,3,10-06-2016,28,237
cleaner,3,10-12-2016,28,243
cleaner,3,10-18-2016,28,249
cleaner,3,10-23-2016,28,254
cleaner,3,10-29-2016,28,260
cleaner,3,11-04-2016,32,266
cleaner,3,11-10-2016,28,272
cleaner,3,11-16-2016,28,278
cleaner,3,11-22-2016,28,284
cleaner,3,11-28-2016,32,290
cleaner,3,12-03-2016,32,295
cleaner,3,12-09-2016,32,300
cleaner,3,12-16-2016,32,306
cleaner,3,12-21-2016,40,311
cleaner,3,12-25-2016,44,315
cleaner,3,01-04-2017,32,320
cleaner,3,01-12-2017,29,327
cleaner,3,01-17-2017,27,332
cleaner,3,01-24-2017,28,338
cleaner,3,01-30-2017,28,343
cleaner,3,02-04-2017,28,348
cleaner,3,02-10-2017,28,354
cleaner,3,02-15-2017,30,359
cleaner,3,02-21-2017,30,365
cleaner,3,02-27-2017,30,371
cleaner,3,03-06-2017,28,377
cleaner,3,03-12-2017,28,381
cleaner,3,03-18-2017,30,386
cleaner,3,03-22-2017,30,390
cleaner,3,03-29-2017,30,396
cleaner,3,04-05-2017,28,402
cleaner,3,04-10-2017,28,407
cleaner,3,04-15-2017,30,412
cleaner,3,04-22-2017,30,418
cleaner,3,04-28-2017,30,424
cleaner,3,05-04-2017,28,430
cleaner,3,05-10-2017,30,436
cleaner,3,05-16-2017,30,441
cleaner,3,05-22-2017,30,447
cleaner,3,05-28-2017,28,453
cleaner,3,06-03-2017,28,459
cleaner,3,06-09-2017,28,464
cleaner,3,06-15-2017,28,469
cleaner,3,06-21-2017,30,475
cleaner,3,06-26-2017,30,480
cleaner,3,07-03-2017,30,487
cleaner,3,07-09-2017,28,493
cleaner,3,07-15-2017,28,499
cleaner,3,07-20-2017,28,504
cleaner,3,07-27-2017,28,511
cleaner,3,08-02-2017,30,516
cleaner,3,08-04-2017,34,518
cleaner,3,08-09-2017,44,523
cleaner,3,08-12-2017,50,526
cleaner,3,08-18-2017,56,531
cleaner,3,08-28-2017,38,538
cleaner,3,09-05-2017,28,544
cleaner,3,09-12-2017,28,550
cleaner,3,09-17-2017,28,555
cleaner,3,09-23-2017,28,561
cleaner,3,09-29-2017,28,566
cleaner,3,10-05-2017,28,572
cleaner,3,10-11-2017,28,578
cleaner,3,10-16-2017,28,583
cleaner,3,10-23-2017,28,589
cleaner,3,10-29-2017,28,594
cleaner,3,11-02-2017,30,598
cleaner,3,11-09-2017,30,604
cleaner,3,11-15-2017,28,609
cleaner,3,11-21-2017,28,615
cleaner,3,11-27-2017,28,621
cleaner,3,12-02-2017,30,626
cleaner,3,12-08-2017,32,631
cleaner,3,12-13-2017,32,635
cleaner,3,12-19-2017,32,640
cleaner,3,12-24-2017,37,644
cleaner,3,12-31-2017,37,649
cleaner,3,01-04-2018,32,653
cleaner,3,01-08-2018,36,657
cleaner,3,01-12-2018,29,661
cleaner,3,01-15-2018,30,664
cleaner,3,01-17-2018,27,666
cleaner,3,01-24-2018,28,673
cleaner,3,01-24-2018,26,673
cleaner,3,01-29-2018,26,678
cleaner,3,01-30-2018,28,679
cleaner,3,02-03-2018,26,683
cleaner,3,02-04-2018,28,684
cleaner,3,02-09-2018,28,689
cleaner,3,02-10-2018,28,690
cleaner,3,02-15-2018,30,695
cleaner,3,02-15-2018,30,695
cleaner,3,02-20-2018,30,700
cleaner,3,02-21-2018,30,701
cleaner,3,02-26-2018,30,706
cleaner,3,02-27-2018,30,707
cleaner,3,03-05-2018,30,713
cleaner,3,03-06-2018,28,714
cleaner,3,03-11-2018,28,719
cleaner,3,03-12-2018,28,720
cleaner,3,03-17-2018,28,725
cleaner,3,03-18-2018,30,726
cleaner,3,03-21-2018,30,729
cleaner,3,03-22-2018,30,730
cleaner,3,03-28-2018,30,736
cleaner,3,03-29-2018,30,737
cleaner,3,04-03-2018,30,742
cleaner,3,04-05-2018,28,744
cleaner,3,04-09-2018,28,748
cleaner,3,04-10-2018,28,749
cleaner,3,04-15-2018,30,754
cleaner,3,04-15-2018,30,754
cleaner,3,04-21-2018,30,760
cleaner,3,04-22-2018,30,761
cleaner,3,04-27-2018,30,766
cleaner,3,04-28-2018,30,767
cleaner,3,05-03-2018,30,772
cleaner,3,05-04-2018,28,773
cleaner,3,05-09-2018,28,778
cleaner,3,05-10-2018,30,779
cleaner,3,05-15-2018,30,784
cleaner,3,05-16-2018,30,785
cleaner,3,05-21-2018,30,790
cleaner,3,05-22-2018,30,791
cleaner,3,05-27-2018,30,796
cleaner,3,05-28-2018,28,797
cleaner,3,06-02-2018,28,802
cleaner,3,06-03-2018,28,803
cleaner,3,06-09-2018,28,809
cleaner,3,06-09-2018,28,809
cleaner,3,06-15-2018,28,815
cleaner,3,06-15-2018,28,815
cleaner,3,06-20-2018,28,820
cleaner,3,06-21-2018,30,821
