Item,Item ID,Day,Quantity,Order Number
keyboards,17,01-14-2016,35,6
keyboards,17,01-19-2016,35,11
keyboards,17,01-25-2016,35,17
keyboards,17,01-31-2016,35,23
keyboards,17,02-05-2016,35,28
keyboards,17,02-10-2016,35,33
keyboards,17,02-16-2016,40,38
keyboards,17,02-22-2016,35,43
keyboards,17,02-27-2016,35,47
keyboards,17,03-04-2016,35,51
keyboards,17,03-10-2016,35,55
keyboards,17,03-16-2016,35,61
keyboards,17,03-20-2016,40,65
keyboards,17,03-27-2016,35,71
keyboards,17,04-02-2016,35,77
keyboards,17,04-07-2016,35,81
keyboards,17,04-13-2016,35,85
keyboards,17,04-18-2016,40,89
keyboards,17,04-24-2016,35,94
keyboards,17,04-30-2016,35,99
keyboards,17,05-06-2016,35,103
keyboards,17,05-11-2016,40,108
keyboards,17,05-17-2016,35,114
keyboards,17,05-23-2016,35,118
keyboards,17,05-29-2016,35,123
keyboards,17,06-03-2016,35,128
keyboards,17,06-09-2016,35,134
keyboards,17,06-15-2016,35,139
keyboards,17,06-21-2016,40,144
keyboards,17,06-26-2016,40,148
keyboards,17,07-03-2016,35,155
keyboards,17,07-09-2016,35,160
keyboards,17,07-14-2016,35,163
keyboards,17,07-19-2016,35,168
keyboards,17,07-26-2016,35,175
keyboards,17,08-01-2016,40,181
keyboards,17,08-03-2016,50,183
keyboards,17,08-08-2016,70,188
keyboards,17,08-14-2016,70,193
keyboards,17,08-19-2016,65,198
keyboards,17,08-30-2016,35,206
keyboards,17,09-05-2016,35,212
keyboards,17,09-11-2016,35,217
keyboards,17,09-16-2016,35,221
keyboards,17,09-21-2016,35,225
keyboards,17,09-28-2016,35,230
keyboards,17,10-04-2016,35,235
keyboards,17,10-09-2016,35,240
keyboards,17,10-15-2016,35,246
keyboards,17,10-21-2016,35,252
keyboards,17,10-26-2016,35,257
keyboards,17,10-31-2016,40,262
keyboards,17,11-07-2016,35,269
keyboards,17,11-13-2016,35,275
keyboards,17,11-18-2016,35,280
keyboards,17,11-24-2016,35,286
keyboards,17,11-29-2016,40,291
keyboards,17,12-05-2016,40,297
keyboards,17,12-10-2016,40,301
keyboards,17,12-17-2016,40,307
keyboards,17,12-22-2016,55,312
keyboards,17,12-27-2016,55,317
keyboards,17,01-06-2017,40,321
keyboards,17,01-13-2017,36,328
keyboards,17,01-18-2017,34,333
keyboards,17,01-24-2017,35,338
keyboards,17,01-30-2017,35,343
keyboards,17,02-05-2017,35,349
keyboards,17,02-10-2017,35,354
keyboards,17,02-15-2017,38,359
keyboards,17,02-21-2017,38,365
keyboards,17,02-27-2017,38,371
keyboards,17,03-05-2017,35,376
keyboards,17,03-11-2017,35,380
