Item,Item ID,Day,Quantity,Order Number
light bulbs,5,01-13-2016,105,5
light bulbs,5,01-18-2016,105,10
light bulbs,5,01-24-2016,105,16
light bulbs,5,01-30-2016,105,22
light bulbs,5,02-04-2016,105,27
light bulbs,5,02-09-2016,105,32
light bulbs,5,02-15-2016,120,37
light bulbs,5,02-20-2016,120,41
light bulbs,5,02-26-2016,105,46
light bulbs,5,03-03-2016,105,50
light bulbs,5,03-09-2016,105,54
light bulbs,5,03-14-2016,105,59
light bulbs,5,03-19-2016,120,64
light bulbs,5,03-25-2016,105,69
light bulbs,5,03-30-2016,105,74
light bulbs,5,04-05-2016,105,79
light bulbs,5,04-11-2016,105,83
light bulbs,5,04-15-2016,120,86
light bulbs,5,04-22-2016,105,92
light bulbs,5,04-28-2016,105,97
light bulbs,5,05-03-2016,105,100
light bulbs,5,05-08-2016,105,105
light bulbs,5,05-14-2016,120,111
light bulbs,5,05-20-2016,105,116
light bulbs,5,05-25-2016,105,120
light bulbs,5,05-31-2016,105,125
light bulbs,5,06-06-2016,105,131
light bulbs,5,06-11-2016,105,136
light bulbs,5,06-16-2016,105,140
light bulbs,5,06-22-2016,120,145
light bulbs,5,06-28-2016,105,150
light bulbs,5,07-03-2016,105,155
light bulbs,5,07-09-2016,105,160
light bulbs,5,07-14-2016,105,163
light bulbs,5,07-19-2016,105,168
light bulbs,5,07-25-2016,105,174
light bulbs,5,07-31-2016,105,180
light bulbs,5,08-03-2016,150,183
light bulbs,5,08-07-2016,210,187
light bulbs,5,08-12-2016,210,192
light bulbs,5,08-18-2016,210,197
light bulbs,5,08-28-2016,105,205
light bulbs,5,09-03-2016,105,210
light bulbs,5,09-08-2016,105,215
light bulbs,5,09-13-2016,105,219
light bulbs,5,09-19-2016,105,224
light bulbs,5,09-25-2016,105,228
light bulbs,5,09-30-2016,105,232
light bulbs,5,10-06-2016,105,237
light bulbs,5,10-12-2016,105,243
light bulbs,5,10-17-2016,105,248
light bulbs,5,10-22-2016,105,253
light bulbs,5,10-28-2016,105,259
light bulbs,5,11-02-2016,120,264
light bulbs,5,11-08-2016,105,270
light bulbs,5,11-14-2016,105,276
light bulbs,5,11-20-2016,105,282
light bulbs,5,11-25-2016,105,287
light bulbs,5,11-30-2016,120,292
light bulbs,5,12-06-2016,120,298
light bulbs,5,12-11-2016,120,302
light bulbs,5,12-17-2016,120,307
light bulbs,5,12-22-2016,165,312
light bulbs,5,12-27-2016,165,317
light bulbs,5,01-06-2017,120,321
light bulbs,5,01-13-2017,107,328
light bulbs,5,01-18-2017,100,333
light bulbs,5,01-24-2017,105,338
light bulbs,5,01-30-2017,105,343
light bulbs,5,02-04-2017,105,348
light bulbs,5,02-09-2017,105,353
light bulbs,5,02-15-2017,113,359
light bulbs,5,02-20-2017,113,364
light bulbs,5,02-26-2017,113,370
light bulbs,5,03-04-2017,105,375
light bulbs,5,03-10-2017,105,379
light bulbs,5,03-14-2017,105,383
light bulbs,5,03-20-2017,113,388
light bulbs,5,03-26-2017,113,393
light bulbs,5,03-31-2017,113,398
light bulbs,5,04-06-2017,105,403
light bulbs,5,04-12-2017,105,409
light bulbs,5,04-16-2017,113,413
light bulbs,5,04-22-2017,113,418
light bulbs,5,04-29-2017,105,425
light bulbs,5,05-04-2017,105,430
light bulbs,5,05-09-2017,105,435
light bulbs,5,05-15-2017,113,440
light bulbs,5,05-21-2017,113,446
light bulbs,5,05-26-2017,105,451
light bulbs,5,06-01-2017,105,457
light bulbs,5,06-07-2017,105,462
light bulbs,5,06-12-2017,105,466
light bulbs,5,06-18-2017,105,472
light bulbs,5,06-23-2017,113,477
light bulbs,5,06-28-2017,113,482
light bulbs,5,07-04-2017,113,488
light bulbs,5,07-11-2017,105,495
light bulbs,5,07-16-2017,105,500
light bulbs,5,07-21-2017,105,505
light bulbs,5,07-27-2017,105,511
light bulbs,5,08-02-2017,113,516
light bulbs,5,08-04-2017,128,518
light bulbs,5,08-09-2017,165,523
light bulbs,5,08-12-2017,188,526
light bulbs,5,08-18-2017,210,531
light bulbs,5,08-27-2017,150,537
light bulbs,5,09-04-2017,105,543
light bulbs,5,09-09-2017,105,547
light bulbs,5,09-14-2017,105,552
light bulbs,5,09-20-2017,105,558
light bulbs,5,09-26-2017,105,563
light bulbs,5,10-01-2017,105,568
light bulbs,5,10-07-2017,105,574
light bulbs,5,10-13-2017,105,580
light bulbs,5,10-18-2017,105,585
light bulbs,5,10-24-2017,105,590
light bulbs,5,10-30-2017,105,595
light bulbs,5,11-03-2017,113,599
light bulbs,5,11-09-2017,113,604
light bulbs,5,11-15-2017,105,609
light bulbs,5,11-21-2017,105,615
light bulbs,5,11-26-2017,105,620
light bulbs,5,12-01-2017,113,625
light bulbs,5,12-06-2017,120,629
light bulbs,5,12-12-2017,120,634
light bulbs,5,12-18-2017,120,639
light bulbs,5,12-23-2017,132,643
light bulbs,5,12-28-2017,139,647
light bulbs,5,01-04-2018,139,653
light bulbs,5,01-06-2018,120,655
light bulbs,5,01-11-2018,123,660
light bulbs,5,01-13-2018,107,662
light bulbs,5,01-18-2018,100,667
light bulbs,5,01-20-2018,103,669
light bulbs,5,01-24-2018,105,673
light bulbs,5,01-25-2018,98,674
light bulbs,5,01-30-2018,105,679
light bulbs,5,01-31-2018,98,680
light bulbs,5,02-04-2018,105,684
light bulbs,5,02-05-2018,102,685
light bulbs,5,02-09-2018,105,689
light bulbs,5,02-10-2018,105,690
light bulbs,5,02-15-2018,113,695
light bulbs,5,02-15-2018,110,695
light bulbs,5,02-20-2018,113,700
light bulbs,5,02-21-2018,110,701
light bulbs,5,02-26-2018,113,706
light bulbs,5,02-26-2018,110,706
light bulbs,5,03-04-2018,105,712
light bulbs,5,03-04-2018,110,712
light bulbs,5,03-10-2018,105,718
light bulbs,5,03-11-2018,105,719
light bulbs,5,03-14-2018,105,722
light bulbs,5,03-15-2018,105,723
light bulbs,5,03-20-2018,113,728
light bulbs,5,03-20-2018,110,728
light bulbs,5,03-26-2018,113,734
light bulbs,5,03-26-2018,110,734
light bulbs,5,03-31-2018,113,739
light bulbs,5,04-01-2018,110,740
light bulbs,5,04-06-2018,105,745
light bulbs,5,04-06-2018,110,745
light bulbs,5,04-12-2018,105,751
light bulbs,5,04-13-2018,105,752
light bulbs,5,04-16-2018,113,755
light bulbs,5,04-17-2018,110,756
light bulbs,5,04-22-2018,113,761
light bulbs,5,04-23-2018,110,762
light bulbs,5,04-29-2018,105,768
light bulbs,5,04-29-2018,110,768
light bulbs,5,05-04-2018,105,773
light bulbs,5,05-05-2018,110,774
light bulbs,5,05-09-2018,105,778
light bulbs,5,05-10-2018,110,779
light bulbs,5,05-15-2018,113,784
light bulbs,5,05-16-2018,110,785
light bulbs,5,05-21-2018,113,790
light bulbs,5,05-22-2018,110,791
light bulbs,5,05-26-2018,105,795
light bulbs,5,05-27-2018,110,796
light bulbs,5,06-01-2018,105,801
light bulbs,5,06-02-2018,105,802
light bulbs,5,06-07-2018,105,807
light bulbs,5,06-08-2018,105,808
light bulbs,5,06-12-2018,105,812
light bulbs,5,06-13-2018,105,813
light bulbs,5,06-18-2018,105,818
light bulbs,5,06-18-2018,105,818
light bulbs,5,06-23-2018,113,823
light bulbs,5,06-24-2018,110,824
light bulbs,5,06-28-2018,113,828
light bulbs,5,06-30-2018,110,830
light bulbs,5,07-04-2018,113,834
light bulbs,5,07-05-2018,110,835
light bulbs,5,07-11-2018,105,841
light bulbs,5,07-11-2018,110,841
light bulbs,5,07-16-2018,105,846
light bulbs,5,07-17-2018,105,847
light bulbs,5,07-21-2018,105,851
light bulbs,5,07-22-2018,105,852
light bulbs,5,07-27-2018,105,857
light bulbs,5,07-28-2018,105,858
light bulbs,5,08-02-2018,113,863
light bulbs,5,08-02-2018,110,863
light bulbs,5,08-04-2018,128,865
light bulbs,5,08-05-2018,125,866
light bulbs,5,08-09-2018,165,870
light bulbs,5,08-09-2018,145,870
light bulbs,5,08-12-2018,188,873
light bulbs,5,08-12-2018,160,873
light bulbs,5,08-17-2018,185,878
light bulbs,5,08-18-2018,210,879
light bulbs,5,08-22-2018,195,883
light bulbs,5,08-27-2018,150,887
light bulbs,5,09-02-2018,140,892
light bulbs,5,09-04-2018,105,894
light bulbs,5,09-09-2018,105,899
light bulbs,5,09-10-2018,105,900
light bulbs,5,09-14-2018,105,904
light bulbs,5,09-14-2018,105,904
light bulbs,5,09-20-2018,105,910
light bulbs,5,09-21-2018,105,911
light bulbs,5,09-26-2018,105,916
light bulbs,5,09-26-2018,105,916
light bulbs,5,10-01-2018,105,921
light bulbs,5,10-01-2018,105,921
light bulbs,5,10-07-2018,105,927
light bulbs,5,10-07-2018,105,927
light bulbs,5,10-13-2018,105,933
light bulbs,5,10-13-2018,105,933
light bulbs,5,10-18-2018,105,938
light bulbs,5,10-18-2018,105,938
light bulbs,5,10-24-2018,105,944
light bulbs,5,10-24-2018,105,944
light bulbs,5,10-30-2018,105,950
light bulbs,5,10-30-2018,105,950
light bulbs,5,11-03-2018,113,954
light bulbs,5,11-03-2018,110,954
light bulbs,5,11-09-2018,113,960
light bulbs,5,11-09-2018,110,960
light bulbs,5,11-15-2018,105,966
light bulbs,5,11-16-2018,107,967
light bulbs,5,11-21-2018,105,972
light bulbs,5,11-22-2018,102,973
light bulbs,5,11-26-2018,105,977
light bulbs,5,11-27-2018,102,978
light bulbs,5,12-01-2018,113,982
light bulbs,5,12-02-2018,107,983
light bulbs,5,12-06-2018,120,986
light bulbs,5,12-06-2018,115,986
light bulbs,5,12-12-2018,120,992
light bulbs,5,12-12-2018,120,992
light bulbs,5,12-18-2018,120,998
light bulbs,5,12-18-2018,120,998
light bulbs,5,12-23-2018,132,1003
light bulbs,5,12-23-2018,135,1003
light bulbs,5,12-27-2018,140,1007
light bulbs,5,12-28-2018,139,1008
light bulbs,5,01-03-2019,140,1013
light bulbs,5,01-04-2019,139,1014
light bulbs,5,01-06-2019,120,1016
light bulbs,5,01-09-2019,132,1019
light bulbs,5,01-11-2019,123,1021
light bulbs,5,01-13-2019,107,1023
light bulbs,5,01-17-2019,124,1027
light bulbs,5,01-18-2019,100,1028
light bulbs,5,01-20-2019,103,1030
light bulbs,5,01-23-2019,113,1033
light bulbs,5,01-24-2019,105,1034
light bulbs,5,01-25-2019,98,1035
light bulbs,5,01-30-2019,105,1040
light bulbs,5,01-30-2019,105,1040
light bulbs,5,01-31-2019,98,1041
light bulbs,5,02-04-2019,105,1045
light bulbs,5,02-04-2019,105,1045
light bulbs,5,02-05-2019,102,1046
light bulbs,5,02-09-2019,105,1050
light bulbs,5,02-09-2019,105,1050
light bulbs,5,02-10-2019,105,1051
light bulbs,5,02-15-2019,113,1056
light bulbs,5,02-15-2019,110,1056
light bulbs,5,02-15-2019,109,1056
light bulbs,5,02-19-2019,109,1060
light bulbs,5,02-20-2019,113,1061
light bulbs,5,02-21-2019,110,1062
light bulbs,5,02-25-2019,109,1066
light bulbs,5,02-26-2019,113,1067
light bulbs,5,02-26-2019,110,1067
light bulbs,5,03-03-2019,106,1072
light bulbs,5,03-04-2019,105,1073
light bulbs,5,03-04-2019,110,1073
light bulbs,5,03-10-2019,105,1079
light bulbs,5,03-10-2019,106,1079
light bulbs,5,03-11-2019,105,1080
light bulbs,5,03-14-2019,105,1083
light bulbs,5,03-15-2019,105,1084
light bulbs,5,03-15-2019,103,1084
light bulbs,5,03-20-2019,113,1089
light bulbs,5,03-20-2019,110,1089
light bulbs,5,03-20-2019,106,1089
light bulbs,5,03-25-2019,106,1094
light bulbs,5,03-26-2019,113,1095
light bulbs,5,03-26-2019,110,1095
light bulbs,5,03-30-2019,106,1099
light bulbs,5,03-31-2019,113,1100
light bulbs,5,04-01-2019,110,1101
light bulbs,5,04-06-2019,105,1106
light bulbs,5,04-06-2019,110,1106
light bulbs,5,04-06-2019,109,1106
light bulbs,5,04-12-2019,105,1112
light bulbs,5,04-12-2019,109,1112
light bulbs,5,04-13-2019,105,1113
light bulbs,5,04-16-2019,113,1116
light bulbs,5,04-16-2019,109,1116
light bulbs,5,04-17-2019,110,1117
light bulbs,5,04-22-2019,113,1122
light bulbs,5,04-22-2019,109,1122
light bulbs,5,04-23-2019,110,1123
light bulbs,5,04-28-2019,109,1128
light bulbs,5,04-29-2019,105,1129
light bulbs,5,04-29-2019,110,1129
light bulbs,5,05-03-2019,109,1133
light bulbs,5,05-04-2019,105,1134
light bulbs,5,05-05-2019,110,1135
light bulbs,5,05-09-2019,105,1139
light bulbs,5,05-09-2019,109,1139
light bulbs,5,05-10-2019,110,1140
light bulbs,5,05-15-2019,113,1145
light bulbs,5,05-15-2019,109,1145
light bulbs,5,05-16-2019,110,1146
light bulbs,5,05-20-2019,109,1150
light bulbs,5,05-21-2019,113,1151
light bulbs,5,05-22-2019,110,1152
light bulbs,5,05-25-2019,109,1155
light bulbs,5,05-26-2019,105,1156
light bulbs,5,05-27-2019,110,1157
light bulbs,5,06-01-2019,105,1162
light bulbs,5,06-01-2019,109,1162
light bulbs,5,06-02-2019,105,1163
light bulbs,5,06-07-2019,105,1168
light bulbs,5,06-07-2019,105,1168
light bulbs,5,06-08-2019,105,1169
light bulbs,5,06-12-2019,105,1173
light bulbs,5,06-12-2019,105,1173
light bulbs,5,06-13-2019,105,1174
light bulbs,5,06-17-2019,105,1178
light bulbs,5,06-18-2019,105,1179
light bulbs,5,06-18-2019,105,1179
light bulbs,5,06-23-2019,113,1184
light bulbs,5,06-23-2019,109,1184
light bulbs,5,06-24-2019,110,1185
light bulbs,5,06-28-2019,113,1189
light bulbs,5,06-28-2019,109,1189
light bulbs,5,06-30-2019,110,1191
light bulbs,5,07-04-2019,113,1195
light bulbs,5,07-04-2019,109,1195
light bulbs,5,07-05-2019,110,1196
light bulbs,5,07-10-2019,109,1201
light bulbs,5,07-11-2019,105,1202
light bulbs,5,07-11-2019,110,1202
light bulbs,5,07-16-2019,105,1207
light bulbs,5,07-16-2019,109,1207
light bulbs,5,07-17-2019,105,1208
light bulbs,5,07-21-2019,105,1212
light bulbs,5,07-21-2019,105,1212
light bulbs,5,07-22-2019,105,1213
light bulbs,5,07-27-2019,105,1218
light bulbs,5,07-27-2019,105,1218
light bulbs,5,07-28-2019,105,1219
light bulbs,5,08-02-2019,113,1224
light bulbs,5,08-02-2019,110,1224
light bulbs,5,08-02-2019,109,1224
light bulbs,5,08-04-2019,128,1226
light bulbs,5,08-04-2019,117,1226
light bulbs,5,08-05-2019,125,1227
light bulbs,5,08-08-2019,132,1230
light bulbs,5,08-09-2019,165,1231
light bulbs,5,08-09-2019,145,1231
light bulbs,5,08-11-2019,143,1233
light bulbs,5,08-12-2019,188,1234
light bulbs,5,08-12-2019,160,1234
light bulbs,5,08-15-2019,158,1237
light bulbs,5,08-17-2019,185,1239
light bulbs,5,08-18-2019,210,1240
light bulbs,5,08-19-2019,173,1241
light bulbs,5,08-22-2019,195,1244
light bulbs,5,08-27-2019,150,1249
light bulbs,5,08-27-2019,173,1249
light bulbs,5,09-02-2019,140,1255
light bulbs,5,09-04-2019,105,1257
light bulbs,5,09-05-2019,147,1258
light bulbs,5,09-09-2019,105,1262
light bulbs,5,09-10-2019,105,1263
light bulbs,5,09-13-2019,117,1266
light bulbs,5,09-14-2019,105,1267
light bulbs,5,09-14-2019,105,1267
light bulbs,5,09-19-2019,105,1272
light bulbs,5,09-20-2019,105,1273
light bulbs,5,09-21-2019,105,1274
light bulbs,5,09-24-2019,105,1277
light bulbs,5,09-26-2019,105,1279
light bulbs,5,09-26-2019,105,1279
light bulbs,5,09-30-2019,105,1283
light bulbs,5,10-01-2019,105,1284
light bulbs,5,10-01-2019,105,1284
light bulbs,5,10-06-2019,105,1289
light bulbs,5,10-07-2019,105,1290
light bulbs,5,10-07-2019,105,1290
light bulbs,5,10-11-2019,105,1294
light bulbs,5,10-13-2019,105,1296
light bulbs,5,10-13-2019,105,1296
light bulbs,5,10-16-2019,105,1299
light bulbs,5,10-18-2019,105,1301
light bulbs,5,10-18-2019,105,1301
light bulbs,5,10-22-2019,105,1305
light bulbs,5,10-24-2019,105,1307
light bulbs,5,10-24-2019,105,1307
light bulbs,5,10-28-2019,105,1311
light bulbs,5,10-30-2019,105,1313
light bulbs,5,10-30-2019,105,1313
light bulbs,5,11-02-2019,109,1316
light bulbs,5,11-03-2019,113,1317
light bulbs,5,11-03-2019,110,1317
light bulbs,5,11-07-2019,109,1321
light bulbs,5,11-09-2019,113,1323
light bulbs,5,11-09-2019,110,1323
light bulbs,5,11-13-2019,109,1327
light bulbs,5,11-15-2019,105,1329
light bulbs,5,11-16-2019,107,1330
light bulbs,5,11-18-2019,109,1332
light bulbs,5,11-21-2019,105,1335
light bulbs,5,11-22-2019,102,1336
light bulbs,5,11-24-2019,109,1338
light bulbs,5,11-26-2019,105,1340
light bulbs,5,11-27-2019,102,1341
light bulbs,5,11-30-2019,109,1344
light bulbs,5,12-01-2019,113,1345
light bulbs,5,12-02-2019,107,1346
light bulbs,5,12-05-2019,113,1349
light bulbs,5,12-06-2019,120,1350
light bulbs,5,12-06-2019,115,1350
light bulbs,5,12-10-2019,113,1354
light bulbs,5,12-12-2019,120,1356
light bulbs,5,12-12-2019,120,1356
