Item,Item ID,Day,Quantity,Order Number
meat trays,12,01-09-2016,3059,2
meat trays,12,01-15-2016,3059,7
meat trays,12,01-21-2016,3059,13
meat trays,12,01-26-2016,3059,18
meat trays,12,02-01-2016,3059,24
meat trays,12,02-07-2016,3059,30
meat trays,12,02-11-2016,3059,34
meat trays,12,02-16-2016,3496,38
meat trays,12,02-23-2016,3059,44
meat trays,12,02-28-2016,3059,48
meat trays,12,03-04-2016,3059,51
meat trays,12,03-10-2016,3059,55
meat trays,12,03-15-2016,3059,60
meat trays,12,03-20-2016,3496,65
meat trays,12,03-26-2016,3059,70
meat trays,12,03-31-2016,3059,75
meat trays,12,04-06-2016,3059,80
meat trays,12,04-12-2016,3059,84
meat trays,12,04-16-2016,3496,87
meat trays,12,04-22-2016,3059,92
meat trays,12,04-28-2016,3059,97
meat trays,12,05-04-2016,3059,101
meat trays,12,05-08-2016,3059,105
meat trays,12,05-14-2016,3496,111
meat trays,12,05-20-2016,3059,116
meat trays,12,05-25-2016,3059,120
meat trays,12,05-31-2016,3059,125
meat trays,12,06-06-2016,3059,131
meat trays,12,06-11-2016,3059,136
meat trays,12,06-16-2016,3059,140
meat trays,12,06-21-2016,3496,144
meat trays,12,06-27-2016,3059,149
meat trays,12,07-03-2016,3059,155
meat trays,12,07-09-2016,3059,160
meat trays,12,07-14-2016,3059,163
meat trays,12,07-19-2016,3059,168
meat trays,12,07-25-2016,3059,174
meat trays,12,07-31-2016,3059,180
meat trays,12,08-03-2016,4370,183
meat trays,12,08-07-2016,6118,187
meat trays,12,08-12-2016,6118,192
meat trays,12,08-18-2016,6118,197
meat trays,12,08-27-2016,3059,204
meat trays,12,09-02-2016,3059,209
meat trays,12,09-07-2016,3059,214
meat trays,12,09-13-2016,3059,219
meat trays,12,09-19-2016,3059,224
meat trays,12,09-24-2016,3059,227
meat trays,12,09-29-2016,3059,231
meat trays,12,10-05-2016,3059,236
meat trays,12,10-10-2016,3059,241
meat trays,12,10-15-2016,3059,246
meat trays,12,10-21-2016,3059,252
meat trays,12,10-27-2016,3059,258
meat trays,12,11-01-2016,3496,263
meat trays,12,11-07-2016,3059,269
meat trays,12,11-13-2016,3059,275
meat trays,12,11-17-2016,3059,279
meat trays,12,11-23-2016,3059,285
meat trays,12,11-28-2016,3496,290
meat trays,12,12-04-2016,3496,296
meat trays,12,12-10-2016,3496,301
meat trays,12,12-15-2016,3496,305
meat trays,12,12-20-2016,3933,310
meat trays,12,12-24-2016,5244,314
meat trays,12,01-03-2017,3496,319
meat trays,12,01-09-2017,3333,324
meat trays,12,01-16-2017,2896,331
meat trays,12,01-21-2017,3059,335
meat trays,12,01-26-2017,3059,340
meat trays,12,02-01-2017,3059,345
meat trays,12,02-07-2017,3059,351
meat trays,12,02-12-2017,3059,356
meat trays,12,02-16-2017,3278,360
meat trays,12,02-22-2017,3278,366
meat trays,12,02-28-2017,3278,372
meat trays,12,03-06-2017,3059,377
meat trays,12,03-12-2017,3059,381
meat trays,12,03-17-2017,3059,385
meat trays,12,03-21-2017,3278,389
meat trays,12,03-27-2017,3278,394
meat trays,12,04-02-2017,3059,399
meat trays,12,04-07-2017,3059,404
meat trays,12,04-13-2017,3059,410
meat trays,12,04-18-2017,3278,415
meat trays,12,04-23-2017,3278,419
meat trays,12,04-30-2017,3059,426
meat trays,12,05-05-2017,3059,431
meat trays,12,05-10-2017,3278,436
meat trays,12,05-16-2017,3278,441
meat trays,12,05-22-2017,3278,447
meat trays,12,05-27-2017,3059,452
meat trays,12,06-02-2017,3059,458
meat trays,12,06-08-2017,3059,463
meat trays,12,06-13-2017,3059,467
meat trays,12,06-18-2017,3059,472
meat trays,12,06-23-2017,3278,477
meat trays,12,06-29-2017,3278,483
meat trays,12,07-04-2017,3278,488
meat trays,12,07-11-2017,3059,495
meat trays,12,07-17-2017,3059,501
meat trays,12,07-22-2017,3059,506
meat trays,12,07-27-2017,3059,511
meat trays,12,08-02-2017,3278,516
meat trays,12,08-04-2017,3715,518
meat trays,12,08-09-2017,4807,523
meat trays,12,08-12-2017,5463,526
meat trays,12,08-18-2017,6118,531
meat trays,12,08-27-2017,4370,537
meat trays,12,09-04-2017,3059,543
meat trays,12,09-09-2017,3059,547
meat trays,12,09-14-2017,3059,552
meat trays,12,09-20-2017,3059,558
meat trays,12,09-26-2017,3059,563
meat trays,12,09-30-2017,3059,567
meat trays,12,10-06-2017,3059,573
meat trays,12,10-12-2017,3059,579
meat trays,12,10-17-2017,3059,584
meat trays,12,10-23-2017,3059,589
meat trays,12,10-29-2017,3059,594
meat trays,12,11-02-2017,3278,598
meat trays,12,11-08-2017,3278,603
meat trays,12,11-14-2017,3278,608
meat trays,12,11-20-2017,3059,614
