Item,Item ID,Day,Quantity,Order Number
office chair,7,01-22-2016,14,14
office chair,7,01-28-2016,14,20
office chair,7,02-02-2016,14,25
office chair,7,02-09-2016,14,32
office chair,7,02-15-2016,16,37
office chair,7,02-22-2016,14,43
office chair,7,02-28-2016,14,48
office chair,7,03-05-2016,14,52
office chair,7,03-12-2016,14,57
office chair,7,03-17-2016,16,62
office chair,7,03-24-2016,14,68
office chair,7,03-29-2016,14,73
office chair,7,04-05-2016,14,79
office chair,7,04-12-2016,14,84
office chair,7,04-17-2016,16,88
office chair,7,04-23-2016,14,93
office chair,7,04-30-2016,14,99
office chair,7,05-06-2016,14,103
office chair,7,05-12-2016,16,109
office chair,7,05-19-2016,14,115
office chair,7,05-24-2016,14,119
office chair,7,05-31-2016,14,125
office chair,7,06-07-2016,14,132
office chair,7,06-13-2016,14,137
office chair,7,06-18-2016,14,142
office chair,7,06-24-2016,16,147
office chair,7,07-01-2016,14,153
office chair,7,07-08-2016,14,159
office chair,7,07-14-2016,14,163
office chair,7,07-19-2016,14,168
office chair,7,07-26-2016,14,175
office chair,7,08-01-2016,16,181
office chair,7,08-04-2016,22,184
office chair,7,08-09-2016,28,189
office chair,7,08-16-2016,28,195
office chair,7,08-24-2016,16,201
office chair,7,08-31-2016,14,207
office chair,7,09-05-2016,14,212
office chair,7,09-12-2016,14,218
office chair,7,09-19-2016,14,224
office chair,7,09-25-2016,14,228
office chair,7,09-30-2016,14,232
office chair,7,10-07-2016,14,238
office chair,7,10-13-2016,14,244
office chair,7,10-20-2016,14,251
office chair,7,10-26-2016,14,257
office chair,7,10-31-2016,16,262
office chair,7,11-07-2016,14,269
office chair,7,11-14-2016,14,276
office chair,7,11-20-2016,14,282
office chair,7,11-25-2016,14,287
office chair,7,12-01-2016,16,293
office chair,7,12-08-2016,16,299
office chair,7,12-14-2016,16,304
office chair,7,12-19-2016,18,309
office chair,7,12-24-2016,24,314
office chair,7,01-03-2017,16,319
office chair,7,01-12-2017,15,327
office chair,7,01-18-2017,14,333
office chair,7,01-24-2017,14,338
office chair,7,01-31-2017,14,344
office chair,7,02-06-2017,14,350
office chair,7,02-12-2017,14,356
office chair,7,02-17-2017,15,361
office chair,7,02-24-2017,15,368
office chair,7,03-03-2017,14,374
office chair,7,03-09-2017,14,378
office chair,7,03-14-2017,14,383
office chair,7,03-20-2017,15,388
office chair,7,03-27-2017,15,394
office chair,7,04-02-2017,14,399
office chair,7,04-08-2017,14,405
office chair,7,04-14-2017,14,411
office chair,7,04-20-2017,15,417
office chair,7,04-27-2017,15,423
office chair,7,05-03-2017,14,429
office chair,7,05-09-2017,14,435
office chair,7,05-15-2017,15,440
office chair,7,05-22-2017,15,447
office chair,7,05-28-2017,14,453
office chair,7,06-03-2017,14,459
office chair,7,06-09-2017,14,464
office chair,7,06-16-2017,14,470
office chair,7,06-22-2017,15,476
office chair,7,06-27-2017,15,481
office chair,7,07-04-2017,15,488
office chair,7,07-11-2017,14,495
office chair,7,07-18-2017,14,502
office chair,7,07-24-2017,14,508
office chair,7,07-29-2017,14,513
office chair,7,08-03-2017,16,517
office chair,7,08-07-2017,20,521
office chair,7,08-11-2017,24,525
office chair,7,08-17-2017,28,530
office chair,7,08-26-2017,21,536
office chair,7,09-04-2017,14,543
office chair,7,09-10-2017,14,548
office chair,7,09-16-2017,14,554
office chair,7,09-22-2017,14,560
office chair,7,09-29-2017,14,566
office chair,7,10-05-2017,14,572
office chair,7,10-11-2017,14,578
office chair,7,10-17-2017,14,584
office chair,7,10-23-2017,14,589
office chair,7,10-30-2017,14,595
office chair,7,11-04-2017,15,600
office chair,7,11-10-2017,15,605
office chair,7,11-17-2017,14,611
office chair,7,11-24-2017,14,618
office chair,7,11-29-2017,15,623
office chair,7,12-05-2017,16,628
office chair,7,12-11-2017,16,633
office chair,7,12-18-2017,16,639
office chair,7,12-23-2017,18,643
office chair,7,12-28-2017,19,647
office chair,7,01-03-2018,16,652
office chair,7,01-07-2018,19,656
office chair,7,01-12-2018,15,661
office chair,7,01-15-2018,15,664
office chair,7,01-18-2018,14,667
office chair,7,01-24-2018,14,673
office chair,7,01-24-2018,13,673
office chair,7,01-30-2018,13,679
office chair,7,01-31-2018,14,680
office chair,7,02-05-2018,14,685
office chair,7,02-06-2018,14,686
office chair,7,02-10-2018,14,690
office chair,7,02-12-2018,14,692
office chair,7,02-16-2018,15,696
office chair,7,02-17-2018,15,697
office chair,7,02-23-2018,15,703
office chair,7,02-24-2018,15,704
office chair,7,03-01-2018,15,709
office chair,7,03-03-2018,14,711
office chair,7,03-07-2018,15,715
office chair,7,03-09-2018,14,717
office chair,7,03-14-2018,14,722
office chair,7,03-14-2018,14,722
office chair,7,03-20-2018,15,728
office chair,7,03-20-2018,15,728
office chair,7,03-26-2018,15,734
office chair,7,03-27-2018,15,735
office chair,7,04-02-2018,14,741
office chair,7,04-02-2018,15,741
office chair,7,04-08-2018,14,747
office chair,7,04-08-2018,14,747
office chair,7,04-14-2018,14,753
office chair,7,04-14-2018,14,753
office chair,7,04-20-2018,15,759
office chair,7,04-20-2018,15,759
office chair,7,04-27-2018,15,766
office chair,7,04-27-2018,15,766
office chair,7,05-03-2018,14,772
office chair,7,05-03-2018,15,772
office chair,7,05-09-2018,14,778
office chair,7,05-09-2018,14,778
office chair,7,05-15-2018,15,784
office chair,7,05-15-2018,15,784
office chair,7,05-22-2018,15,791
office chair,7,05-22-2018,15,791
office chair,7,05-28-2018,14,797
office chair,7,05-29-2018,15,798
office chair,7,06-03-2018,14,803
office chair,7,06-04-2018,14,804
office chair,7,06-09-2018,14,809
office chair,7,06-10-2018,14,810
office chair,7,06-16-2018,14,816
office chair,7,06-17-2018,14,817
office chair,7,06-22-2018,15,822
office chair,7,06-22-2018,15,822
office chair,7,06-27-2018,15,827
office chair,7,06-29-2018,15,829
office chair,7,07-04-2018,15,834
office chair,7,07-05-2018,15,835
