Item,Item ID,Day,Quantity,Order Number
paper towel,2,01-14-2016,112,6
paper towel,2,01-19-2016,112,11
paper towel,2,01-25-2016,112,17
paper towel,2,01-31-2016,112,23
paper towel,2,02-05-2016,112,28
paper towel,2,02-10-2016,112,33
paper towel,2,02-15-2016,128,37
paper towel,2,02-21-2016,128,42
paper towel,2,02-27-2016,112,47
paper towel,2,03-04-2016,112,51
paper towel,2,03-10-2016,112,55
paper towel,2,03-15-2016,112,60
paper towel,2,03-20-2016,128,65
paper towel,2,03-26-2016,112,70
paper towel,2,04-01-2016,112,76
paper towel,2,04-06-2016,112,80
paper towel,2,04-12-2016,112,84
paper towel,2,04-17-2016,128,88
paper towel,2,04-22-2016,112,92
paper towel,2,04-29-2016,112,98
paper towel,2,05-04-2016,112,101
paper towel,2,05-09-2016,128,106
paper towel,2,05-15-2016,128,112
paper towel,2,05-22-2016,112,117
paper towel,2,05-27-2016,112,121
paper towel,2,06-01-2016,112,126
paper towel,2,06-07-2016,112,132
paper towel,2,06-13-2016,112,137
paper towel,2,06-18-2016,112,142
paper towel,2,06-23-2016,128,146
paper towel,2,06-30-2016,112,152
paper towel,2,07-05-2016,112,157
paper towel,2,07-10-2016,112,161
paper towel,2,07-16-2016,112,165
paper towel,2,07-22-2016,112,171
paper towel,2,07-27-2016,112,176
paper towel,2,08-01-2016,128,181
paper towel,2,08-04-2016,176,184
paper towel,2,08-09-2016,224,189
paper towel,2,08-15-2016,224,194
paper towel,2,08-20-2016,192,199
paper towel,2,08-30-2016,112,206
paper towel,2,09-05-2016,112,212
paper towel,2,09-11-2016,112,217
paper towel,2,09-16-2016,112,221
paper towel,2,09-21-2016,112,225
paper towel,2,09-27-2016,112,229
paper towel,2,10-03-2016,112,234
paper towel,2,10-08-2016,112,239
paper towel,2,10-14-2016,112,245
paper towel,2,10-20-2016,112,251
paper towel,2,10-25-2016,112,256
paper towel,2,10-30-2016,112,261
paper towel,2,11-05-2016,128,267
paper towel,2,11-11-2016,112,273
paper towel,2,11-16-2016,112,278
paper towel,2,11-22-2016,112,284
paper towel,2,11-27-2016,128,289
paper towel,2,12-02-2016,128,294
paper towel,2,12-09-2016,128,300
paper towel,2,12-14-2016,128,304
paper towel,2,12-19-2016,144,309
paper towel,2,12-23-2016,192,313
paper towel,2,01-02-2017,128,318
paper towel,2,01-09-2017,122,324
paper towel,2,01-15-2017,114,330
paper towel,2,01-21-2017,112,335
paper towel,2,01-26-2017,112,340
paper towel,2,02-01-2017,112,345
paper towel,2,02-07-2017,112,351
paper towel,2,02-12-2017,112,356
paper towel,2,02-16-2017,120,360
paper towel,2,02-23-2017,120,367
paper towel,2,02-28-2017,120,372
paper towel,2,03-06-2017,112,377
paper towel,2,03-12-2017,112,381
paper towel,2,03-17-2017,112,385
paper towel,2,03-22-2017,120,390
paper towel,2,03-28-2017,120,395
paper towel,2,04-03-2017,112,400
paper towel,2,04-08-2017,112,405
paper towel,2,04-14-2017,112,411
paper towel,2,04-19-2017,120,416
paper towel,2,04-24-2017,120,420
paper towel,2,04-30-2017,112,426
paper towel,2,05-06-2017,112,432
paper towel,2,05-11-2017,120,437
paper towel,2,05-17-2017,120,442
paper towel,2,05-23-2017,120,448
paper towel,2,05-29-2017,112,454
paper towel,2,06-03-2017,112,459
paper towel,2,06-09-2017,112,464
paper towel,2,06-15-2017,112,469
paper towel,2,06-20-2017,112,474
paper towel,2,06-25-2017,120,479
paper towel,2,07-01-2017,120,485
paper towel,2,07-07-2017,112,491
paper towel,2,07-12-2017,112,496
paper towel,2,07-18-2017,112,502
paper towel,2,07-23-2017,112,507
paper towel,2,07-28-2017,112,512
paper towel,2,08-03-2017,128,517
paper towel,2,08-05-2017,144,519
paper towel,2,08-10-2017,184,524
paper towel,2,08-14-2017,216,528
paper towel,2,08-19-2017,224,532
paper towel,2,08-30-2017,136,540
paper towel,2,09-06-2017,112,545
paper towel,2,09-12-2017,112,550
paper towel,2,09-17-2017,112,555
paper towel,2,09-22-2017,112,560
paper towel,2,09-28-2017,112,565
paper towel,2,10-04-2017,112,571
paper towel,2,10-09-2017,112,576
paper towel,2,10-15-2017,112,582
paper towel,2,10-21-2017,112,587
paper towel,2,10-26-2017,112,591
paper towel,2,10-31-2017,112,596
paper towel,2,11-06-2017,120,601
paper towel,2,11-11-2017,120,606
paper towel,2,11-17-2017,112,611
paper towel,2,11-23-2017,112,617
paper towel,2,11-29-2017,120,623
paper towel,2,12-03-2017,120,627
paper towel,2,12-09-2017,128,632
paper towel,2,12-15-2017,128,637
paper towel,2,12-20-2017,136,641
paper towel,2,12-25-2017,148,645
paper towel,2,12-31-2017,148,649
paper towel,2,01-02-2018,128,651
paper towel,2,01-07-2018,148,656
paper towel,2,01-09-2018,122,658
paper towel,2,01-15-2018,114,664
paper towel,2,01-15-2018,119,664
paper towel,2,01-21-2018,112,670
paper towel,2,01-23-2018,104,672
paper towel,2,01-26-2018,112,675
paper towel,2,01-28-2018,104,677
paper towel,2,02-01-2018,112,681
paper towel,2,02-02-2018,104,682
paper towel,2,02-07-2018,112,687
paper towel,2,02-07-2018,112,687
paper towel,2,02-12-2018,112,692
paper towel,2,02-13-2018,112,693
paper towel,2,02-16-2018,120,696
paper towel,2,02-17-2018,118,697
paper towel,2,02-23-2018,120,703
paper towel,2,02-23-2018,118,703
paper towel,2,02-28-2018,120,708
paper towel,2,03-01-2018,118,709
paper towel,2,03-06-2018,112,714
paper towel,2,03-06-2018,118,714
paper towel,2,03-12-2018,112,720
paper towel,2,03-13-2018,112,721
paper towel,2,03-17-2018,112,725
paper towel,2,03-18-2018,118,726
paper towel,2,03-22-2018,120,730
paper towel,2,03-22-2018,118,730
