Item,Item ID,Day,Quantity,Order Number
pens,8,01-09-2016,511,2
pens,8,01-15-2016,511,7
pens,8,01-20-2016,511,12
pens,8,01-25-2016,511,17
pens,8,01-31-2016,511,23
pens,8,02-06-2016,511,29
pens,8,02-11-2016,511,34
pens,8,02-16-2016,584,38
pens,8,02-22-2016,511,43
pens,8,02-27-2016,511,47
pens,8,03-04-2016,511,51
pens,8,03-10-2016,511,55
pens,8,03-15-2016,511,60
pens,8,03-19-2016,584,64
pens,8,03-26-2016,511,70
pens,8,03-31-2016,511,75
pens,8,04-05-2016,511,79
pens,8,04-11-2016,511,83
pens,8,04-15-2016,584,86
pens,8,04-22-2016,511,92
pens,8,04-28-2016,511,97
pens,8,05-03-2016,511,100
pens,8,05-08-2016,511,105
pens,8,05-14-2016,584,111
pens,8,05-20-2016,511,116
pens,8,05-25-2016,511,120
pens,8,05-31-2016,511,125
pens,8,06-05-2016,511,130
pens,8,06-10-2016,511,135
pens,8,06-16-2016,511,140
pens,8,06-21-2016,584,144
pens,8,06-27-2016,511,149
pens,8,07-03-2016,511,155
pens,8,07-08-2016,511,159
pens,8,07-14-2016,511,163
pens,8,07-19-2016,511,168
pens,8,07-25-2016,511,174
pens,8,07-30-2016,511,179
pens,8,08-03-2016,730,183
pens,8,08-07-2016,1022,187
pens,8,08-12-2016,1022,192
pens,8,08-18-2016,1022,197
pens,8,08-27-2016,511,204
pens,8,09-02-2016,511,209
pens,8,09-07-2016,511,214
pens,8,09-13-2016,511,219
pens,8,09-18-2016,511,223
pens,8,09-24-2016,511,227
pens,8,09-29-2016,511,231
pens,8,10-05-2016,511,236
pens,8,10-10-2016,511,241
pens,8,10-15-2016,511,246
pens,8,10-21-2016,511,252
pens,8,10-27-2016,511,258
pens,8,11-01-2016,584,263
pens,8,11-07-2016,511,269
pens,8,11-13-2016,511,275
pens,8,11-17-2016,511,279
pens,8,11-23-2016,511,285
pens,8,11-28-2016,584,290
pens,8,12-04-2016,584,296
pens,8,12-10-2016,584,301
pens,8,12-16-2016,584,306
pens,8,12-20-2016,657,310
pens,8,12-24-2016,876,314
pens,8,01-03-2017,584,319
pens,8,01-09-2017,557,324
pens,8,01-16-2017,484,331
pens,8,01-21-2017,511,335
pens,8,01-26-2017,511,340
pens,8,02-01-2017,511,345
pens,8,02-07-2017,511,351
pens,8,02-12-2017,511,356
pens,8,02-17-2017,548,361
pens,8,02-23-2017,548,367
pens,8,02-28-2017,548,372
pens,8,03-06-2017,511,377
pens,8,03-12-2017,511,381
pens,8,03-17-2017,511,385
pens,8,03-21-2017,548,389
pens,8,03-28-2017,548,395
pens,8,04-03-2017,511,400
pens,8,04-07-2017,511,404
pens,8,04-14-2017,511,411
pens,8,04-18-2017,548,415
pens,8,04-24-2017,548,420
pens,8,04-30-2017,511,426
pens,8,05-06-2017,511,432
pens,8,05-11-2017,548,437
pens,8,05-16-2017,548,441
pens,8,05-22-2017,548,447
pens,8,05-28-2017,511,453
pens,8,06-02-2017,511,458
pens,8,06-08-2017,511,463
pens,8,06-14-2017,511,468
pens,8,06-18-2017,511,472
pens,8,06-24-2017,548,478
pens,8,06-30-2017,548,484
pens,8,07-05-2017,511,489
pens,8,07-11-2017,511,495
pens,8,07-17-2017,511,501
pens,8,07-22-2017,511,506
pens,8,07-27-2017,511,511
pens,8,08-02-2017,548,516
pens,8,08-04-2017,621,518
pens,8,08-09-2017,803,523
pens,8,08-12-2017,913,526
pens,8,08-18-2017,1022,531
pens,8,08-27-2017,730,537
pens,8,09-04-2017,511,543
pens,8,09-09-2017,511,547
pens,8,09-14-2017,511,552
pens,8,09-20-2017,511,558
pens,8,09-26-2017,511,563
pens,8,10-01-2017,511,568
pens,8,10-07-2017,511,574
pens,8,10-12-2017,511,579
pens,8,10-17-2017,511,584
pens,8,10-23-2017,511,589
pens,8,10-29-2017,511,594
pens,8,11-02-2017,548,598
pens,8,11-08-2017,548,603
pens,8,11-14-2017,548,608
pens,8,11-20-2017,511,614
pens,8,11-25-2017,511,619
pens,8,12-01-2017,548,625
pens,8,12-06-2017,584,629
pens,8,12-11-2017,584,633
pens,8,12-17-2017,584,638
pens,8,12-22-2017,657,642
pens,8,12-27-2017,676,646
pens,8,01-03-2018,584,652
pens,8,01-03-2018,676,652
pens,8,01-09-2018,557,658
pens,8,01-10-2018,597,659
pens,8,01-16-2018,484,665
pens,8,01-18-2018,499,667
pens,8,01-21-2018,511,670
pens,8,01-24-2018,475,673
pens,8,01-26-2018,511,675
pens,8,01-30-2018,475,679
pens,8,02-01-2018,511,681
pens,8,02-03-2018,475,683
pens,8,02-07-2018,511,687
pens,8,02-09-2018,511,689
pens,8,02-12-2018,511,692
pens,8,02-14-2018,511,694
pens,8,02-17-2018,548,697
pens,8,02-18-2018,536,698
pens,8,02-23-2018,548,703
pens,8,02-24-2018,536,704
pens,8,02-28-2018,548,708
pens,8,03-02-2018,536,710
pens,8,03-06-2018,511,714
pens,8,03-07-2018,536,715
pens,8,03-12-2018,511,720
pens,8,03-13-2018,511,721
pens,8,03-17-2018,511,725
pens,8,03-19-2018,536,727
pens,8,03-21-2018,548,729
pens,8,03-23-2018,536,731
pens,8,03-28-2018,548,736
pens,8,03-29-2018,536,737
pens,8,04-03-2018,511,742
pens,8,04-04-2018,536,743
pens,8,04-07-2018,511,746
pens,8,04-10-2018,511,749
pens,8,04-14-2018,511,753
pens,8,04-15-2018,536,754
pens,8,04-18-2018,548,757
pens,8,04-21-2018,536,760
pens,8,04-24-2018,548,763
pens,8,04-26-2018,536,765
pens,8,04-30-2018,511,769
pens,8,05-01-2018,536,770
pens,8,05-06-2018,511,775
pens,8,05-08-2018,511,777
pens,8,05-11-2018,548,780
pens,8,05-13-2018,536,782
pens,8,05-16-2018,548,785
pens,8,05-18-2018,536,787
pens,8,05-22-2018,548,791
pens,8,05-24-2018,536,793
pens,8,05-28-2018,511,797
pens,8,05-30-2018,536,799
pens,8,06-02-2018,511,802
pens,8,06-05-2018,511,805
pens,8,06-08-2018,511,808
pens,8,06-10-2018,511,810
pens,8,06-14-2018,511,814
pens,8,06-16-2018,511,816
pens,8,06-18-2018,511,818
pens,8,06-21-2018,536,821
pens,8,06-24-2018,548,824
pens,8,06-26-2018,536,826
pens,8,06-30-2018,548,830
pens,8,07-02-2018,536,832
pens,8,07-05-2018,511,835
pens,8,07-08-2018,536,838
pens,8,07-11-2018,511,841
pens,8,07-13-2018,511,843
pens,8,07-17-2018,511,847
pens,8,07-19-2018,511,849
pens,8,07-22-2018,511,852
pens,8,07-25-2018,511,855
pens,8,07-27-2018,511,857
pens,8,07-30-2018,511,860
pens,8,08-02-2018,548,863
pens,8,08-03-2018,560,864
pens,8,08-04-2018,621,865
pens,8,08-06-2018,633,867
pens,8,08-09-2018,803,870
pens,8,08-10-2018,730,871
pens,8,08-12-2018,913,873
pens,8,08-13-2018,803,874
pens,8,08-18-2018,1022,879
pens,8,08-18-2018,925,879
pens,8,08-26-2018,852,886
pens,8,08-27-2018,730,887
pens,8,09-04-2018,511,894
pens,8,09-04-2018,633,894
pens,8,09-09-2018,511,899
pens,8,09-11-2018,511,901
pens,8,09-14-2018,511,904
pens,8,09-16-2018,511,906
pens,8,09-20-2018,511,910
pens,8,09-21-2018,511,911
pens,8,09-26-2018,511,916
pens,8,09-27-2018,511,917
pens,8,10-01-2018,511,921
pens,8,10-02-2018,511,922
pens,8,10-07-2018,511,927
pens,8,10-08-2018,511,928
pens,8,10-12-2018,511,932
pens,8,10-14-2018,511,934
pens,8,10-17-2018,511,937
pens,8,10-19-2018,511,939
pens,8,10-23-2018,511,943
pens,8,10-24-2018,511,944
pens,8,10-29-2018,511,949
pens,8,10-30-2018,511,950
pens,8,11-02-2018,548,953
pens,8,11-04-2018,536,955
pens,8,11-08-2018,548,959
pens,8,11-09-2018,536,960
pens,8,11-14-2018,548,965
pens,8,11-16-2018,518,967
pens,8,11-20-2018,511,971
pens,8,11-22-2018,493,973
pens,8,11-25-2018,511,976
pens,8,11-27-2018,493,978
pens,8,12-01-2018,548,982
pens,8,12-02-2018,518,983
pens,8,12-06-2018,584,986
pens,8,12-06-2018,560,986
pens,8,12-11-2018,584,991
pens,8,12-12-2018,584,992
pens,8,12-17-2018,584,997
pens,8,12-18-2018,584,998
pens,8,12-22-2018,657,1002
pens,8,12-23-2018,657,1003
pens,8,12-26-2018,657,1006
pens,8,12-27-2018,676,1007
pens,8,01-02-2019,682,1012
pens,8,01-03-2019,584,1013
pens,8,01-03-2019,676,1013
pens,8,01-09-2019,557,1019
pens,8,01-09-2019,639,1019
pens,8,01-10-2019,597,1020
pens,8,01-16-2019,484,1026
pens,8,01-16-2019,621,1026
pens,8,01-18-2019,499,1028
pens,8,01-21-2019,511,1031
pens,8,01-23-2019,548,1033
pens,8,01-24-2019,475,1034
pens,8,01-26-2019,511,1036
pens,8,01-29-2019,530,1039
pens,8,01-30-2019,475,1040
pens,8,02-01-2019,511,1042
pens,8,02-03-2019,475,1044
pens,8,02-03-2019,511,1044
pens,8,02-07-2019,511,1048
pens,8,02-09-2019,511,1050
pens,8,02-09-2019,511,1050
pens,8,02-12-2019,511,1053
pens,8,02-14-2019,511,1055
pens,8,02-15-2019,530,1056
pens,8,02-17-2019,548,1058
pens,8,02-18-2019,536,1059
pens,8,02-18-2019,530,1059
pens,8,02-23-2019,548,1064
pens,8,02-24-2019,536,1065
pens,8,02-25-2019,530,1066
pens,8,02-28-2019,548,1069
pens,8,03-02-2019,536,1071
pens,8,03-03-2019,516,1072
pens,8,03-06-2019,511,1075
pens,8,03-07-2019,536,1076
pens,8,03-09-2019,516,1078
pens,8,03-12-2019,511,1081
pens,8,03-13-2019,511,1082
pens,8,03-14-2019,516,1083
pens,8,03-17-2019,511,1086
pens,8,03-19-2019,536,1088
pens,8,03-19-2019,516,1088
pens,8,03-21-2019,548,1090
pens,8,03-23-2019,536,1092
pens,8,03-24-2019,516,1093
pens,8,03-28-2019,548,1097
pens,8,03-29-2019,536,1098
pens,8,03-30-2019,516,1099
pens,8,04-03-2019,511,1103
pens,8,04-04-2019,536,1104
pens,8,04-05-2019,530,1105
pens,8,04-07-2019,511,1107
pens,8,04-10-2019,511,1110
pens,8,04-10-2019,530,1110
pens,8,04-14-2019,511,1114
pens,8,04-15-2019,536,1115
pens,8,04-15-2019,530,1115
pens,8,04-18-2019,548,1118
pens,8,04-21-2019,536,1121
pens,8,04-21-2019,530,1121
pens,8,04-24-2019,548,1124
pens,8,04-26-2019,536,1126
pens,8,04-27-2019,530,1127
pens,8,04-30-2019,511,1130
pens,8,05-01-2019,536,1131
pens,8,05-02-2019,530,1132
pens,8,05-06-2019,511,1136
pens,8,05-08-2019,511,1138
pens,8,05-08-2019,530,1138
pens,8,05-11-2019,548,1141
pens,8,05-13-2019,536,1143
pens,8,05-13-2019,530,1143
pens,8,05-16-2019,548,1146
pens,8,05-18-2019,536,1148
pens,8,05-18-2019,530,1148
pens,8,05-22-2019,548,1152
pens,8,05-24-2019,536,1154
pens,8,05-24-2019,530,1154
pens,8,05-28-2019,511,1158
pens,8,05-30-2019,536,1160
pens,8,05-30-2019,530,1160
pens,8,06-02-2019,511,1163
pens,8,06-05-2019,511,1166
pens,8,06-05-2019,530,1166
pens,8,06-08-2019,511,1169
pens,8,06-10-2019,511,1171
pens,8,06-10-2019,511,1171
pens,8,06-14-2019,511,1175
pens,8,06-16-2019,511,1177
pens,8,06-16-2019,511,1177
pens,8,06-18-2019,511,1179
pens,8,06-21-2019,536,1182
pens,8,06-22-2019,530,1183
pens,8,06-24-2019,548,1185
pens,8,06-26-2019,536,1187
pens,8,06-26-2019,530,1187
pens,8,06-30-2019,548,1191
pens,8,07-02-2019,536,1193
pens,8,07-02-2019,530,1193
pens,8,07-05-2019,511,1196
pens,8,07-08-2019,536,1199
pens,8,07-08-2019,530,1199
pens,8,07-11-2019,511,1202
pens,8,07-13-2019,511,1204
pens,8,07-13-2019,530,1204
pens,8,07-17-2019,511,1208
pens,8,07-19-2019,511,1210
pens,8,07-19-2019,511,1210
pens,8,07-22-2019,511,1213
pens,8,07-25-2019,511,1216
pens,8,07-25-2019,511,1216
pens,8,07-27-2019,511,1218
pens,8,07-30-2019,511,1221
pens,8,07-30-2019,511,1221
pens,8,08-02-2019,548,1224
pens,8,08-03-2019,560,1225
pens,8,08-03-2019,548,1225
pens,8,08-04-2019,621,1226
pens,8,08-06-2019,633,1228
pens,8,08-07-2019,621,1229
pens,8,08-09-2019,803,1231
pens,8,08-10-2019,730,1232
pens,8,08-10-2019,676,1232
pens,8,08-12-2019,913,1234
pens,8,08-13-2019,803,1235
pens,8,08-13-2019,730,1235
pens,8,08-18-2019,1022,1240
pens,8,08-18-2019,925,1240
pens,8,08-18-2019,822,1240
pens,8,08-24-2019,840,1246
pens,8,08-26-2019,852,1248
pens,8,08-27-2019,730,1249
pens,8,09-02-2019,767,1255
pens,8,09-04-2019,511,1257
pens,8,09-04-2019,633,1257
pens,8,09-09-2019,511,1262
pens,8,09-10-2019,621,1263
pens,8,09-11-2019,511,1264
pens,8,09-14-2019,511,1267
pens,8,09-16-2019,511,1269
pens,8,09-17-2019,511,1270
pens,8,09-20-2019,511,1273
pens,8,09-21-2019,511,1274
pens,8,09-22-2019,511,1275
pens,8,09-26-2019,511,1279
pens,8,09-27-2019,511,1280
pens,8,09-28-2019,511,1281
pens,8,10-01-2019,511,1284
pens,8,10-02-2019,511,1285
pens,8,10-03-2019,511,1286
pens,8,10-07-2019,511,1290
pens,8,10-08-2019,511,1291
pens,8,10-08-2019,511,1291
pens,8,10-12-2019,511,1295
pens,8,10-14-2019,511,1297
pens,8,10-14-2019,511,1297
pens,8,10-17-2019,511,1300
pens,8,10-19-2019,511,1302
pens,8,10-20-2019,511,1303
pens,8,10-23-2019,511,1306
pens,8,10-24-2019,511,1307
pens,8,10-25-2019,511,1308
pens,8,10-29-2019,511,1312
pens,8,10-30-2019,511,1313
pens,8,10-31-2019,511,1314
pens,8,11-02-2019,548,1316
pens,8,11-04-2019,536,1318
pens,8,11-05-2019,530,1319
pens,8,11-08-2019,548,1322
pens,8,11-09-2019,536,1323
pens,8,11-10-2019,530,1324
pens,8,11-14-2019,548,1328
pens,8,11-16-2019,518,1330
pens,8,11-16-2019,530,1330
pens,8,11-20-2019,511,1334
pens,8,11-22-2019,493,1336
pens,8,11-22-2019,530,1336
pens,8,11-25-2019,511,1339
pens,8,11-27-2019,493,1341
pens,8,11-27-2019,530,1341
pens,8,12-01-2019,548,1345
pens,8,12-02-2019,518,1346
pens,8,12-02-2019,530,1346
pens,8,12-06-2019,584,1350
pens,8,12-06-2019,560,1350
pens,8,12-08-2019,548,1352
pens,8,12-11-2019,584,1355
pens,8,12-12-2019,584,1356
pens,8,12-13-2019,566,1357
pens,8,12-17-2019,584,1361
pens,8,12-18-2019,584,1362
pens,8,12-18-2019,566,1362
pens,8,12-22-2019,657,1366
pens,8,12-23-2019,657,1367
pens,8,12-23-2019,639,1367
pens,8,12-26-2019,657,1370
pens,8,12-27-2019,676,1371
pens,8,12-27-2019,657,1371
pens,8,01-02-2020,682,1377
pens,8,01-03-2020,584,1378
pens,8,01-03-2020,676,1378
pens,8,01-03-2020,657,1378
pens,8,01-09-2020,557,1384
pens,8,01-09-2020,639,1384
pens,8,01-09-2020,628,1384
pens,8,01-10-2020,597,1385
pens,8,01-16-2020,484,1391
pens,8,01-16-2020,621,1391
pens,8,01-16-2020,614,1391
pens,8,01-18-2020,499,1393
pens,8,01-21-2020,511,1396
pens,8,01-23-2020,548,1398
pens,8,01-23-2020,599,1398
pens,8,01-24-2020,475,1399
pens,8,01-26-2020,511,1401
pens,8,01-29-2020,530,1404
pens,8,01-29-2020,541,1404
pens,8,01-30-2020,475,1405
pens,8,02-01-2020,511,1407
pens,8,02-03-2020,475,1409
pens,8,02-03-2020,511,1409
pens,8,02-04-2020,526,1410
pens,8,02-07-2020,511,1413
pens,8,02-09-2020,511,1415
pens,8,02-09-2020,511,1415
pens,8,02-09-2020,511,1415
pens,8,02-12-2020,511,1418
pens,8,02-14-2020,511,1420
pens,8,02-15-2020,530,1421
pens,8,02-15-2020,526,1421
pens,8,02-17-2020,548,1423
pens,8,02-18-2020,536,1424
pens,8,02-18-2020,530,1424
pens,8,02-19-2020,526,1425
pens,8,02-23-2020,548,1429
pens,8,02-24-2020,536,1430
pens,8,02-25-2020,530,1431
pens,8,02-25-2020,526,1431
pens,8,02-28-2020,548,1434
pens,8,03-01-2020,536,1436
pens,8,03-02-2020,516,1437
pens,8,03-02-2020,526,1437
pens,8,03-05-2020,511,1440
pens,8,03-06-2020,536,1441
pens,8,03-07-2020,526,1442
pens,8,03-08-2020,516,1443
pens,8,03-11-2020,511,1446
pens,8,03-12-2020,511,1447
pens,8,03-13-2020,516,1448
pens,8,03-13-2020,526,1448
pens,8,03-16-2020,511,1451
pens,8,03-18-2020,536,1453
pens,8,03-18-2020,516,1453
pens,8,03-18-2020,541,1453
pens,8,03-20-2020,548,1455
pens,8,03-22-2020,536,1457
pens,8,03-23-2020,516,1458
pens,8,03-23-2020,526,1458
