Item,Item ID,Day,Quantity,Order Number
photo paper,18,01-11-2016,5068,3
photo paper,18,01-16-2016,5068,8
photo paper,18,01-22-2016,5068,14
photo paper,18,01-27-2016,5068,19
photo paper,18,02-02-2016,5068,25
photo paper,18,02-08-2016,5068,31
photo paper,18,02-13-2016,5068,36
photo paper,18,02-17-2016,5792,39
photo paper,18,02-24-2016,5068,45
photo paper,18,02-29-2016,5068,49
photo paper,18,03-05-2016,5068,52
photo paper,18,03-11-2016,5068,56
photo paper,18,03-17-2016,5792,62
photo paper,18,03-21-2016,5792,66
photo paper,18,03-28-2016,5068,72
photo paper,18,04-03-2016,5068,78
photo paper,18,04-08-2016,5068,82
photo paper,18,04-13-2016,5068,85
photo paper,18,04-19-2016,5792,90
photo paper,18,04-24-2016,5068,94
photo paper,18,04-30-2016,5068,99
photo paper,18,05-06-2016,5068,103
photo paper,18,05-10-2016,5792,107
photo paper,18,05-16-2016,5068,113
photo paper,18,05-22-2016,5068,117
photo paper,18,05-28-2016,5068,122
photo paper,18,06-01-2016,5068,126
photo paper,18,06-08-2016,5068,133
photo paper,18,06-13-2016,5068,137
photo paper,18,06-18-2016,5068,142
photo paper,18,06-23-2016,5792,146
photo paper,18,06-30-2016,5068,152
photo paper,18,07-05-2016,5068,157
photo paper,18,07-10-2016,5068,161
photo paper,18,07-16-2016,5068,165
photo paper,18,07-21-2016,5068,170
photo paper,18,07-27-2016,5068,176
photo paper,18,08-01-2016,5792,181
photo paper,18,08-04-2016,7964,184
photo paper,18,08-09-2016,10136,189
photo paper,18,08-15-2016,10136,194
photo paper,18,08-20-2016,8688,199
photo paper,18,08-30-2016,5068,206
photo paper,18,09-04-2016,5068,211
photo paper,18,09-10-2016,5068,216
photo paper,18,09-15-2016,5068,220
photo paper,18,09-21-2016,5068,225
photo paper,18,09-27-2016,5068,229
photo paper,18,10-02-2016,5068,233
photo paper,18,10-07-2016,5068,238
photo paper,18,10-13-2016,5068,244
photo paper,18,10-18-2016,5068,249
photo paper,18,10-23-2016,5068,254
photo paper,18,10-29-2016,5068,260
photo paper,18,11-03-2016,5792,265
photo paper,18,11-09-2016,5068,271
photo paper,18,11-15-2016,5068,277
photo paper,18,11-21-2016,5068,283
photo paper,18,11-26-2016,5068,288
photo paper,18,12-01-2016,5792,293
photo paper,18,12-06-2016,5792,298
photo paper,18,12-12-2016,5792,303
photo paper,18,12-18-2016,5792,308
photo paper,18,12-22-2016,7964,312
photo paper,18,12-27-2016,7964,317
photo paper,18,01-06-2017,5792,321
photo paper,18,01-13-2017,5159,328
photo paper,18,01-18-2017,4797,333
photo paper,18,01-24-2017,5068,338
photo paper,18,01-30-2017,5068,343
photo paper,18,02-04-2017,5068,348
photo paper,18,02-09-2017,5068,353
photo paper,18,02-15-2017,5430,359
photo paper,18,02-19-2017,5430,363
photo paper,18,02-25-2017,5430,369
photo paper,18,03-04-2017,5068,375
photo paper,18,03-09-2017,5068,378
photo paper,18,03-14-2017,5068,383
photo paper,18,03-19-2017,5430,387
photo paper,18,03-25-2017,5430,392
photo paper,18,03-30-2017,5430,397
photo paper,18,04-05-2017,5068,402
photo paper,18,04-11-2017,5068,408
photo paper,18,04-16-2017,5430,413
photo paper,18,04-22-2017,5430,418
photo paper,18,04-28-2017,5430,424
photo paper,18,05-03-2017,5068,429
photo paper,18,05-09-2017,5068,435
photo paper,18,05-14-2017,5430,439
photo paper,18,05-19-2017,5430,444
photo paper,18,05-25-2017,5068,450
photo paper,18,05-31-2017,5068,456
photo paper,18,06-05-2017,5068,461
photo paper,18,06-10-2017,5068,465
photo paper,18,06-16-2017,5068,470
photo paper,18,06-22-2017,5430,476
photo paper,18,06-26-2017,5430,480
photo paper,18,07-03-2017,5430,487
photo paper,18,07-09-2017,5068,493
photo paper,18,07-14-2017,5068,498
photo paper,18,07-19-2017,5068,503
photo paper,18,07-25-2017,5068,509
photo paper,18,07-30-2017,5068,514
photo paper,18,08-03-2017,5792,517
photo paper,18,08-07-2017,7240,521
photo paper,18,08-11-2017,8688,525
photo paper,18,08-16-2017,10136,529
photo paper,18,08-21-2017,9412,534
photo paper,18,09-01-2017,5430,541
photo paper,18,09-06-2017,5068,545
photo paper,18,09-12-2017,5068,550
photo paper,18,09-18-2017,5068,556
photo paper,18,09-23-2017,5068,561
photo paper,18,09-29-2017,5068,566
photo paper,18,10-05-2017,5068,572
photo paper,18,10-09-2017,5068,576
photo paper,18,10-15-2017,5068,582
photo paper,18,10-21-2017,5068,587
photo paper,18,10-26-2017,5068,591
photo paper,18,10-31-2017,5068,596
photo paper,18,11-06-2017,5430,601
photo paper,18,11-11-2017,5430,606
photo paper,18,11-17-2017,5068,611
photo paper,18,11-23-2017,5068,617
photo paper,18,11-28-2017,5430,622
photo paper,18,12-03-2017,5430,627
photo paper,18,12-09-2017,5792,632
photo paper,18,12-14-2017,5792,636
photo paper,18,12-20-2017,6154,641
photo paper,18,12-24-2017,6697,644
photo paper,18,12-30-2017,6697,648
photo paper,18,01-06-2018,5792,655
photo paper,18,01-07-2018,6697,656
photo paper,18,01-13-2018,5159,662
photo paper,18,01-14-2018,5551,663
photo paper,18,01-18-2018,4797,667
photo paper,18,01-22-2018,4948,671
photo paper,18,01-24-2018,5068,673
photo paper,18,01-27-2018,4706,676
photo paper,18,01-30-2018,5068,679
photo paper,18,02-01-2018,4706,681
photo paper,18,02-04-2018,5068,684
photo paper,18,02-07-2018,5068,687
photo paper,18,02-09-2018,5068,689
photo paper,18,02-12-2018,5068,692
photo paper,18,02-15-2018,5430,695
photo paper,18,02-16-2018,5310,696
photo paper,18,02-19-2018,5430,699
photo paper,18,02-22-2018,5310,702
photo paper,18,02-25-2018,5430,705
photo paper,18,02-27-2018,5310,707
photo paper,18,03-04-2018,5068,712
photo paper,18,03-05-2018,5310,713
photo paper,18,03-09-2018,5068,717
photo paper,18,03-11-2018,5068,719
photo paper,18,03-14-2018,5068,722
photo paper,18,03-17-2018,5068,725
photo paper,18,03-19-2018,5430,727
photo paper,18,03-21-2018,5310,729
photo paper,18,03-25-2018,5430,733
photo paper,18,03-27-2018,5310,735
photo paper,18,03-30-2018,5430,738
photo paper,18,04-02-2018,5310,741
photo paper,18,04-05-2018,5068,744
photo paper,18,04-07-2018,5310,746
photo paper,18,04-11-2018,5068,750
photo paper,18,04-13-2018,5068,752
photo paper,18,04-16-2018,5430,755
photo paper,18,04-18-2018,5310,757
photo paper,18,04-22-2018,5430,761
photo paper,18,04-23-2018,5310,762
photo paper,18,04-28-2018,5430,767
photo paper,18,04-29-2018,5310,768
photo paper,18,05-03-2018,5068,772
