Item,Item ID,Day,Quantity,Order Number
plastic bags,4,01-09-2016,1379,2
plastic bags,4,01-15-2016,1379,7
plastic bags,4,01-21-2016,1379,13
plastic bags,4,01-25-2016,1379,17
plastic bags,4,02-01-2016,1379,24
plastic bags,4,02-06-2016,1379,29
plastic bags,4,02-11-2016,1379,34
plastic bags,4,02-16-2016,1576,38
plastic bags,4,02-22-2016,1379,43
plastic bags,4,02-27-2016,1379,47
plastic bags,4,03-04-2016,1379,51
plastic bags,4,03-10-2016,1379,55
plastic bags,4,03-15-2016,1379,60
plastic bags,4,03-20-2016,1576,65
plastic bags,4,03-26-2016,1379,70
plastic bags,4,03-31-2016,1379,75
plastic bags,4,04-06-2016,1379,80
plastic bags,4,04-11-2016,1379,83
plastic bags,4,04-16-2016,1576,87
plastic bags,4,04-22-2016,1379,92
plastic bags,4,04-28-2016,1379,97
plastic bags,4,05-03-2016,1379,100
plastic bags,4,05-08-2016,1379,105
plastic bags,4,05-14-2016,1576,111
plastic bags,4,05-20-2016,1379,116
plastic bags,4,05-25-2016,1379,120
plastic bags,4,05-31-2016,1379,125
plastic bags,4,06-06-2016,1379,131
plastic bags,4,06-10-2016,1379,135
plastic bags,4,06-16-2016,1379,140
plastic bags,4,06-21-2016,1576,144
plastic bags,4,06-27-2016,1379,149
plastic bags,4,07-03-2016,1379,155
plastic bags,4,07-08-2016,1379,159
plastic bags,4,07-14-2016,1379,163
plastic bags,4,07-19-2016,1379,168
plastic bags,4,07-25-2016,1379,174
plastic bags,4,07-30-2016,1379,179
plastic bags,4,08-03-2016,1970,183
plastic bags,4,08-07-2016,2758,187
plastic bags,4,08-12-2016,2758,192
plastic bags,4,08-18-2016,2758,197
plastic bags,4,08-27-2016,1379,204
plastic bags,4,09-02-2016,1379,209
plastic bags,4,09-07-2016,1379,214
plastic bags,4,09-12-2016,1379,218
plastic bags,4,09-18-2016,1379,223
plastic bags,4,09-24-2016,1379,227
plastic bags,4,09-29-2016,1379,231
plastic bags,4,10-05-2016,1379,236
plastic bags,4,10-10-2016,1379,241
plastic bags,4,10-15-2016,1379,246
plastic bags,4,10-21-2016,1379,252
plastic bags,4,10-27-2016,1379,258
plastic bags,4,11-01-2016,1576,263
plastic bags,4,11-07-2016,1379,269
plastic bags,4,11-12-2016,1379,274
plastic bags,4,11-17-2016,1379,279
plastic bags,4,11-23-2016,1379,285
plastic bags,4,11-28-2016,1576,290
plastic bags,4,12-04-2016,1576,296
plastic bags,4,12-09-2016,1576,300
plastic bags,4,12-15-2016,1576,305
plastic bags,4,12-20-2016,1773,310
plastic bags,4,12-24-2016,2364,314
plastic bags,4,01-03-2017,1576,319
plastic bags,4,01-09-2017,1503,324
plastic bags,4,01-16-2017,1306,331
plastic bags,4,01-21-2017,1379,335
plastic bags,4,01-26-2017,1379,340
plastic bags,4,02-01-2017,1379,345
plastic bags,4,02-07-2017,1379,351
plastic bags,4,02-12-2017,1379,356
plastic bags,4,02-16-2017,1478,360
plastic bags,4,02-22-2017,1478,366
plastic bags,4,02-28-2017,1478,372
plastic bags,4,03-06-2017,1379,377
plastic bags,4,03-12-2017,1379,381
plastic bags,4,03-17-2017,1379,385
plastic bags,4,03-21-2017,1478,389
plastic bags,4,03-27-2017,1478,394
plastic bags,4,04-02-2017,1379,399
plastic bags,4,04-07-2017,1379,404
plastic bags,4,04-13-2017,1379,410
plastic bags,4,04-18-2017,1478,415
plastic bags,4,04-23-2017,1478,419
plastic bags,4,04-30-2017,1379,426
plastic bags,4,05-05-2017,1379,431
plastic bags,4,05-10-2017,1478,436
plastic bags,4,05-16-2017,1478,441
plastic bags,4,05-22-2017,1478,447
plastic bags,4,05-27-2017,1379,452
plastic bags,4,06-02-2017,1379,458
plastic bags,4,06-08-2017,1379,463
plastic bags,4,06-13-2017,1379,467
plastic bags,4,06-18-2017,1379,472
plastic bags,4,06-23-2017,1478,477
plastic bags,4,06-29-2017,1478,483
plastic bags,4,07-04-2017,1478,488
plastic bags,4,07-11-2017,1379,495
plastic bags,4,07-17-2017,1379,501
plastic bags,4,07-21-2017,1379,505
plastic bags,4,07-27-2017,1379,511
plastic bags,4,08-02-2017,1478,516
plastic bags,4,08-04-2017,1675,518
plastic bags,4,08-09-2017,2167,523
plastic bags,4,08-12-2017,2463,526
plastic bags,4,08-18-2017,2758,531
plastic bags,4,08-27-2017,1970,537
plastic bags,4,09-04-2017,1379,543
plastic bags,4,09-09-2017,1379,547
plastic bags,4,09-14-2017,1379,552
plastic bags,4,09-20-2017,1379,558
plastic bags,4,09-26-2017,1379,563
plastic bags,4,09-30-2017,1379,567
plastic bags,4,10-07-2017,1379,574
plastic bags,4,10-12-2017,1379,579
plastic bags,4,10-17-2017,1379,584
plastic bags,4,10-23-2017,1379,589
plastic bags,4,10-29-2017,1379,594
plastic bags,4,11-02-2017,1478,598
plastic bags,4,11-08-2017,1478,603
plastic bags,4,11-14-2017,1478,608
plastic bags,4,11-20-2017,1379,614
plastic bags,4,11-25-2017,1379,619
plastic bags,4,11-30-2017,1478,624
plastic bags,4,12-06-2017,1576,629
plastic bags,4,12-11-2017,1576,633
plastic bags,4,12-17-2017,1576,638
plastic bags,4,12-22-2017,1773,642
plastic bags,4,12-27-2017,1823,646
plastic bags,4,01-03-2018,1576,652
plastic bags,4,01-03-2018,1823,652
plastic bags,4,01-09-2018,1503,658
plastic bags,4,01-10-2018,1609,659
plastic bags,4,01-16-2018,1306,665
plastic bags,4,01-18-2018,1347,667
plastic bags,4,01-21-2018,1379,670
plastic bags,4,01-24-2018,1281,673
plastic bags,4,01-26-2018,1379,675
plastic bags,4,01-29-2018,1281,678
plastic bags,4,02-01-2018,1379,681
plastic bags,4,02-02-2018,1281,682
plastic bags,4,02-07-2018,1379,687
plastic bags,4,02-08-2018,1379,688
plastic bags,4,02-12-2018,1379,692
plastic bags,4,02-14-2018,1379,694
plastic bags,4,02-16-2018,1478,696
plastic bags,4,02-18-2018,1445,698
plastic bags,4,02-22-2018,1478,702
plastic bags,4,02-24-2018,1445,704
plastic bags,4,02-28-2018,1478,708
plastic bags,4,03-02-2018,1445,710
plastic bags,4,03-06-2018,1379,714
plastic bags,4,03-07-2018,1445,715
plastic bags,4,03-12-2018,1379,720
plastic bags,4,03-13-2018,1379,721
plastic bags,4,03-17-2018,1379,725
plastic bags,4,03-18-2018,1445,726
plastic bags,4,03-21-2018,1478,729
plastic bags,4,03-23-2018,1445,731
plastic bags,4,03-27-2018,1478,735
plastic bags,4,03-29-2018,1445,737
plastic bags,4,04-02-2018,1379,741
plastic bags,4,04-04-2018,1445,743
plastic bags,4,04-07-2018,1379,746
plastic bags,4,04-10-2018,1379,749
plastic bags,4,04-13-2018,1379,752
plastic bags,4,04-15-2018,1445,754
