Item,Item ID,Day,Quantity,Order Number
plastic wrap,19,01-08-2016,296,1
plastic wrap,19,01-15-2016,259,7
plastic wrap,19,01-21-2016,259,13
plastic wrap,19,01-26-2016,259,18
plastic wrap,19,02-01-2016,259,24
plastic wrap,19,02-06-2016,259,29
plastic wrap,19,02-11-2016,259,34
plastic wrap,19,02-16-2016,296,38
plastic wrap,19,02-23-2016,259,44
plastic wrap,19,02-28-2016,259,48
plastic wrap,19,03-04-2016,259,51
plastic wrap,19,03-10-2016,259,55
plastic wrap,19,03-15-2016,259,60
plastic wrap,19,03-20-2016,296,65
plastic wrap,19,03-27-2016,259,71
plastic wrap,19,04-01-2016,259,76
plastic wrap,19,04-06-2016,259,80
plastic wrap,19,04-12-2016,259,84
plastic wrap,19,04-17-2016,296,88
plastic wrap,19,04-22-2016,259,92
plastic wrap,19,04-29-2016,259,98
plastic wrap,19,05-04-2016,259,101
plastic wrap,19,05-09-2016,296,106
plastic wrap,19,05-15-2016,296,112
plastic wrap,19,05-22-2016,259,117
plastic wrap,19,05-27-2016,259,121
plastic wrap,19,06-01-2016,259,126
plastic wrap,19,06-07-2016,259,132
plastic wrap,19,06-13-2016,259,137
plastic wrap,19,06-18-2016,259,142
plastic wrap,19,06-23-2016,296,146
plastic wrap,19,06-30-2016,259,152
plastic wrap,19,07-04-2016,259,156
plastic wrap,19,07-10-2016,259,161
plastic wrap,19,07-16-2016,259,165
plastic wrap,19,07-21-2016,259,170
plastic wrap,19,07-27-2016,259,176
plastic wrap,19,08-01-2016,296,181
plastic wrap,19,08-04-2016,407,184
plastic wrap,19,08-09-2016,518,189
plastic wrap,19,08-15-2016,518,194
plastic wrap,19,08-20-2016,444,199
plastic wrap,19,08-30-2016,259,206
plastic wrap,19,09-04-2016,259,211
plastic wrap,19,09-10-2016,259,216
plastic wrap,19,09-16-2016,259,221
plastic wrap,19,09-21-2016,259,225
plastic wrap,19,09-27-2016,259,229
plastic wrap,19,10-02-2016,259,233
plastic wrap,19,10-07-2016,259,238
plastic wrap,19,10-14-2016,259,245
plastic wrap,19,10-19-2016,259,250
plastic wrap,19,10-24-2016,259,255
plastic wrap,19,10-30-2016,259,261
plastic wrap,19,11-04-2016,296,266
plastic wrap,19,11-10-2016,259,272
plastic wrap,19,11-15-2016,259,277
plastic wrap,19,11-21-2016,259,283
plastic wrap,19,11-27-2016,296,289
plastic wrap,19,12-02-2016,296,294
plastic wrap,19,12-08-2016,296,299
plastic wrap,19,12-14-2016,296,304
plastic wrap,19,12-19-2016,333,309
plastic wrap,19,12-23-2016,444,313
plastic wrap,19,01-02-2017,296,318
plastic wrap,19,01-09-2017,283,324
plastic wrap,19,01-15-2017,264,330
plastic wrap,19,01-21-2017,259,335
plastic wrap,19,01-25-2017,259,339
plastic wrap,19,02-01-2017,259,345
plastic wrap,19,02-06-2017,259,350
plastic wrap,19,02-11-2017,259,355
plastic wrap,19,02-16-2017,278,360
plastic wrap,19,02-22-2017,278,366
plastic wrap,19,02-28-2017,278,372
plastic wrap,19,03-06-2017,259,377
plastic wrap,19,03-12-2017,259,381
plastic wrap,19,03-17-2017,259,385
plastic wrap,19,03-21-2017,278,389
plastic wrap,19,03-28-2017,278,395
plastic wrap,19,04-02-2017,259,399
plastic wrap,19,04-07-2017,259,404
plastic wrap,19,04-13-2017,259,410
plastic wrap,19,04-18-2017,278,415
plastic wrap,19,04-23-2017,278,419
plastic wrap,19,04-30-2017,259,426
plastic wrap,19,05-06-2017,259,432
plastic wrap,19,05-11-2017,278,437
plastic wrap,19,05-16-2017,278,441
plastic wrap,19,05-22-2017,278,447
plastic wrap,19,05-28-2017,259,453
plastic wrap,19,06-02-2017,259,458
plastic wrap,19,06-08-2017,259,463
plastic wrap,19,06-14-2017,259,468
plastic wrap,19,06-19-2017,259,473
plastic wrap,19,06-24-2017,278,478
plastic wrap,19,06-30-2017,278,484
plastic wrap,19,07-06-2017,259,490
plastic wrap,19,07-11-2017,259,495
plastic wrap,19,07-17-2017,259,501
plastic wrap,19,07-22-2017,259,506
plastic wrap,19,07-28-2017,259,512
plastic wrap,19,08-02-2017,278,516
plastic wrap,19,08-05-2017,333,519
plastic wrap,19,08-09-2017,407,523
plastic wrap,19,08-13-2017,481,527
plastic wrap,19,08-18-2017,518,531
plastic wrap,19,08-28-2017,352,538
plastic wrap,19,09-04-2017,259,543
plastic wrap,19,09-10-2017,259,548
plastic wrap,19,09-15-2017,259,553
plastic wrap,19,09-21-2017,259,559
plastic wrap,19,09-27-2017,259,564
plastic wrap,19,10-02-2017,259,569
plastic wrap,19,10-07-2017,259,574
plastic wrap,19,10-13-2017,259,580
plastic wrap,19,10-18-2017,259,585
plastic wrap,19,10-24-2017,259,590
plastic wrap,19,10-30-2017,259,595
plastic wrap,19,11-03-2017,278,599
plastic wrap,19,11-09-2017,278,604
plastic wrap,19,11-15-2017,259,609
plastic wrap,19,11-21-2017,259,615
plastic wrap,19,11-26-2017,259,620
plastic wrap,19,12-01-2017,278,625
plastic wrap,19,12-06-2017,296,629
plastic wrap,19,12-12-2017,296,634
plastic wrap,19,12-18-2017,296,639
plastic wrap,19,12-23-2017,324,643
plastic wrap,19,12-28-2017,343,647
plastic wrap,19,01-02-2018,296,651
plastic wrap,19,01-04-2018,343,653
plastic wrap,19,01-09-2018,283,658
plastic wrap,19,01-11-2018,303,660
plastic wrap,19,01-15-2018,264,664
plastic wrap,19,01-20-2018,253,669
plastic wrap,19,01-21-2018,259,670
plastic wrap,19,01-25-2018,259,674
plastic wrap,19,01-25-2018,241,674
plastic wrap,19,01-30-2018,241,679
plastic wrap,19,02-01-2018,259,681
plastic wrap,19,02-04-2018,241,684
plastic wrap,19,02-06-2018,259,686
plastic wrap,19,02-09-2018,259,689
plastic wrap,19,02-11-2018,259,691
plastic wrap,19,02-15-2018,272,695
plastic wrap,19,02-16-2018,278,696
plastic wrap,19,02-19-2018,272,699
plastic wrap,19,02-22-2018,278,702
plastic wrap,19,02-25-2018,272,705
plastic wrap,19,02-28-2018,278,708
plastic wrap,19,03-04-2018,272,712
plastic wrap,19,03-06-2018,259,714
plastic wrap,19,03-09-2018,259,717
plastic wrap,19,03-12-2018,259,720
plastic wrap,19,03-14-2018,259,722
plastic wrap,19,03-17-2018,259,725
plastic wrap,19,03-19-2018,272,727
plastic wrap,19,03-21-2018,278,729
plastic wrap,19,03-25-2018,272,733
plastic wrap,19,03-28-2018,278,736
plastic wrap,19,03-30-2018,272,738
plastic wrap,19,04-02-2018,259,741
plastic wrap,19,04-06-2018,272,745
plastic wrap,19,04-07-2018,259,746
plastic wrap,19,04-12-2018,259,751
plastic wrap,19,04-13-2018,259,752
plastic wrap,19,04-16-2018,272,755
plastic wrap,19,04-18-2018,278,757
plastic wrap,19,04-22-2018,272,761
plastic wrap,19,04-23-2018,278,762
plastic wrap,19,04-28-2018,272,767
plastic wrap,19,04-30-2018,259,769
plastic wrap,19,05-04-2018,272,773
plastic wrap,19,05-06-2018,259,775
plastic wrap,19,05-09-2018,259,778
plastic wrap,19,05-11-2018,278,780
plastic wrap,19,05-14-2018,272,783
plastic wrap,19,05-16-2018,278,785
plastic wrap,19,05-20-2018,272,789
plastic wrap,19,05-22-2018,278,791
plastic wrap,19,05-25-2018,272,794
plastic wrap,19,05-28-2018,259,797
plastic wrap,19,06-01-2018,259,801
plastic wrap,19,06-02-2018,259,802
plastic wrap,19,06-06-2018,259,806
plastic wrap,19,06-08-2018,259,808
plastic wrap,19,06-11-2018,259,811
plastic wrap,19,06-14-2018,259,814
plastic wrap,19,06-17-2018,259,817
plastic wrap,19,06-19-2018,259,819
plastic wrap,19,06-22-2018,272,822
plastic wrap,19,06-24-2018,278,824
plastic wrap,19,06-27-2018,272,827
plastic wrap,19,06-30-2018,278,830
plastic wrap,19,07-03-2018,272,833
plastic wrap,19,07-06-2018,259,836
plastic wrap,19,07-10-2018,272,840
plastic wrap,19,07-11-2018,259,841
plastic wrap,19,07-15-2018,259,845
plastic wrap,19,07-17-2018,259,847
plastic wrap,19,07-20-2018,259,850
plastic wrap,19,07-22-2018,259,852
plastic wrap,19,07-26-2018,259,856
plastic wrap,19,07-28-2018,259,858
plastic wrap,19,08-01-2018,259,862
plastic wrap,19,08-02-2018,278,863
plastic wrap,19,08-04-2018,296,865
plastic wrap,19,08-05-2018,333,866
plastic wrap,19,08-07-2018,333,868
plastic wrap,19,08-09-2018,407,870
plastic wrap,19,08-11-2018,383,872
plastic wrap,19,08-13-2018,481,874
plastic wrap,19,08-15-2018,432,876
plastic wrap,19,08-18-2018,518,879
plastic wrap,19,08-19-2018,481,880
plastic wrap,19,08-28-2018,352,888
plastic wrap,19,08-29-2018,395,889
