Item,Item ID,Day,Quantity,Order Number
printer paper,9,01-13-2016,56,5
printer paper,9,01-18-2016,56,10
printer paper,9,01-24-2016,56,16
printer paper,9,01-30-2016,56,22
printer paper,9,02-04-2016,56,27
printer paper,9,02-10-2016,56,33
printer paper,9,02-15-2016,64,37
printer paper,9,02-22-2016,56,43
printer paper,9,02-27-2016,56,47
printer paper,9,03-04-2016,56,51
printer paper,9,03-10-2016,56,55
printer paper,9,03-15-2016,56,60
printer paper,9,03-20-2016,64,65
printer paper,9,03-26-2016,56,70
printer paper,9,04-01-2016,56,76
printer paper,9,04-06-2016,56,80
printer paper,9,04-12-2016,56,84
printer paper,9,04-17-2016,64,88
printer paper,9,04-23-2016,56,93
printer paper,9,04-29-2016,56,98
printer paper,9,05-05-2016,56,102
printer paper,9,05-10-2016,64,107
printer paper,9,05-16-2016,56,113
printer paper,9,05-22-2016,56,117
printer paper,9,05-28-2016,56,122
printer paper,9,06-02-2016,56,127
printer paper,9,06-08-2016,56,133
printer paper,9,06-14-2016,56,138
printer paper,9,06-19-2016,56,143
printer paper,9,06-24-2016,64,147
printer paper,9,07-01-2016,56,153
printer paper,9,07-06-2016,56,158
printer paper,9,07-11-2016,56,162
printer paper,9,07-18-2016,56,167
printer paper,9,07-24-2016,56,173
printer paper,9,07-29-2016,56,178
printer paper,9,08-02-2016,72,182
printer paper,9,08-06-2016,104,186
printer paper,9,08-11-2016,112,191
printer paper,9,08-17-2016,112,196
printer paper,9,08-25-2016,56,202
printer paper,9,08-31-2016,56,207
printer paper,9,09-05-2016,56,212
printer paper,9,09-11-2016,56,217
printer paper,9,09-17-2016,56,222
printer paper,9,09-22-2016,56,226
printer paper,9,09-28-2016,56,230
printer paper,9,10-04-2016,56,235
printer paper,9,10-09-2016,56,240
printer paper,9,10-15-2016,56,246
printer paper,9,10-21-2016,56,252
printer paper,9,10-26-2016,56,257
printer paper,9,10-31-2016,64,262
printer paper,9,11-07-2016,56,269
printer paper,9,11-13-2016,56,275
printer paper,9,11-18-2016,56,280
printer paper,9,11-23-2016,56,285
printer paper,9,11-29-2016,64,291
printer paper,9,12-05-2016,64,297
printer paper,9,12-10-2016,64,301
printer paper,9,12-16-2016,64,306
printer paper,9,12-21-2016,80,311
printer paper,9,12-26-2016,88,316
printer paper,9,01-04-2017,64,320
printer paper,9,01-12-2017,57,327
printer paper,9,01-17-2017,53,332
printer paper,9,01-23-2017,56,337
printer paper,9,01-29-2017,56,342
printer paper,9,02-03-2017,56,347
printer paper,9,02-09-2017,56,353
printer paper,9,02-15-2017,60,359
printer paper,9,02-19-2017,60,363
printer paper,9,02-25-2017,60,369
printer paper,9,03-04-2017,56,375
printer paper,9,03-09-2017,56,378
printer paper,9,03-14-2017,56,383
printer paper,9,03-20-2017,60,388
printer paper,9,03-26-2017,60,393
printer paper,9,03-31-2017,60,398
printer paper,9,04-06-2017,56,403
printer paper,9,04-12-2017,56,409
printer paper,9,04-17-2017,60,414
printer paper,9,04-23-2017,60,419
printer paper,9,04-29-2017,56,425
printer paper,9,05-05-2017,56,431
printer paper,9,05-10-2017,60,436
printer paper,9,05-16-2017,60,441
printer paper,9,05-22-2017,60,447
printer paper,9,05-28-2017,56,453
printer paper,9,06-02-2017,56,458
printer paper,9,06-08-2017,56,463
printer paper,9,06-14-2017,56,468
printer paper,9,06-19-2017,56,473
printer paper,9,06-25-2017,60,479
printer paper,9,07-01-2017,60,485
printer paper,9,07-07-2017,56,491
printer paper,9,07-12-2017,56,496
printer paper,9,07-18-2017,56,502
printer paper,9,07-24-2017,56,508
printer paper,9,07-29-2017,56,513
printer paper,9,08-03-2017,64,517
printer paper,9,08-06-2017,76,520
printer paper,9,08-10-2017,92,524
printer paper,9,08-14-2017,108,528
printer paper,9,08-20-2017,108,533
printer paper,9,08-30-2017,68,540
printer paper,9,09-06-2017,56,545
printer paper,9,09-12-2017,56,550
printer paper,9,09-18-2017,56,556
printer paper,9,09-23-2017,56,561
printer paper,9,09-29-2017,56,566
printer paper,9,10-05-2017,56,572
printer paper,9,10-10-2017,56,577
printer paper,9,10-16-2017,56,583
printer paper,9,10-22-2017,56,588
printer paper,9,10-27-2017,56,592
printer paper,9,11-01-2017,60,597
printer paper,9,11-07-2017,60,602
printer paper,9,11-14-2017,60,608
printer paper,9,11-19-2017,56,613
printer paper,9,11-25-2017,56,619
printer paper,9,11-30-2017,60,624
printer paper,9,12-06-2017,64,629
printer paper,9,12-11-2017,64,633
printer paper,9,12-17-2017,64,638
printer paper,9,12-22-2017,72,642
printer paper,9,12-27-2017,74,646
printer paper,9,01-04-2018,64,653
printer paper,9,01-04-2018,74,653
printer paper,9,01-11-2018,66,660
printer paper,9,01-12-2018,57,661
printer paper,9,01-17-2018,53,666
printer paper,9,01-20-2018,55,669
printer paper,9,01-23-2018,56,672
printer paper,9,01-25-2018,52,674
printer paper,9,01-29-2018,56,678
printer paper,9,01-31-2018,52,680
printer paper,9,02-03-2018,56,683
printer paper,9,02-05-2018,54,685
printer paper,9,02-09-2018,56,689
printer paper,9,02-10-2018,56,690
printer paper,9,02-15-2018,60,695
printer paper,9,02-15-2018,59,695
printer paper,9,02-19-2018,60,699
printer paper,9,02-21-2018,59,701
printer paper,9,02-25-2018,60,705
printer paper,9,02-26-2018,59,706
printer paper,9,03-04-2018,56,712
printer paper,9,03-05-2018,59,713
printer paper,9,03-09-2018,56,717
printer paper,9,03-11-2018,56,719
printer paper,9,03-14-2018,56,722
printer paper,9,03-16-2018,56,724
printer paper,9,03-20-2018,60,728
printer paper,9,03-21-2018,59,729
printer paper,9,03-26-2018,60,734
printer paper,9,03-27-2018,59,735
printer paper,9,03-31-2018,60,739
printer paper,9,04-02-2018,59,741
printer paper,9,04-06-2018,56,745
printer paper,9,04-07-2018,59,746
printer paper,9,04-12-2018,56,751
printer paper,9,04-14-2018,56,753
printer paper,9,04-17-2018,60,756
printer paper,9,04-19-2018,59,758
printer paper,9,04-23-2018,60,762
printer paper,9,04-24-2018,59,763
printer paper,9,04-29-2018,56,768
printer paper,9,05-01-2018,59,770
printer paper,9,05-05-2018,56,774
printer paper,9,05-07-2018,56,776
printer paper,9,05-10-2018,60,779
printer paper,9,05-12-2018,59,781
printer paper,9,05-16-2018,60,785
printer paper,9,05-17-2018,59,786
printer paper,9,05-22-2018,60,791
printer paper,9,05-24-2018,59,793
printer paper,9,05-28-2018,56,797
printer paper,9,05-30-2018,59,799
printer paper,9,06-02-2018,56,802
printer paper,9,06-04-2018,56,804
printer paper,9,06-08-2018,56,808
printer paper,9,06-10-2018,56,810
printer paper,9,06-14-2018,56,814
printer paper,9,06-16-2018,56,816
printer paper,9,06-19-2018,56,819
printer paper,9,06-22-2018,59,822
printer paper,9,06-25-2018,60,825
printer paper,9,06-26-2018,59,826
printer paper,9,07-01-2018,60,831
printer paper,9,07-03-2018,59,833
printer paper,9,07-07-2018,56,837
printer paper,9,07-09-2018,59,839
printer paper,9,07-12-2018,56,842
printer paper,9,07-15-2018,56,845
printer paper,9,07-18-2018,56,848
printer paper,9,07-20-2018,56,850
printer paper,9,07-24-2018,56,854
printer paper,9,07-26-2018,56,856
printer paper,9,07-29-2018,56,859
printer paper,9,08-01-2018,56,862
printer paper,9,08-03-2018,64,864
printer paper,9,08-04-2018,64,865
printer paper,9,08-06-2018,76,867
printer paper,9,08-07-2018,72,868
printer paper,9,08-10-2018,92,871
printer paper,9,08-11-2018,83,872
printer paper,9,08-14-2018,108,875
printer paper,9,08-15-2018,94,876
printer paper,9,08-19-2018,104,880
printer paper,9,08-20-2018,108,881
printer paper,9,08-29-2018,86,889
printer paper,9,08-30-2018,68,890
printer paper,9,09-06-2018,56,896
printer paper,9,09-07-2018,62,897
printer paper,9,09-12-2018,56,902
printer paper,9,09-13-2018,56,903
printer paper,9,09-18-2018,56,908
printer paper,9,09-20-2018,56,910
printer paper,9,09-23-2018,56,913
printer paper,9,09-25-2018,56,915
printer paper,9,09-29-2018,56,919
printer paper,9,09-30-2018,56,920
printer paper,9,10-05-2018,56,925
printer paper,9,10-06-2018,56,926
printer paper,9,10-10-2018,56,930
printer paper,9,10-12-2018,56,932
printer paper,9,10-16-2018,56,936
printer paper,9,10-17-2018,56,937
printer paper,9,10-22-2018,56,942
printer paper,9,10-23-2018,56,943
printer paper,9,10-27-2018,56,947
printer paper,9,10-29-2018,56,949
printer paper,9,11-01-2018,60,952
printer paper,9,11-03-2018,59,954
printer paper,9,11-07-2018,60,958
printer paper,9,11-09-2018,59,960
printer paper,9,11-14-2018,60,965
printer paper,9,11-16-2018,57,967
printer paper,9,11-19-2018,56,970
printer paper,9,11-22-2018,54,973
printer paper,9,11-25-2018,56,976
printer paper,9,11-27-2018,54,978
printer paper,9,11-30-2018,60,981
printer paper,9,12-02-2018,57,983
printer paper,9,12-06-2018,64,986
printer paper,9,12-07-2018,62,987
printer paper,9,12-11-2018,64,991
printer paper,9,12-13-2018,64,993
printer paper,9,12-17-2018,64,997
printer paper,9,12-18-2018,64,998
printer paper,9,12-22-2018,72,1002
printer paper,9,12-23-2018,72,1003
printer paper,9,12-27-2018,74,1007
printer paper,9,12-27-2018,75,1007
printer paper,9,01-03-2019,75,1013
printer paper,9,01-04-2019,64,1014
printer paper,9,01-04-2019,74,1014
printer paper,9,01-11-2019,66,1021
printer paper,9,01-11-2019,70,1021
printer paper,9,01-12-2019,57,1022
printer paper,9,01-17-2019,53,1027
printer paper,9,01-17-2019,66,1027
printer paper,9,01-20-2019,55,1030
printer paper,9,01-23-2019,56,1033
printer paper,9,01-24-2019,59,1034
printer paper,9,01-25-2019,52,1035
printer paper,9,01-29-2019,56,1039
printer paper,9,01-31-2019,52,1041
printer paper,9,01-31-2019,56,1041
printer paper,9,02-03-2019,56,1044
printer paper,9,02-05-2019,54,1046
printer paper,9,02-05-2019,56,1046
printer paper,9,02-09-2019,56,1050
printer paper,9,02-10-2019,56,1051
printer paper,9,02-10-2019,56,1051
printer paper,9,02-15-2019,60,1056
printer paper,9,02-15-2019,59,1056
printer paper,9,02-16-2019,59,1057
printer paper,9,02-19-2019,60,1060
printer paper,9,02-21-2019,59,1062
printer paper,9,02-22-2019,59,1063
printer paper,9,02-25-2019,60,1066
printer paper,9,02-26-2019,59,1067
printer paper,9,02-27-2019,59,1068
printer paper,9,03-04-2019,56,1073
printer paper,9,03-05-2019,59,1074
printer paper,9,03-06-2019,57,1075
printer paper,9,03-09-2019,56,1078
printer paper,9,03-11-2019,56,1080
printer paper,9,03-12-2019,57,1081
printer paper,9,03-14-2019,56,1083
printer paper,9,03-16-2019,56,1085
printer paper,9,03-18-2019,57,1087
printer paper,9,03-20-2019,60,1089
printer paper,9,03-21-2019,59,1090
printer paper,9,03-22-2019,57,1091
printer paper,9,03-26-2019,60,1095
printer paper,9,03-27-2019,59,1096
printer paper,9,03-28-2019,57,1097
printer paper,9,03-31-2019,60,1100
printer paper,9,04-02-2019,59,1102
printer paper,9,04-03-2019,59,1103
printer paper,9,04-06-2019,56,1106
printer paper,9,04-07-2019,59,1107
printer paper,9,04-09-2019,59,1109
printer paper,9,04-12-2019,56,1112
printer paper,9,04-14-2019,56,1114
printer paper,9,04-15-2019,59,1115
printer paper,9,04-17-2019,60,1117
printer paper,9,04-19-2019,59,1119
printer paper,9,04-20-2019,59,1120
printer paper,9,04-23-2019,60,1123
printer paper,9,04-24-2019,59,1124
printer paper,9,04-26-2019,59,1126
printer paper,9,04-29-2019,56,1129
printer paper,9,05-01-2019,59,1131
printer paper,9,05-02-2019,59,1132
printer paper,9,05-05-2019,56,1135
printer paper,9,05-07-2019,56,1137
printer paper,9,05-08-2019,59,1138
printer paper,9,05-10-2019,60,1140
printer paper,9,05-12-2019,59,1142
printer paper,9,05-14-2019,59,1144
printer paper,9,05-16-2019,60,1146
printer paper,9,05-17-2019,59,1147
printer paper,9,05-19-2019,59,1149
printer paper,9,05-22-2019,60,1152
printer paper,9,05-24-2019,59,1154
printer paper,9,05-25-2019,59,1155
printer paper,9,05-28-2019,56,1158
printer paper,9,05-30-2019,59,1160
printer paper,9,05-31-2019,59,1161
printer paper,9,06-02-2019,56,1163
printer paper,9,06-04-2019,56,1165
printer paper,9,06-06-2019,59,1167
printer paper,9,06-08-2019,56,1169
printer paper,9,06-10-2019,56,1171
printer paper,9,06-12-2019,56,1173
printer paper,9,06-14-2019,56,1175
printer paper,9,06-16-2019,56,1177
printer paper,9,06-18-2019,56,1179
printer paper,9,06-19-2019,56,1180
printer paper,9,06-22-2019,59,1183
printer paper,9,06-23-2019,59,1184
printer paper,9,06-25-2019,60,1186
printer paper,9,06-26-2019,59,1187
printer paper,9,06-29-2019,59,1190
printer paper,9,07-01-2019,60,1192
printer paper,9,07-03-2019,59,1194
printer paper,9,07-04-2019,59,1195
printer paper,9,07-07-2019,56,1198
printer paper,9,07-09-2019,59,1200
printer paper,9,07-11-2019,59,1202
printer paper,9,07-12-2019,56,1203
printer paper,9,07-15-2019,56,1206
printer paper,9,07-17-2019,59,1208
printer paper,9,07-18-2019,56,1209
printer paper,9,07-20-2019,56,1211
printer paper,9,07-22-2019,56,1213
printer paper,9,07-24-2019,56,1215
printer paper,9,07-26-2019,56,1217
printer paper,9,07-28-2019,56,1219
printer paper,9,07-29-2019,56,1220
printer paper,9,08-01-2019,56,1223
printer paper,9,08-02-2019,59,1224
printer paper,9,08-03-2019,64,1225
printer paper,9,08-04-2019,64,1226
printer paper,9,08-05-2019,64,1227
printer paper,9,08-06-2019,76,1228
printer paper,9,08-07-2019,72,1229
printer paper,9,08-09-2019,72,1231
printer paper,9,08-10-2019,92,1232
printer paper,9,08-11-2019,83,1233
printer paper,9,08-12-2019,78,1234
printer paper,9,08-14-2019,108,1236
printer paper,9,08-15-2019,94,1237
printer paper,9,08-16-2019,86,1238
printer paper,9,08-19-2019,104,1241
printer paper,9,08-20-2019,108,1242
printer paper,9,08-20-2019,92,1242
printer paper,9,08-29-2019,86,1251
printer paper,9,08-29-2019,92,1251
printer paper,9,08-30-2019,68,1252
printer paper,9,09-06-2019,56,1259
printer paper,9,09-07-2019,62,1260
printer paper,9,09-08-2019,72,1261
printer paper,9,09-12-2019,56,1265
printer paper,9,09-13-2019,56,1266
printer paper,9,09-15-2019,59,1268
printer paper,9,09-18-2019,56,1271
printer paper,9,09-20-2019,56,1273
printer paper,9,09-21-2019,56,1274
printer paper,9,09-23-2019,56,1276
printer paper,9,09-25-2019,56,1278
printer paper,9,09-27-2019,56,1280
printer paper,9,09-29-2019,56,1282
printer paper,9,09-30-2019,56,1283
printer paper,9,10-03-2019,56,1286
printer paper,9,10-05-2019,56,1288
printer paper,9,10-06-2019,56,1289
printer paper,9,10-08-2019,56,1291
printer paper,9,10-10-2019,56,1293
printer paper,9,10-12-2019,56,1295
printer paper,9,10-14-2019,56,1297
printer paper,9,10-16-2019,56,1299
printer paper,9,10-17-2019,56,1300
printer paper,9,10-20-2019,56,1303
printer paper,9,10-22-2019,56,1305
printer paper,9,10-23-2019,56,1306
printer paper,9,10-25-2019,56,1308
printer paper,9,10-27-2019,56,1310
printer paper,9,10-29-2019,56,1312
printer paper,9,10-31-2019,56,1314
printer paper,9,11-01-2019,60,1315
printer paper,9,11-03-2019,59,1317
printer paper,9,11-05-2019,59,1319
printer paper,9,11-07-2019,60,1321
printer paper,9,11-09-2019,59,1323
printer paper,9,11-10-2019,59,1324
printer paper,9,11-14-2019,60,1328
printer paper,9,11-16-2019,57,1330
printer paper,9,11-17-2019,59,1331
printer paper,9,11-19-2019,56,1333
printer paper,9,11-22-2019,54,1336
printer paper,9,11-23-2019,59,1337
printer paper,9,11-25-2019,56,1339
printer paper,9,11-27-2019,54,1341
printer paper,9,11-29-2019,59,1343
printer paper,9,11-30-2019,60,1344
printer paper,9,12-02-2019,57,1346
printer paper,9,12-03-2019,59,1347
printer paper,9,12-06-2019,64,1350
printer paper,9,12-07-2019,62,1351
printer paper,9,12-09-2019,60,1353
printer paper,9,12-11-2019,64,1355
printer paper,9,12-13-2019,64,1357
printer paper,9,12-14-2019,62,1358
printer paper,9,12-17-2019,64,1361
printer paper,9,12-18-2019,64,1362
printer paper,9,12-20-2019,66,1364
printer paper,9,12-22-2019,72,1366
printer paper,9,12-23-2019,72,1367
printer paper,9,12-24-2019,72,1368
printer paper,9,12-27-2019,74,1371
printer paper,9,12-27-2019,75,1371
printer paper,9,12-29-2019,72,1373
printer paper,9,01-03-2020,75,1378
printer paper,9,01-04-2020,64,1379
printer paper,9,01-04-2020,74,1379
printer paper,9,01-06-2020,72,1381
printer paper,9,01-11-2020,66,1386
printer paper,9,01-11-2020,70,1386
printer paper,9,01-12-2020,57,1387
printer paper,9,01-13-2020,69,1388
printer paper,9,01-17-2020,53,1392
printer paper,9,01-17-2020,66,1392
printer paper,9,01-19-2020,68,1394
printer paper,9,01-20-2020,55,1395
printer paper,9,01-23-2020,56,1398
printer paper,9,01-24-2020,59,1399
printer paper,9,01-25-2020,52,1400
printer paper,9,01-26-2020,63,1401
printer paper,9,01-29-2020,56,1404
printer paper,9,01-31-2020,52,1406
printer paper,9,01-31-2020,56,1406
printer paper,9,02-02-2020,58,1408
printer paper,9,02-03-2020,56,1409
printer paper,9,02-05-2020,54,1411
printer paper,9,02-05-2020,56,1411
printer paper,9,02-08-2020,56,1414
printer paper,9,02-09-2020,56,1415
printer paper,9,02-10-2020,56,1416
printer paper,9,02-10-2020,56,1416
printer paper,9,02-13-2020,56,1419
printer paper,9,02-15-2020,60,1421
printer paper,9,02-15-2020,59,1421
printer paper,9,02-16-2020,59,1422
printer paper,9,02-18-2020,58,1424
printer paper,9,02-19-2020,60,1425
printer paper,9,02-21-2020,59,1427
printer paper,9,02-22-2020,59,1428
printer paper,9,02-24-2020,58,1430
printer paper,9,02-25-2020,60,1431
printer paper,9,02-26-2020,59,1432
printer paper,9,02-27-2020,59,1433
printer paper,9,03-01-2020,58,1436
printer paper,9,03-03-2020,56,1438
printer paper,9,03-04-2020,59,1439
printer paper,9,03-05-2020,57,1440
printer paper,9,03-06-2020,58,1441
printer paper,9,03-08-2020,56,1443
printer paper,9,03-10-2020,56,1445
printer paper,9,03-11-2020,57,1446
printer paper,9,03-12-2020,58,1447
printer paper,9,03-13-2020,56,1448
printer paper,9,03-15-2020,56,1450
printer paper,9,03-17-2020,57,1452
printer paper,9,03-18-2020,60,1453
printer paper,9,03-19-2020,60,1454
printer paper,9,03-20-2020,59,1455
printer paper,9,03-21-2020,57,1456
printer paper,9,03-23-2020,58,1458
printer paper,9,03-25-2020,60,1460
printer paper,9,03-26-2020,59,1461
printer paper,9,03-27-2020,57,1462
printer paper,9,03-29-2020,58,1464
printer paper,9,03-30-2020,60,1465
printer paper,9,04-01-2020,59,1467
printer paper,9,04-02-2020,59,1468
printer paper,9,04-04-2020,58,1470
printer paper,9,04-05-2020,56,1471
printer paper,9,04-06-2020,59,1472
printer paper,9,04-08-2020,59,1474
printer paper,9,04-10-2020,58,1476
printer paper,9,04-11-2020,56,1477
printer paper,9,04-13-2020,56,1479
printer paper,9,04-14-2020,59,1480
printer paper,9,04-15-2020,60,1481
printer paper,9,04-16-2020,60,1482
printer paper,9,04-18-2020,59,1484
printer paper,9,04-19-2020,59,1485
printer paper,9,04-21-2020,58,1487
printer paper,9,04-22-2020,60,1488
printer paper,9,04-23-2020,59,1489
printer paper,9,04-25-2020,59,1491
printer paper,9,04-27-2020,58,1493
printer paper,9,04-28-2020,56,1494
printer paper,9,04-30-2020,59,1496
printer paper,9,05-01-2020,59,1497
printer paper,9,05-03-2020,58,1499
printer paper,9,05-04-2020,56,1500
printer paper,9,05-06-2020,56,1502
printer paper,9,05-07-2020,59,1503
printer paper,9,05-08-2020,58,1504
printer paper,9,05-09-2020,60,1505
printer paper,9,05-11-2020,59,1507
printer paper,9,05-13-2020,59,1509
printer paper,9,05-14-2020,60,1510
printer paper,9,05-15-2020,60,1511
printer paper,9,05-16-2020,59,1512
printer paper,9,05-18-2020,59,1514
printer paper,9,05-20-2020,58,1516
printer paper,9,05-21-2020,60,1517
printer paper,9,05-23-2020,59,1519
printer paper,9,05-24-2020,59,1520
printer paper,9,05-25-2020,58,1521
printer paper,9,05-27-2020,56,1523
printer paper,9,05-29-2020,59,1525
printer paper,9,05-30-2020,59,1526
printer paper,9,05-31-2020,58,1527
printer paper,9,06-01-2020,56,1528
printer paper,9,06-03-2020,56,1530
printer paper,9,06-05-2020,59,1532
printer paper,9,06-06-2020,58,1533
printer paper,9,06-07-2020,56,1534
printer paper,9,06-09-2020,56,1536
printer paper,9,06-11-2020,56,1538
printer paper,9,06-12-2020,58,1539
printer paper,9,06-13-2020,56,1540
printer paper,9,06-15-2020,56,1542
printer paper,9,06-17-2020,56,1544
printer paper,9,06-17-2020,56,1544
printer paper,9,06-18-2020,56,1545
printer paper,9,06-21-2020,59,1548
printer paper,9,06-22-2020,59,1549
printer paper,9,06-23-2020,58,1550
printer paper,9,06-24-2020,60,1551
printer paper,9,06-25-2020,59,1552
printer paper,9,06-28-2020,59,1555
printer paper,9,06-29-2020,58,1556
printer paper,9,06-30-2020,60,1557
printer paper,9,07-02-2020,59,1559
printer paper,9,07-03-2020,59,1560
printer paper,9,07-04-2020,58,1561
printer paper,9,07-06-2020,56,1563
printer paper,9,07-08-2020,59,1565
printer paper,9,07-10-2020,59,1567
printer paper,9,07-10-2020,58,1567
printer paper,9,07-11-2020,56,1568
printer paper,9,07-14-2020,56,1571
printer paper,9,07-16-2020,59,1573
printer paper,9,07-17-2020,56,1574
printer paper,9,07-17-2020,58,1574
printer paper,9,07-19-2020,56,1576
printer paper,9,07-21-2020,56,1578
printer paper,9,07-22-2020,58,1579
printer paper,9,07-23-2020,56,1580
printer paper,9,07-25-2020,56,1582
printer paper,9,07-27-2020,56,1584
printer paper,9,07-28-2020,56,1585
printer paper,9,07-28-2020,56,1585
printer paper,9,07-31-2020,56,1588
printer paper,9,08-01-2020,59,1589
printer paper,9,08-02-2020,64,1590
printer paper,9,08-02-2020,60,1590
printer paper,9,08-03-2020,64,1591
printer paper,9,08-04-2020,64,1592
printer paper,9,08-04-2020,63,1592
printer paper,9,08-05-2020,76,1593
printer paper,9,08-06-2020,72,1594
printer paper,9,08-08-2020,72,1596
printer paper,9,08-08-2020,69,1596
printer paper,9,08-09-2020,92,1597
printer paper,9,08-10-2020,83,1598
printer paper,9,08-11-2020,78,1599
printer paper,9,08-11-2020,74,1599
printer paper,9,08-13-2020,108,1601
printer paper,9,08-14-2020,94,1602
printer paper,9,08-15-2020,86,1603
printer paper,9,08-15-2020,80,1603
printer paper,9,08-18-2020,104,1606
printer paper,9,08-19-2020,108,1607
printer paper,9,08-19-2020,92,1607
printer paper,9,08-19-2020,85,1607
printer paper,9,08-27-2020,85,1615
printer paper,9,08-28-2020,86,1616
printer paper,9,08-28-2020,92,1616
printer paper,9,08-29-2020,68,1617
printer paper,9,09-05-2020,56,1624
printer paper,9,09-05-2020,84,1624
printer paper,9,09-06-2020,62,1625
printer paper,9,09-07-2020,72,1626
printer paper,9,09-11-2020,56,1630
