Item,Item ID,Day,Quantity,Order Number
produce bags,13,01-14-2016,140,6
produce bags,13,01-19-2016,140,11
produce bags,13,01-24-2016,140,16
produce bags,13,01-30-2016,140,22
produce bags,13,02-04-2016,140,27
produce bags,13,02-10-2016,140,33
produce bags,13,02-15-2016,160,37
produce bags,13,02-21-2016,160,42
produce bags,13,02-27-2016,140,47
produce bags,13,03-04-2016,140,51
produce bags,13,03-10-2016,140,55
produce bags,13,03-15-2016,140,60
produce bags,13,03-20-2016,160,65
produce bags,13,03-26-2016,140,70
produce bags,13,03-31-2016,140,75
produce bags,13,04-06-2016,140,80
produce bags,13,04-12-2016,140,84
produce bags,13,04-16-2016,160,87
produce bags,13,04-22-2016,140,92
produce bags,13,04-28-2016,140,97
produce bags,13,05-04-2016,140,101
produce bags,13,05-08-2016,140,105
produce bags,13,05-14-2016,160,111
produce bags,13,05-20-2016,140,116
produce bags,13,05-25-2016,140,120
produce bags,13,05-31-2016,140,125
produce bags,13,06-06-2016,140,131
produce bags,13,06-11-2016,140,136
produce bags,13,06-16-2016,140,140
produce bags,13,06-22-2016,160,145
produce bags,13,06-27-2016,140,149
produce bags,13,07-03-2016,140,155
produce bags,13,07-09-2016,140,160
produce bags,13,07-14-2016,140,163
produce bags,13,07-19-2016,140,168
produce bags,13,07-25-2016,140,174
produce bags,13,07-31-2016,140,180
produce bags,13,08-03-2016,200,183
produce bags,13,08-07-2016,280,187
produce bags,13,08-12-2016,280,192
produce bags,13,08-18-2016,280,197
produce bags,13,08-27-2016,140,204
produce bags,13,09-02-2016,140,209
produce bags,13,09-08-2016,140,215
produce bags,13,09-13-2016,140,219
produce bags,13,09-19-2016,140,224
produce bags,13,09-24-2016,140,227
produce bags,13,09-29-2016,140,231
produce bags,13,10-05-2016,140,236
produce bags,13,10-11-2016,140,242
produce bags,13,10-16-2016,140,247
produce bags,13,10-22-2016,140,253
produce bags,13,10-28-2016,140,259
produce bags,13,11-01-2016,160,263
produce bags,13,11-07-2016,140,269
produce bags,13,11-13-2016,140,275
produce bags,13,11-18-2016,140,280
produce bags,13,11-24-2016,140,286
produce bags,13,11-29-2016,160,291
produce bags,13,12-05-2016,160,297
produce bags,13,12-10-2016,160,301
produce bags,13,12-16-2016,160,306
produce bags,13,12-21-2016,200,311
produce bags,13,12-25-2016,220,315
produce bags,13,01-03-2017,160,319
produce bags,13,01-10-2017,143,325
produce bags,13,01-16-2017,133,331
produce bags,13,01-22-2017,140,336
produce bags,13,01-27-2017,140,341
produce bags,13,02-01-2017,140,345
produce bags,13,02-07-2017,140,351
produce bags,13,02-12-2017,140,356
produce bags,13,02-17-2017,150,361
produce bags,13,02-23-2017,150,367
produce bags,13,03-01-2017,140,373
produce bags,13,03-06-2017,140,377
produce bags,13,03-12-2017,140,381
produce bags,13,03-17-2017,140,385
produce bags,13,03-21-2017,150,389
produce bags,13,03-28-2017,150,395
produce bags,13,04-03-2017,140,400
produce bags,13,04-07-2017,140,404
produce bags,13,04-14-2017,140,411
produce bags,13,04-18-2017,150,415
produce bags,13,04-24-2017,150,420
produce bags,13,04-30-2017,140,426
produce bags,13,05-06-2017,140,432
produce bags,13,05-11-2017,150,437
produce bags,13,05-16-2017,150,441
produce bags,13,05-22-2017,150,447
produce bags,13,05-28-2017,140,453
produce bags,13,06-02-2017,140,458
produce bags,13,06-08-2017,140,463
produce bags,13,06-14-2017,140,468
produce bags,13,06-19-2017,140,473
produce bags,13,06-24-2017,150,478
produce bags,13,06-30-2017,150,484
produce bags,13,07-05-2017,140,489
produce bags,13,07-11-2017,140,495
produce bags,13,07-17-2017,140,501
produce bags,13,07-22-2017,140,506
produce bags,13,07-28-2017,140,512
produce bags,13,08-02-2017,150,516
produce bags,13,08-05-2017,180,519
produce bags,13,08-09-2017,220,523
produce bags,13,08-13-2017,260,527
produce bags,13,08-18-2017,280,531
produce bags,13,08-28-2017,190,538
produce bags,13,09-04-2017,140,543
produce bags,13,09-10-2017,140,548
produce bags,13,09-15-2017,140,553
