Item,Item ID,Day,Quantity,Order Number
scanner batt,11,01-12-2016,49,4
scanner batt,11,01-17-2016,49,9
scanner batt,11,01-24-2016,49,16
scanner batt,11,01-30-2016,49,22
scanner batt,11,02-04-2016,49,27
scanner batt,11,02-10-2016,49,33
scanner batt,11,02-15-2016,56,37
scanner batt,11,02-22-2016,49,43
scanner batt,11,02-27-2016,49,47
scanner batt,11,03-04-2016,49,51
scanner batt,11,03-10-2016,49,55
scanner batt,11,03-15-2016,49,60
scanner batt,11,03-20-2016,56,65
scanner batt,11,03-27-2016,49,71
scanner batt,11,04-02-2016,49,77
scanner batt,11,04-07-2016,49,81
scanner batt,11,04-13-2016,49,85
scanner batt,11,04-18-2016,56,89
scanner batt,11,04-24-2016,49,94
scanner batt,11,04-30-2016,49,99
scanner batt,11,05-06-2016,49,103
scanner batt,11,05-11-2016,56,108
scanner batt,11,05-17-2016,49,114
scanner batt,11,05-23-2016,49,118
scanner batt,11,05-29-2016,49,123
scanner batt,11,06-04-2016,49,129
scanner batt,11,06-09-2016,49,134
scanner batt,11,06-15-2016,49,139
scanner batt,11,06-21-2016,56,144
scanner batt,11,06-27-2016,49,149
scanner batt,11,07-02-2016,49,154
scanner batt,11,07-09-2016,49,160
scanner batt,11,07-14-2016,49,163
scanner batt,11,07-19-2016,49,168
scanner batt,11,07-26-2016,49,175
scanner batt,11,08-01-2016,56,181
scanner batt,11,08-03-2016,70,183
scanner batt,11,08-08-2016,98,188
scanner batt,11,08-14-2016,98,193
scanner batt,11,08-19-2016,91,198
scanner batt,11,08-30-2016,49,206
scanner batt,11,09-05-2016,49,212
scanner batt,11,09-11-2016,49,217
scanner batt,11,09-17-2016,49,222
scanner batt,11,09-22-2016,49,226
scanner batt,11,09-28-2016,49,230
scanner batt,11,10-04-2016,49,235
scanner batt,11,10-10-2016,49,241
scanner batt,11,10-15-2016,49,246
scanner batt,11,10-21-2016,49,252
scanner batt,11,10-27-2016,49,258
scanner batt,11,11-01-2016,56,263
scanner batt,11,11-07-2016,49,269
scanner batt,11,11-14-2016,49,276
scanner batt,11,11-19-2016,49,281
scanner batt,11,11-24-2016,49,286
scanner batt,11,11-30-2016,56,292
scanner batt,11,12-06-2016,56,298
scanner batt,11,12-12-2016,56,303
scanner batt,11,12-18-2016,56,308
scanner batt,11,12-22-2016,77,312
scanner batt,11,12-27-2016,77,317
scanner batt,11,01-08-2017,54,323
scanner batt,11,01-14-2017,50,329
scanner batt,11,01-20-2017,49,334
scanner batt,11,01-25-2017,49,339
scanner batt,11,02-01-2017,49,345
scanner batt,11,02-07-2017,49,351
scanner batt,11,02-12-2017,49,356
scanner batt,11,02-17-2017,53,361
scanner batt,11,02-23-2017,53,367
scanner batt,11,03-01-2017,49,373
scanner batt,11,03-06-2017,49,377
scanner batt,11,03-13-2017,49,382
scanner batt,11,03-18-2017,53,386
scanner batt,11,03-24-2017,53,391
scanner batt,11,03-30-2017,53,397
scanner batt,11,04-05-2017,49,402
scanner batt,11,04-11-2017,49,408
scanner batt,11,04-16-2017,53,413
scanner batt,11,04-22-2017,53,418
scanner batt,11,04-29-2017,49,425
scanner batt,11,05-04-2017,49,430
scanner batt,11,05-10-2017,53,436
scanner batt,11,05-16-2017,53,441
scanner batt,11,05-22-2017,53,447
scanner batt,11,05-28-2017,49,453
scanner batt,11,06-02-2017,49,458
scanner batt,11,06-09-2017,49,464
scanner batt,11,06-15-2017,49,469
scanner batt,11,06-20-2017,49,474
scanner batt,11,06-25-2017,53,479
scanner batt,11,07-01-2017,53,485
scanner batt,11,07-08-2017,49,492
scanner batt,11,07-13-2017,49,497
scanner batt,11,07-19-2017,49,503
scanner batt,11,07-25-2017,49,509
scanner batt,11,07-30-2017,49,514
scanner batt,11,08-03-2017,56,517
scanner batt,11,08-07-2017,70,521
scanner batt,11,08-11-2017,84,525
scanner batt,11,08-16-2017,98,529
scanner batt,11,08-22-2017,88,535
scanner batt,11,09-02-2017,49,542
scanner batt,11,09-07-2017,49,546
scanner batt,11,09-13-2017,49,551
scanner batt,11,09-19-2017,49,557
scanner batt,11,09-25-2017,49,562
scanner batt,11,09-30-2017,49,567
scanner batt,11,10-06-2017,49,573
scanner batt,11,10-12-2017,49,579
scanner batt,11,10-18-2017,49,585
scanner batt,11,10-23-2017,49,589
scanner batt,11,10-30-2017,49,595
scanner batt,11,11-03-2017,53,599
scanner batt,11,11-09-2017,53,604
scanner batt,11,11-16-2017,49,610
scanner batt,11,11-22-2017,49,616
scanner batt,11,11-27-2017,49,621
scanner batt,11,12-02-2017,53,626
scanner batt,11,12-08-2017,56,631
scanner batt,11,12-13-2017,56,635
scanner batt,11,12-19-2017,56,640
scanner batt,11,12-24-2017,65,644
scanner batt,11,12-31-2017,65,649
scanner batt,11,01-07-2018,65,656
scanner batt,11,01-08-2018,54,657
scanner batt,11,01-14-2018,50,663
scanner batt,11,01-15-2018,52,664
scanner batt,11,01-20-2018,49,669
scanner batt,11,01-23-2018,46,672
scanner batt,11,01-25-2018,49,674
scanner batt,11,01-29-2018,46,678
scanner batt,11,02-01-2018,49,681
scanner batt,11,02-02-2018,46,682
scanner batt,11,02-07-2018,49,687
scanner batt,11,02-08-2018,49,688
scanner batt,11,02-12-2018,49,692
scanner batt,11,02-14-2018,49,694
scanner batt,11,02-17-2018,53,697
scanner batt,11,02-18-2018,52,698
scanner batt,11,02-23-2018,53,703
scanner batt,11,02-25-2018,52,705
scanner batt,11,03-01-2018,49,709
scanner batt,11,03-03-2018,52,711
scanner batt,11,03-06-2018,49,714
scanner batt,11,03-09-2018,49,717
scanner batt,11,03-13-2018,49,721
scanner batt,11,03-14-2018,49,722
scanner batt,11,03-18-2018,53,726
scanner batt,11,03-20-2018,52,728
scanner batt,11,03-24-2018,53,732
scanner batt,11,03-26-2018,52,734
scanner batt,11,03-30-2018,53,738
scanner batt,11,03-31-2018,52,739
scanner batt,11,04-05-2018,49,744
scanner batt,11,04-06-2018,52,745
scanner batt,11,04-11-2018,49,750
scanner batt,11,04-13-2018,49,752
scanner batt,11,04-16-2018,53,755
scanner batt,11,04-18-2018,52,757
scanner batt,11,04-22-2018,53,761
scanner batt,11,04-23-2018,52,762
scanner batt,11,04-29-2018,49,768
scanner batt,11,04-30-2018,52,769
scanner batt,11,05-04-2018,49,773
scanner batt,11,05-06-2018,49,775
scanner batt,11,05-10-2018,53,779
