Item,Item ID,Day,Quantity,Order Number
soap,14,01-09-2016,133,2
soap,14,01-16-2016,133,8
soap,14,01-21-2016,133,13
soap,14,01-26-2016,133,18
soap,14,02-01-2016,133,24
soap,14,02-07-2016,133,30
soap,14,02-12-2016,133,35
soap,14,02-17-2016,152,39
soap,14,02-23-2016,133,44
soap,14,02-29-2016,133,49
soap,14,03-05-2016,133,52
soap,14,03-11-2016,133,56
soap,14,03-16-2016,133,61
soap,14,03-21-2016,152,66
soap,14,03-27-2016,133,71
soap,14,04-02-2016,133,77
soap,14,04-07-2016,133,81
soap,14,04-13-2016,133,85
soap,14,04-18-2016,152,89
soap,14,04-24-2016,133,94
soap,14,04-29-2016,133,98
soap,14,05-05-2016,133,102
soap,14,05-10-2016,152,107
soap,14,05-16-2016,133,113
soap,14,05-22-2016,133,117
soap,14,05-28-2016,133,122
soap,14,06-01-2016,133,126
soap,14,06-08-2016,133,133
soap,14,06-13-2016,133,137
soap,14,06-18-2016,133,142
soap,14,06-24-2016,152,147
soap,14,06-30-2016,133,152
soap,14,07-05-2016,133,157
soap,14,07-11-2016,133,162
soap,14,07-17-2016,133,166
soap,14,07-22-2016,133,171
soap,14,07-27-2016,133,176
soap,14,08-02-2016,171,182
soap,14,08-05-2016,228,185
soap,14,08-10-2016,266,190
soap,14,08-16-2016,266,195
soap,14,08-22-2016,190,200
soap,14,08-30-2016,133,206
soap,14,09-05-2016,133,212
soap,14,09-11-2016,133,217
soap,14,09-16-2016,133,221
soap,14,09-21-2016,133,225
soap,14,09-27-2016,133,229
soap,14,10-03-2016,133,234
soap,14,10-08-2016,133,239
soap,14,10-14-2016,133,245
soap,14,10-20-2016,133,251
soap,14,10-25-2016,133,256
soap,14,10-31-2016,152,262
soap,14,11-06-2016,152,268
soap,14,11-12-2016,133,274
soap,14,11-17-2016,133,279
soap,14,11-23-2016,133,285
soap,14,11-28-2016,152,290
soap,14,12-04-2016,152,296
soap,14,12-09-2016,152,300
soap,14,12-15-2016,152,305
soap,14,12-20-2016,171,310
soap,14,12-24-2016,228,314
soap,14,01-03-2017,152,319
soap,14,01-09-2017,145,324
soap,14,01-16-2017,126,331
soap,14,01-22-2017,133,336
soap,14,01-27-2017,133,341
soap,14,02-01-2017,133,345
soap,14,02-07-2017,133,351
soap,14,02-12-2017,133,356
soap,14,02-17-2017,143,361
soap,14,02-23-2017,143,367
soap,14,03-01-2017,133,373
soap,14,03-06-2017,133,377
soap,14,03-12-2017,133,381
soap,14,03-18-2017,143,386
soap,14,03-22-2017,143,390
soap,14,03-29-2017,143,396
soap,14,04-04-2017,133,401
soap,14,04-09-2017,133,406
soap,14,04-14-2017,133,411
soap,14,04-20-2017,143,417
soap,14,04-25-2017,143,421
soap,14,05-01-2017,133,427
soap,14,05-07-2017,133,433
soap,14,05-12-2017,143,438
soap,14,05-17-2017,143,442
soap,14,05-24-2017,133,449
