Item,Item ID,Day,Quantity,Order Number
toilet paper,1,01-12-2016,98,4
toilet paper,1,01-17-2016,98,9
toilet paper,1,01-23-2016,98,15
toilet paper,1,01-29-2016,98,21
toilet paper,1,02-03-2016,98,26
toilet paper,1,02-09-2016,98,32
toilet paper,1,02-15-2016,112,37
toilet paper,1,02-19-2016,112,40
toilet paper,1,02-26-2016,98,46
toilet paper,1,03-03-2016,98,50
toilet paper,1,03-08-2016,98,53
toilet paper,1,03-13-2016,98,58
toilet paper,1,03-18-2016,112,63
toilet paper,1,03-25-2016,98,69
toilet paper,1,03-30-2016,98,74
toilet paper,1,04-05-2016,98,79
toilet paper,1,04-11-2016,98,83
toilet paper,1,04-15-2016,112,86
toilet paper,1,04-21-2016,98,91
toilet paper,1,04-27-2016,98,96
toilet paper,1,05-03-2016,98,100
toilet paper,1,05-08-2016,98,105
toilet paper,1,05-13-2016,112,110
toilet paper,1,05-20-2016,98,116
toilet paper,1,05-25-2016,98,120
toilet paper,1,05-31-2016,98,125
toilet paper,1,06-06-2016,98,131
toilet paper,1,06-11-2016,98,136
toilet paper,1,06-16-2016,98,140
toilet paper,1,06-22-2016,112,145
toilet paper,1,06-28-2016,98,150
toilet paper,1,07-03-2016,98,155
toilet paper,1,07-09-2016,98,160
toilet paper,1,07-15-2016,98,164
toilet paper,1,07-20-2016,98,169
toilet paper,1,07-26-2016,98,175
toilet paper,1,08-01-2016,112,181
toilet paper,1,08-03-2016,140,183
toilet paper,1,08-08-2016,196,188
toilet paper,1,08-14-2016,196,193
toilet paper,1,08-19-2016,182,198
toilet paper,1,08-30-2016,98,206
toilet paper,1,09-04-2016,98,211
toilet paper,1,09-10-2016,98,216
toilet paper,1,09-16-2016,98,221
toilet paper,1,09-21-2016,98,225
toilet paper,1,09-27-2016,98,229
toilet paper,1,10-03-2016,98,234
toilet paper,1,10-08-2016,98,239
toilet paper,1,10-14-2016,98,245
toilet paper,1,10-20-2016,98,251
toilet paper,1,10-25-2016,98,256
toilet paper,1,10-30-2016,98,261
toilet paper,1,11-05-2016,112,267
toilet paper,1,11-11-2016,98,273
toilet paper,1,11-16-2016,98,278
toilet paper,1,11-22-2016,98,284
toilet paper,1,11-28-2016,112,290
toilet paper,1,12-03-2016,112,295
toilet paper,1,12-09-2016,112,300
toilet paper,1,12-15-2016,112,305
toilet paper,1,12-20-2016,126,310
toilet paper,1,12-24-2016,168,314
toilet paper,1,01-02-2017,112,318
toilet paper,1,01-09-2017,107,324
toilet paper,1,01-15-2017,100,330
toilet paper,1,01-21-2017,98,335
toilet paper,1,01-26-2017,98,340
