Item,Item ID,Day,Quantity,Order Number
water bottles,16,01-08-2016,1336,1
water bottles,16,01-14-2016,1169,6
water bottles,16,01-20-2016,1169,12
water bottles,16,01-25-2016,1169,17
water bottles,16,01-31-2016,1169,23
water bottles,16,02-05-2016,1169,28
water bottles,16,02-10-2016,1169,33
water bottles,16,02-16-2016,1336,38
water bottles,16,02-21-2016,1336,42
water bottles,16,02-27-2016,1169,47
water bottles,16,03-04-2016,1169,51
water bottles,16,03-10-2016,1169,55
water bottles,16,03-15-2016,1169,60
water bottles,16,03-20-2016,1336,65
water bottles,16,03-26-2016,1169,70
water bottles,16,03-31-2016,1169,75
water bottles,16,04-06-2016,1169,80
water bottles,16,04-12-2016,1169,84
water bottles,16,04-16-2016,1336,87
water bottles,16,04-22-2016,1169,92
water bottles,16,04-28-2016,1169,97
water bottles,16,05-03-2016,1169,100
water bottles,16,05-08-2016,1169,105
water bottles,16,05-14-2016,1336,111
water bottles,16,05-20-2016,1169,116
water bottles,16,05-25-2016,1169,120
water bottles,16,05-31-2016,1169,125
water bottles,16,06-06-2016,1169,131
water bottles,16,06-10-2016,1169,135
water bottles,16,06-16-2016,1169,140
water bottles,16,06-21-2016,1336,144
water bottles,16,06-27-2016,1169,149
water bottles,16,07-03-2016,1169,155
water bottles,16,07-09-2016,1169,160
water bottles,16,07-14-2016,1169,163
water bottles,16,07-19-2016,1169,168
water bottles,16,07-25-2016,1169,174
water bottles,16,07-30-2016,1169,179
water bottles,16,08-03-2016,1670,183
water bottles,16,08-07-2016,2338,187
water bottles,16,08-12-2016,2338,192
water bottles,16,08-18-2016,2338,197
water bottles,16,08-27-2016,1169,204
water bottles,16,09-02-2016,1169,209
water bottles,16,09-07-2016,1169,214
water bottles,16,09-13-2016,1169,219
water bottles,16,09-18-2016,1169,223
water bottles,16,09-24-2016,1169,227
water bottles,16,09-29-2016,1169,231
water bottles,16,10-05-2016,1169,236
water bottles,16,10-10-2016,1169,241
water bottles,16,10-15-2016,1169,246
water bottles,16,10-21-2016,1169,252
water bottles,16,10-27-2016,1169,258
water bottles,16,11-01-2016,1336,263
water bottles,16,11-07-2016,1169,269
water bottles,16,11-13-2016,1169,275
water bottles,16,11-17-2016,1169,279
water bottles,16,11-23-2016,1169,285
water bottles,16,11-28-2016,1336,290
water bottles,16,12-04-2016,1336,296
water bottles,16,12-10-2016,1336,301
water bottles,16,12-15-2016,1336,305
water bottles,16,12-20-2016,1503,310
water bottles,16,12-24-2016,2004,314
water bottles,16,01-03-2017,1336,319
water bottles,16,01-09-2017,1274,324
water bottles,16,01-16-2017,1107,331
water bottles,16,01-21-2017,1169,335
water bottles,16,01-26-2017,1169,340
water bottles,16,02-01-2017,1169,345
water bottles,16,02-07-2017,1169,351
water bottles,16,02-12-2017,1169,356
water bottles,16,02-16-2017,1253,360
water bottles,16,02-23-2017,1253,367
water bottles,16,02-28-2017,1253,372
water bottles,16,03-06-2017,1169,377
water bottles,16,03-12-2017,1169,381
water bottles,16,03-17-2017,1169,385
water bottles,16,03-21-2017,1253,389
water bottles,16,03-28-2017,1253,395
water bottles,16,04-02-2017,1169,399
water bottles,16,04-07-2017,1169,404
water bottles,16,04-13-2017,1169,410
water bottles,16,04-18-2017,1253,415
water bottles,16,04-23-2017,1253,419
water bottles,16,04-30-2017,1169,426
water bottles,16,05-06-2017,1169,432
water bottles,16,05-10-2017,1253,436
water bottles,16,05-16-2017,1253,441
water bottles,16,05-22-2017,1253,447
water bottles,16,05-28-2017,1169,453
water bottles,16,06-02-2017,1169,458
water bottles,16,06-08-2017,1169,463
water bottles,16,06-13-2017,1169,467
water bottles,16,06-18-2017,1169,472
water bottles,16,06-24-2017,1253,478
water bottles,16,06-29-2017,1253,483
water bottles,16,07-05-2017,1169,489
water bottles,16,07-11-2017,1169,495
water bottles,16,07-16-2017,1169,500
water bottles,16,07-21-2017,1169,505
water bottles,16,07-27-2017,1169,511
water bottles,16,08-02-2017,1253,516
water bottles,16,08-04-2017,1420,518
water bottles,16,08-09-2017,1837,523
water bottles,16,08-12-2017,2088,526
water bottles,16,08-18-2017,2338,531
water bottles,16,08-27-2017,1670,537
water bottles,16,09-04-2017,1169,543
water bottles,16,09-09-2017,1169,547
water bottles,16,09-14-2017,1169,552
water bottles,16,09-20-2017,1169,558
water bottles,16,09-26-2017,1169,563
water bottles,16,09-30-2017,1169,567
water bottles,16,10-07-2017,1169,574
water bottles,16,10-12-2017,1169,579
water bottles,16,10-17-2017,1169,584
water bottles,16,10-23-2017,1169,589
water bottles,16,10-29-2017,1169,594
water bottles,16,11-02-2017,1253,598
water bottles,16,11-08-2017,1253,603
water bottles,16,11-14-2017,1253,608
water bottles,16,11-20-2017,1169,614
water bottles,16,11-25-2017,1169,619
water bottles,16,11-30-2017,1253,624
water bottles,16,12-06-2017,1336,629
water bottles,16,12-11-2017,1336,633
water bottles,16,12-17-2017,1336,638
water bottles,16,12-22-2017,1503,642
water bottles,16,12-27-2017,1545,646
water bottles,16,01-03-2018,1336,652
water bottles,16,01-03-2018,1545,652
water bottles,16,01-09-2018,1274,658
water bottles,16,01-10-2018,1364,659
water bottles,16,01-16-2018,1107,665
water bottles,16,01-18-2018,1142,667
water bottles,16,01-21-2018,1169,670
water bottles,16,01-24-2018,1086,673
water bottles,16,01-26-2018,1169,675
water bottles,16,01-29-2018,1086,678
water bottles,16,02-01-2018,1169,681
water bottles,16,02-03-2018,1086,683
water bottles,16,02-07-2018,1169,687
water bottles,16,02-08-2018,1169,688
water bottles,16,02-12-2018,1169,692
water bottles,16,02-14-2018,1169,694
water bottles,16,02-16-2018,1253,696
water bottles,16,02-18-2018,1225,698
water bottles,16,02-23-2018,1253,703
water bottles,16,02-24-2018,1225,704
water bottles,16,02-28-2018,1253,708
water bottles,16,03-02-2018,1225,710
water bottles,16,03-06-2018,1169,714
water bottles,16,03-07-2018,1225,715
water bottles,16,03-12-2018,1169,720
water bottles,16,03-13-2018,1169,721
water bottles,16,03-17-2018,1169,725
water bottles,16,03-18-2018,1225,726
water bottles,16,03-21-2018,1253,729
water bottles,16,03-23-2018,1225,731
water bottles,16,03-28-2018,1253,736
water bottles,16,03-29-2018,1225,737
water bottles,16,04-02-2018,1169,741
water bottles,16,04-04-2018,1225,743
water bottles,16,04-07-2018,1169,746
water bottles,16,04-10-2018,1169,749
water bottles,16,04-13-2018,1169,752
water bottles,16,04-15-2018,1225,754
water bottles,16,04-18-2018,1253,757
water bottles,16,04-20-2018,1225,759
water bottles,16,04-23-2018,1253,762
water bottles,16,04-26-2018,1225,765
water bottles,16,04-30-2018,1169,769
water bottles,16,05-01-2018,1225,770
water bottles,16,05-06-2018,1169,775
water bottles,16,05-08-2018,1169,777
water bottles,16,05-10-2018,1253,779
water bottles,16,05-12-2018,1225,781
water bottles,16,05-16-2018,1253,785
water bottles,16,05-17-2018,1225,786
water bottles,16,05-22-2018,1253,791
water bottles,16,05-24-2018,1225,793
water bottles,16,05-28-2018,1169,797
water bottles,16,05-30-2018,1225,799
water bottles,16,06-02-2018,1169,802
water bottles,16,06-04-2018,1169,804
water bottles,16,06-08-2018,1169,808
water bottles,16,06-10-2018,1169,810
water bottles,16,06-13-2018,1169,813
water bottles,16,06-16-2018,1169,816
water bottles,16,06-18-2018,1169,818
water bottles,16,06-21-2018,1225,821
water bottles,16,06-24-2018,1253,824
water bottles,16,06-26-2018,1225,826
water bottles,16,06-29-2018,1253,829
water bottles,16,07-02-2018,1225,832
water bottles,16,07-05-2018,1169,835
water bottles,16,07-07-2018,1225,837
water bottles,16,07-11-2018,1169,841
water bottles,16,07-13-2018,1169,843
water bottles,16,07-16-2018,1169,846
water bottles,16,07-19-2018,1169,849
water bottles,16,07-21-2018,1169,851
water bottles,16,07-24-2018,1169,854
water bottles,16,07-27-2018,1169,857
water bottles,16,07-29-2018,1169,859
water bottles,16,08-02-2018,1253,863
water bottles,16,08-03-2018,1281,864
water bottles,16,08-04-2018,1420,865
water bottles,16,08-06-2018,1448,867
water bottles,16,08-09-2018,1837,870
water bottles,16,08-10-2018,1670,871
water bottles,16,08-12-2018,2088,873
water bottles,16,08-13-2018,1837,874
water bottles,16,08-18-2018,2338,879
water bottles,16,08-18-2018,2116,879
water bottles,16,08-25-2018,2004,885
water bottles,16,08-27-2018,1670,887
water bottles,16,09-04-2018,1169,894
water bottles,16,09-04-2018,1448,894
water bottles,16,09-09-2018,1169,899
water bottles,16,09-11-2018,1169,901
water bottles,16,09-14-2018,1169,904
water bottles,16,09-15-2018,1169,905
water bottles,16,09-20-2018,1169,910
water bottles,16,09-21-2018,1169,911
water bottles,16,09-26-2018,1169,916
water bottles,16,09-27-2018,1169,917
water bottles,16,09-30-2018,1169,920
water bottles,16,10-02-2018,1169,922
