Item,Item ID,Day,Quantity,Order Number
wrenches,15,01-12-2016,21,4
wrenches,15,01-17-2016,21,9
wrenches,15,01-24-2016,21,16
wrenches,15,01-30-2016,21,22
wrenches,15,02-05-2016,21,28
wrenches,15,02-10-2016,21,33
wrenches,15,02-16-2016,24,38
wrenches,15,02-22-2016,21,43
wrenches,15,02-28-2016,21,48
wrenches,15,03-05-2016,21,52
wrenches,15,03-11-2016,21,56
wrenches,15,03-17-2016,24,62
wrenches,15,03-22-2016,24,67
wrenches,15,03-29-2016,21,73
wrenches,15,04-05-2016,21,79
wrenches,15,04-11-2016,21,83
wrenches,15,04-15-2016,24,86
wrenches,15,04-22-2016,21,92
wrenches,15,04-29-2016,21,98
wrenches,15,05-05-2016,21,102
wrenches,15,05-10-2016,24,107
wrenches,15,05-16-2016,21,113
wrenches,15,05-23-2016,21,118
wrenches,15,05-29-2016,21,123
wrenches,15,06-04-2016,21,129
wrenches,15,06-09-2016,21,134
wrenches,15,06-16-2016,21,140
wrenches,15,06-21-2016,24,144
wrenches,15,06-28-2016,21,150
wrenches,15,07-03-2016,21,155
wrenches,15,07-10-2016,21,161
wrenches,15,07-16-2016,21,165
wrenches,15,07-22-2016,21,171
wrenches,15,07-27-2016,21,176
wrenches,15,08-02-2016,27,182
wrenches,15,08-05-2016,36,185
wrenches,15,08-10-2016,42,190
wrenches,15,08-16-2016,42,195
wrenches,15,08-24-2016,24,201
wrenches,15,08-31-2016,21,207
wrenches,15,09-05-2016,21,212
wrenches,15,09-12-2016,21,218
wrenches,15,09-18-2016,21,223
wrenches,15,09-24-2016,21,227
wrenches,15,09-29-2016,21,231
wrenches,15,10-06-2016,21,237
wrenches,15,10-12-2016,21,243
wrenches,15,10-18-2016,21,249
wrenches,15,10-23-2016,21,254
wrenches,15,10-30-2016,21,261
wrenches,15,11-04-2016,24,266
wrenches,15,11-11-2016,21,273
wrenches,15,11-16-2016,21,278
wrenches,15,11-23-2016,21,285
wrenches,15,11-28-2016,24,290
wrenches,15,12-05-2016,24,297
wrenches,15,12-10-2016,24,301
wrenches,15,12-17-2016,24,307
wrenches,15,12-22-2016,33,312
wrenches,15,12-27-2016,33,317
wrenches,15,01-07-2017,24,322
wrenches,15,01-14-2017,22,329
wrenches,15,01-21-2017,21,335
wrenches,15,01-26-2017,21,340
wrenches,15,02-01-2017,21,345
wrenches,15,02-08-2017,21,352
wrenches,15,02-14-2017,21,358
wrenches,15,02-18-2017,23,362
wrenches,15,02-25-2017,23,369
wrenches,15,03-03-2017,21,374
wrenches,15,03-09-2017,21,378
wrenches,15,03-15-2017,21,384
wrenches,15,03-20-2017,23,388
wrenches,15,03-27-2017,23,394
wrenches,15,04-02-2017,21,399
wrenches,15,04-08-2017,21,405
wrenches,15,04-14-2017,21,411
wrenches,15,04-20-2017,23,417
wrenches,15,04-26-2017,23,422
wrenches,15,05-02-2017,21,428
wrenches,15,05-08-2017,21,434
wrenches,15,05-14-2017,23,439
wrenches,15,05-20-2017,23,445
wrenches,15,05-26-2017,21,451
wrenches,15,06-02-2017,21,458
wrenches,15,06-08-2017,21,463
wrenches,15,06-14-2017,21,468
wrenches,15,06-19-2017,21,473
wrenches,15,06-25-2017,23,479
wrenches,15,07-02-2017,23,486
wrenches,15,07-08-2017,21,492
wrenches,15,07-14-2017,21,498
wrenches,15,07-20-2017,21,504
wrenches,15,07-26-2017,21,510
wrenches,15,08-01-2017,21,515
wrenches,15,08-04-2017,26,518
wrenches,15,08-08-2017,32,522
wrenches,15,08-12-2017,38,526
wrenches,15,08-17-2017,42,530
wrenches,15,08-26-2017,32,536
wrenches,15,09-04-2017,21,543
wrenches,15,09-10-2017,21,548
wrenches,15,09-16-2017,21,554
wrenches,15,09-22-2017,21,560
wrenches,15,09-28-2017,21,565
wrenches,15,10-04-2017,21,571
wrenches,15,10-10-2017,21,577
wrenches,15,10-16-2017,21,583
wrenches,15,10-22-2017,21,588
wrenches,15,10-28-2017,21,593
wrenches,15,11-02-2017,23,598
wrenches,15,11-09-2017,23,604
wrenches,15,11-15-2017,21,609
wrenches,15,11-22-2017,21,616
wrenches,15,11-27-2017,21,621
wrenches,15,12-02-2017,23,626
wrenches,15,12-08-2017,24,631
wrenches,15,12-14-2017,24,636
wrenches,15,12-20-2017,26,641
wrenches,15,12-25-2017,28,645
wrenches,15,01-01-2018,28,650
wrenches,15,01-07-2018,24,656
wrenches,15,01-09-2018,26,658
wrenches,15,01-14-2018,22,663
wrenches,15,01-18-2018,21,667
wrenches,15,01-21-2018,21,670
wrenches,15,01-24-2018,20,673
wrenches,15,01-26-2018,21,675
wrenches,15,01-30-2018,20,679
wrenches,15,02-01-2018,21,681
wrenches,15,02-05-2018,21,685
wrenches,15,02-08-2018,21,688
wrenches,15,02-10-2018,21,690
wrenches,15,02-14-2018,21,694
wrenches,15,02-16-2018,22,696
wrenches,15,02-18-2018,23,698
wrenches,15,02-22-2018,22,702
wrenches,15,02-25-2018,23,705
wrenches,15,02-28-2018,22,708
wrenches,15,03-03-2018,21,711
wrenches,15,03-06-2018,22,714
wrenches,15,03-09-2018,21,717
wrenches,15,03-13-2018,21,721
wrenches,15,03-15-2018,21,723
wrenches,15,03-18-2018,22,726
wrenches,15,03-20-2018,23,728
wrenches,15,03-24-2018,22,732
wrenches,15,03-27-2018,23,735
wrenches,15,03-30-2018,22,738
wrenches,15,04-02-2018,21,741
