Item           January   February   March     April     May       June      July      August    September October   November  December  
toilet paper   17        16        16        12        13        15        13        17        12        18        18        13        
paper towel    17        24        17        17        18        15        23        16        16        18        15        18        
cleaner        4         2         4         3         2         4         3         4         3         3         4         4         
plastic bags   234       236       188       249       157       150       109       141       219       239       164       200       
light bulbs    18        16        16        19        18        19        17        19        17        17        17        17        
box cutters    37        31        21        46        39        22        31        30        42        33        44        35        
office chair   2         2         2         3         4         4         2         4         3         2         3         3         
pens           66        69        53        71        59        73        59        61        56        67        51        73        
printer paper  6         9         10        9         10        9         11        6         11        6         7         6         
blank badges   101       188       115       165       198       149       135       177       153       165       189       175       
scanner batt   6         9         7         6         6         9         8         6         9         6         9         5         
meat trays     366       409       329       485       471       334       469       347       354       323       408       344       
produce bags   26        20        27        26        29        23        23        24        28        24        28        27        
soap           18        18        17        19        18        17        17        15        16        19        19        16        
