Item           January   February  March     April     May       June      July      August    September October   November  December  
toilet paper   16        16        13        17        18        14        17        13        12        16        12        10        
paper towel    15        16        17        22        17        17        24        15        16        17        16        16        
cleaner        4         2         3         2         4         2         4         3         2         3         4         4         
plastic bags   233       137       238       109       100       244       146       144       142       100       119       207       
light bulbs    16        16        15        18        19        18        15        18        17        18        17        16        
box cutters    27        40        32        47        35        33        31        46        24        41        20        37        
office chair   3         3         3         4         2         2         4         3         3         4         3         4         
pens           58        61        66        53        60        58        62        59        58        55        54        56        
printer paper  10        9         6         9         10        7         7         11        6         8         11        9         
blank badges   170       122       187       136       176       183       132       140       150       106       155       100       
scanner batt   8         7         9         5         5         9         5         9         9         8         6         6         
meat trays     434       371       314       437       364       319       344       328       382       434       322       324       
produce bags   23        21        21        28        21        25        20        20        21        20        22        24        
soap           17        19        16        15        17        16        16        16        16        18        19        16        
